rule,radius,observed_ref_count
low_tv_spectral_teacher,0.01,60
low_tv_spectral_teacher,0.02,60
low_tv_spectral_teacher,0.03,60
low_tv_spectral_teacher,0.05,60
low_tv_spectral_teacher,0.08,60
low_tv_spectral_teacher,0.12,31
low_tv_spectral_teacher,0.15,31
low_tv_spectral_teacher,0.2,31
low_tv_spectral_teacher,0.3,30
low_tv_spectral_teacher,0.45,47
low_tv_spectral_teacher,0.65,47
low_tv_spectral_teacher,0.85,42
low_tv_spectral_teacher,1.0,30
low_tv_spectral_teacher,1.25,30
low_tv_spectral_teacher,1.5,30
low_tv_spectral_teacher,1.75,30
low_tv_spectral_teacher,2.0,29
low_tv_spectral_teacher,2.25,29
low_tv_spectral_teacher,2.5,29
random_label,0.01,60
random_label,0.02,60
random_label,0.03,60
random_label,0.05,60
random_label,0.08,60
random_label,0.12,1
random_label,0.15,1
random_label,0.2,1
random_label,0.3,1
random_label,0.45,1
random_label,0.65,1
random_label,0.85,1
random_label,1.0,1
random_label,1.25,1
random_label,1.5,1
random_label,1.75,1
random_label,2.0,1
random_label,2.25,1
random_label,2.5,1
real_even_odd,0.01,60
real_even_odd,0.02,60
real_even_odd,0.03,60
real_even_odd,0.05,60
real_even_odd,0.08,60
real_even_odd,0.12,1
real_even_odd,0.15,1
real_even_odd,0.2,1
real_even_odd,0.3,1
real_even_odd,0.45,1
real_even_odd,0.65,1
real_even_odd,0.85,1
real_even_odd,1.0,1
real_even_odd,1.25,1
real_even_odd,1.5,1
real_even_odd,1.75,1
real_even_odd,2.0,1
real_even_odd,2.25,1
real_even_odd,2.5,1
teacher_nn,0.01,60
teacher_nn,0.02,60
teacher_nn,0.03,60
teacher_nn,0.05,60
teacher_nn,0.08,60
teacher_nn,0.12,1
teacher_nn,0.15,1
teacher_nn,0.2,1
teacher_nn,0.3,1
teacher_nn,0.45,1
teacher_nn,0.65,1
teacher_nn,0.85,1
teacher_nn,1.0,1
teacher_nn,1.25,1
teacher_nn,1.5,1
teacher_nn,1.75,1
teacher_nn,2.0,1
teacher_nn,2.25,1
teacher_nn,2.5,1
