radius,claim_status,rules_passed,rules_required
0.01,no_claim,low_tv_spectral_teacher;random_label;real_even_odd,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.02,no_claim,low_tv_spectral_teacher;random_label,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.03,no_claim,low_tv_spectral_teacher;real_even_odd,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.04,no_claim,low_tv_spectral_teacher;real_even_odd,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.05,no_claim,low_tv_spectral_teacher;real_even_odd,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.06,no_claim,low_tv_spectral_teacher,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.07,no_claim,low_tv_spectral_teacher;real_even_odd,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.08,no_claim,low_tv_spectral_teacher;real_even_odd,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.09,no_claim,low_tv_spectral_teacher;real_even_odd,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.1,no_claim,low_tv_spectral_teacher;real_even_odd,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.11,no_claim,low_tv_spectral_teacher;real_even_odd,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.12,no_claim,low_tv_spectral_teacher,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.13,no_claim,low_tv_spectral_teacher,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.14,no_claim,low_tv_spectral_teacher,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.15,no_claim,low_tv_spectral_teacher,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.16,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.17,no_claim,low_tv_spectral_teacher,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.18,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.19,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.2,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.21,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.22,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.23,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.24,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.25,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.26,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.27,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.28,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.29,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.3,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.31,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.32,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.33,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.34,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.35,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.36,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.37,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.38,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.39,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.4,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.41,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.42,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.43,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.44,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.45,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.46,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.47,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.48,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.49,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.5,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.51,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.52,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.53,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.54,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.55,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.56,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
