rule,radius,name,replicates,n_samples_each,target_cess_fraction,mh_sweeps,move_kappa_factor,max_steps
real_even_odd,0.15,rep4_n1024_cess90_mh2,4,1024,0.9,2,80.0,160
real_even_odd,1.0,rep4_n1024_cess90_mh2,4,1024,0.9,2,80.0,160
real_even_odd,2.0,rep8_n1024_cess95_mh2,8,1024,0.95,2,80.0,220
teacher_nn,0.15,rep4_n1024_cess90_mh2,4,1024,0.9,2,80.0,160
teacher_nn,1.0,rep8_n1024_cess95_mh2,8,1024,0.95,2,80.0,220
teacher_nn,2.0,rep4_n1024_cess90_mh2,4,1024,0.9,2,80.0,160
teacher_nn,2.5,rep4_n1024_cess95_mh4_move20,4,1024,0.95,4,20.0,240
random_label,0.01,rep4_n1024_cess90_mh2,4,1024,0.9,2,80.0,160
random_label,0.15,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
random_label,1.0,rep4_n1024_cess90_mh2,4,1024,0.9,2,80.0,160
