experiment_id,mode,split_id,rule,dataset_path,n_train,n_test,input_dim,train_pos_fraction,k,edge_count,sigma_k,tv,baseline,nmstv
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,low_tv_spectral_teacher,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,1024,2048,196,0.5,8,6257,8.544552225897625,0.1116671826119029,0.5,0.2233343652238058
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,low_tv_spectral_teacher,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,1024,2048,196,0.5,16,12555,9.138216603455202,0.13719964591432313,0.5,0.27439929182864625
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,low_tv_spectral_teacher,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,1024,2048,196,0.5,32,25512,9.79015992706288,0.19067203778852732,0.5,0.38134407557705463
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,real_even_odd,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/real_even_odd/dataset.npz,1024,2048,196,0.5,8,6257,8.544552225897625,0.13595519182185214,0.5,0.2719103836437043
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,real_even_odd,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/real_even_odd/dataset.npz,1024,2048,196,0.5,16,12555,9.138216603455202,0.17848233394109853,0.5,0.35696466788219705
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,real_even_odd,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/real_even_odd/dataset.npz,1024,2048,196,0.5,32,25512,9.79015992706288,0.23601827011445387,0.5,0.47203654022890773
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,teacher_nn,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/teacher_nn/dataset.npz,1024,2048,196,0.5,8,6257,8.544552225897625,0.2761501384405064,0.5,0.5523002768810128
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,teacher_nn,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/teacher_nn/dataset.npz,1024,2048,196,0.5,16,12555,9.138216603455202,0.3047821264245908,0.5,0.6095642528491816
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,teacher_nn,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/teacher_nn/dataset.npz,1024,2048,196,0.5,32,25512,9.79015992706288,0.33766810858068974,0.5,0.6753362171613795
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,random_label,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,1024,2048,196,0.5,8,6257,8.544552225897625,0.5090765809705244,0.5,1.0181531619410489
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,random_label,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,1024,2048,196,0.5,16,12555,9.138216603455202,0.505777379488298,0.5,1.011554758976596
mnist14_single_dataset_12x12_5ref_dense,final_single_dataset,0,random_label,02_dnn/08_mnist/runs/final/single_dataset_12x12_5ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,1024,2048,196,0.5,32,25512,9.79015992706288,0.5063986069405441,0.5,1.0127972138810881
