rule,radius,delta_phi_energy_mean,bootstrap_sd,ci95_low,ci95_high
low_tv_spectral_teacher,0.01,0.0,0.0,0.0,0.0
low_tv_spectral_teacher,0.02,-4.505870011767927e-05,4.666450873612387e-06,-5.420494382995955e-05,-3.591245640539899e-05
low_tv_spectral_teacher,0.03,-0.0001354311105438363,1.3926697537740608e-05,-0.0001627274377178079,-0.00010813478336986471
low_tv_spectral_teacher,0.05,-0.0005307843535246928,4.112797872406501e-05,-0.0006113951918238602,-0.00045017351522552533
low_tv_spectral_teacher,0.08,-0.0017597626510070907,8.325498681220708e-05,-0.0019229424251590165,-0.001596582876855165
low_tv_spectral_teacher,0.12,-0.004326451465192196,0.0001477243836898128,-0.004615991257224229,-0.004036911673160163
low_tv_spectral_teacher,0.15,-0.006686235405641446,0.00019337318909839948,-0.007065246856274309,-0.006307223955008583
low_tv_spectral_teacher,0.2,-0.011278666334521672,0.0002670180814396047,-0.011802021774143297,-0.010755310894900047
random_label,0.01,0.0,0.0,0.0,0.0
random_label,0.02,-0.00020663244520637082,1.5709083560989584e-05,-0.00023742224898591039,-0.00017584264142683125
random_label,0.05,-0.013522181078703881,0.00982765342542623,-0.032784381792539286,0.005740019635131526
random_label,0.08,-0.011942048165819239,0.00027927275475411105,-0.012489422765137297,-0.01139467356650118
real_even_odd,0.01,0.0,0.0,0.0,0.0
teacher_nn,0.01,0.0,0.0,0.0,0.0
teacher_nn,0.02,-6.918663366551772e-05,1.0081014039531526e-05,-8.894542118299951e-05,-4.942784614803593e-05
teacher_nn,0.03,-0.00021182685303940547,2.5261522401133254e-05,-0.0002613394369456266,-0.0001623142691331843
teacher_nn,0.05,-0.0008505527917798437,7.312361670352085e-05,-0.0009938750805187446,-0.0007072305030409429
teacher_nn,0.08,-0.002923034900111325,0.00014986456952624058,-0.0032167694563827566,-0.0026293003438398934
