rule,radius,d0,delta_phi_energy,delta_phi_full,n_units,qc_pass,diagnostic_status,bootstrap_sd
low_tv_spectral_teacher,0.01,0.01,0.0,0.0,60,True,claimable_rule_radius,0.0
low_tv_spectral_teacher,0.02,0.01,-4.505870011767927e-05,0.6928284751245098,60,True,claimable_rule_radius,4.379918586476628e-06
low_tv_spectral_teacher,0.03,0.01,-0.0001354311105438363,1.0980431377436424,60,True,claimable_rule_radius,1.3667121325014986e-05
low_tv_spectral_teacher,0.05,0.01,-0.0005307843535246928,1.608271740037767,60,True,claimable_rule_radius,4.0576470454074344e-05
low_tv_spectral_teacher,0.08,0.01,-0.0017597626510070907,2.0768608388228755,60,True,claimable_rule_radius,8.702664335508976e-05
low_tv_spectral_teacher,0.12,0.01,-0.004326451465192196,2.4795991850382495,60,True,claimable_rule_radius,0.0001518391300401636
low_tv_spectral_teacher,0.15,0.01,-0.006686235405641446,2.700294857839837,60,True,claimable_rule_radius,0.0001810711452620921
low_tv_spectral_teacher,0.2,0.01,-0.011278666334521672,2.9832709257060253,60,True,claimable_rule_radius,0.0002483020282385842
low_tv_spectral_teacher,0.3,0.01,-0.019959931824703032,3.3798946952454028,60,False,raw_no_claim,0.00031327183014664945
low_tv_spectral_teacher,0.45,0.01,-0.031657398656230046,3.7735022634434343,60,False,raw_no_claim,0.0004230159330024479
low_tv_spectral_teacher,0.65,0.01,-0.045317787026206174,4.127421481578513,60,False,raw_no_claim,0.00044810208147630224
low_tv_spectral_teacher,0.85,0.01,-0.05632098797328134,4.384576359611986,60,False,raw_no_claim,0.0005526810010825697
low_tv_spectral_teacher,1.0,0.01,-0.06326500444557422,4.540087111986265,60,False,raw_no_claim,0.00047263934030264464
low_tv_spectral_teacher,1.25,0.01,-0.0733427669631749,4.753064806210701,60,False,raw_no_claim,0.0005523145536088722
low_tv_spectral_teacher,1.5,0.01,-0.08175550105869817,4.9269016504027,60,False,raw_no_claim,0.0006668656289125837
low_tv_spectral_teacher,1.75,0.01,-0.08927323482128834,5.07347373950731,60,False,raw_no_claim,0.0005760545079953691
low_tv_spectral_teacher,2.0,0.01,-0.094591429678491,5.201634220577975,60,False,raw_no_claim,0.000642061737387734
low_tv_spectral_teacher,2.25,0.01,-0.10199818605922521,5.311964000431732,60,False,raw_no_claim,0.000712606225604061
low_tv_spectral_teacher,2.5,0.01,-0.10540780049953881,5.413873306498964,60,False,raw_no_claim,0.0008611329836964042
random_label,0.01,0.01,0.0,0.0,60,True,claimable_rule_radius,0.0
random_label,0.02,0.01,-0.00020663244520637082,0.6926669013794212,60,True,claimable_rule_radius,1.6970012920160247e-05
random_label,0.03,0.01,-0.021533292984332368,1.076645275869854,60,False,raw_no_claim,0.015333207448564987
random_label,0.05,0.01,-0.013522181078703881,1.595280343312588,60,True,claimable_rule_radius,0.010199845044338492
random_label,0.08,0.01,-0.011942048165819239,2.0666785533080634,60,True,claimable_rule_radius,0.00030102070103081927
random_label,0.12,0.01,-0.032838287099183516,2.451087349404258,60,False,raw_no_claim,0.0006164802389336669
random_label,0.15,0.01,-0.05394961087702529,2.653031482368453,60,False,raw_no_claim,0.0008753498809384424
random_label,0.2,0.01,-0.09309503585593801,2.901454556184609,60,False,raw_no_claim,0.0028897759610959635
random_label,0.3,0.01,-0.14081142037549502,3.259043206694611,60,False,raw_no_claim,0.001537446848768428
random_label,0.45,0.01,-0.155754857039155,3.649404805060509,60,False,raw_no_claim,0.0010561858052816227
random_label,0.65,0.01,-0.15108156375009849,4.02165770485462,60,False,raw_no_claim,0.0007463691228226328
random_label,0.85,0.01,-0.14959944481924578,4.291297902766022,60,False,raw_no_claim,0.0005179153461658868
