source,source_label,rule,radius,d_delta_phi_energy_dd,local_qc_pass,claim_status
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,low_tv_spectral_teacher,0.01,-0.009402080439938221,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,low_tv_spectral_teacher,0.02,-0.013208997179334242,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,low_tv_spectral_teacher,0.03,-0.02189426706578242,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,low_tv_spectral_teacher,0.05,-0.04296046292549573,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,low_tv_spectral_teacher,0.08,-0.05992469727390919,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,random_label,0.01,1.5616046165706847,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,random_label,0.02,0.1982637936333479,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,random_label,0.03,-0.4612366035740939,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,random_label,0.05,0.4353390926114722,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,random_label,0.08,-0.3313186402998639,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,real_even_odd,0.01,-0.002393992521564777,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,real_even_odd,0.02,-0.003675851819475972,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,real_even_odd,0.03,-0.3516977006706376,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,real_even_odd,0.05,-0.3662350838711524,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,real_even_odd,0.08,0.6521788099878267,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,teacher_nn,0.01,-0.017628074502883898,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,teacher_nn,0.02,-0.02508774534994211,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,teacher_nn,0.03,-0.04156777051767312,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,teacher_nn,0.05,-0.07735815589002115,True,formal_qc_pass_local_derivative
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,teacher_nn,0.08,-0.10398267098652476,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,low_tv_spectral_teacher,0.01,-0.006537784828122794,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,low_tv_spectral_teacher,0.011,-0.006651403333791093,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,low_tv_spectral_teacher,0.012,-0.007318969060475489,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,low_tv_spectral_teacher,0.013,-0.008041320637117742,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,low_tv_spectral_teacher,0.014,-0.008209724992743908,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,random_label,0.01,-0.028324250053949347,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,random_label,0.011,-0.030155318540222124,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,random_label,0.012,-0.03321781012315298,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,random_label,0.013,-0.03655042656545758,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,random_label,0.014,-0.03865161991110413,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,real_even_odd,0.01,-0.001566246770218921,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,real_even_odd,0.011,-0.0016211530585370875,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,real_even_odd,0.012,-0.0018007307205227178,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,real_even_odd,0.013,-0.002017407336666363,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,real_even_odd,0.014,-0.0021094125791425457,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,teacher_nn,0.01,-0.011699684128576752,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,teacher_nn,0.011,-0.012348828825692285,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,teacher_nn,0.012,-0.01358594620478919,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,teacher_nn,0.013,-0.014803357996098691,True,formal_qc_pass_local_derivative
microline_formal_pass,formal all-QC microline,teacher_nn,0.014,-0.015432797105426834,True,formal_qc_pass_local_derivative
