source,source_label,run_root,rule,radius,d0,delta_phi_energy,bootstrap_sd_phi,n_units,qc_pass,claim_status
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,low_tv_spectral_teacher,0.01,0.01,0.0,0.0,60,True,formal_qc_pass
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,low_tv_spectral_teacher,0.02,0.01,-9.402080439938221e-05,8.410632710869538e-06,60,True,formal_qc_pass
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,low_tv_spectral_teacher,0.03,0.01,-0.00026417994358668477,2.3371667831019564e-05,60,True,formal_qc_pass
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,low_tv_spectral_teacher,0.05,0.01,-0.0008971994107844197,6.334759353714074e-05,60,True,formal_qc_pass
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,low_tv_spectral_teacher,0.08,0.01,-0.0026949403290016955,0.00013748983904394424,60,True,formal_qc_pass
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,random_label,0.01,0.01,0.0,0.0,60,True,formal_qc_pass
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,random_label,0.02,0.01,0.015616046165706847,0.024749847537726237,60,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,random_label,0.03,0.01,0.003965275872666962,0.016253149788064605,60,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,random_label,0.05,0.01,0.022894160830380893,0.01962387970269069,60,False,pursuit_no_claim
broad_0p01_to_0p08_pursuit,broad pursuit raw/QC-labelled,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_qcpass_line_4rule_lowtv,random_label,0.08,0.01,0.012954601621384976,0.020669693162233275,60,False,pursuit_no_claim
