beta_ising,temperature_inverse_beta,n_datasets,mean_edge_alignment,sem_edge_alignment,std_edge_alignment,mean_domain_wall_fraction,sem_domain_wall_fraction,mean_n_edges
0.05,20.000000,90,0.0581758738,0.0028951603,0.0274659023,0.4709120631,0.0014475802,2162.89
0.07,14.285714,90,0.0997058939,0.0033961950,0.0322191345,0.4501470530,0.0016980975,2163.74
0.09,11.111111,90,0.1561417975,0.0038122432,0.0361661145,0.4219291012,0.0019061216,2163.31
0.11,9.090909,90,0.2115753716,0.0039942968,0.0378932264,0.3942123142,0.0019971484,2161.81
0.13,7.692308,90,0.2894349714,0.0047673627,0.0452271735,0.3552825143,0.0023836813,2167.30
0.15,6.666667,90,0.4002408211,0.0056302000,0.0534127667,0.2998795894,0.0028151000,2162.73
0.17,5.882353,90,0.5204990540,0.0056566702,0.0536638858,0.2397504730,0.0028283351,2163.37
0.19,5.263158,90,0.6467131985,0.0054036058,0.0512631059,0.1766434007,0.0027018029,2164.31
0.21,4.761905,90,0.7465165949,0.0042486259,0.0403060045,0.1267417025,0.0021243130,2162.11
0.23,4.347826,90,0.8116658926,0.0044056584,0.0417957455,0.0941670537,0.0022028292,2165.84
0.25,4.000000,90,0.8461885301,0.0040528643,0.0384488467,0.0769057349,0.0020264321,2162.49
0.27,3.703704,90,0.8694123804,0.0034473986,0.0327048951,0.0652938098,0.0017236993,2161.32
0.29,3.448276,90,0.8852689042,0.0025076159,0.0237893335,0.0573655479,0.0012538080,2166.04
0.31,3.225806,90,0.8890488718,0.0023992822,0.0227615900,0.0554755641,0.0011996411,2165.37
0.33,3.030303,90,0.8982963916,0.0023361313,0.0221624876,0.0508518042,0.0011680657,2165.24
0.35,2.857143,90,0.8982987488,0.0025725253,0.0244051183,0.0508506256,0.0012862627,2163.83
0.37,2.702703,90,0.9004337398,0.0022078266,0.0209452821,0.0497831301,0.0011039133,2164.37
0.39,2.564103,90,0.8999112325,0.0020149028,0.0191150466,0.0500443838,0.0010074514,2165.24
