beta_ising,temperature_inverse_beta,beta_dir,dataset_label,edge_alignment,domain_wall_fraction,n_edges,source_dataset_path
0.05,20.000000,beta_0p05,dataset_000,0.0769935839,0.4615032081,2182,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_000
0.05,20.000000,beta_0p05,dataset_001,0.0306406685,0.4846796657,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_001
0.05,20.000000,beta_0p05,dataset_002,0.0928406467,0.4535796767,2165,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_002
0.05,20.000000,beta_0p05,dataset_003,0.0406950160,0.4796524920,2187,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_003
0.05,20.000000,beta_0p05,dataset_004,0.0745454545,0.4627272727,2200,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_004
0.05,20.000000,beta_0p05,dataset_005,0.1052631579,0.4473684211,2166,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_005
0.05,20.000000,beta_0p05,dataset_006,0.0989115002,0.4505442499,2113,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_006
0.05,20.000000,beta_0p05,dataset_007,0.0521458237,0.4739270881,2167,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_007
0.05,20.000000,beta_0p05,dataset_008,0.0348304308,0.4825847846,2182,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_008
0.05,20.000000,beta_0p05,dataset_009,0.0775661867,0.4612169066,2153,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_009
0.05,20.000000,beta_0p05,dataset_010,0.1309963100,0.4345018450,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_010
0.05,20.000000,beta_0p05,dataset_011,0.0754005655,0.4622997172,2122,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_011
