beta,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
0.19,2545,0.05,2.883668915724491e-06,2.88367e-06
0.19,2545,0.05,2.7172687170925376e-06,-2.71727e-06
0.19,2545,0.05,7.209734735808375e-07,-7.20973e-07
0.19,2545,0.05,1.1983535385940622e-06,-1.19835e-06
0.19,2545,0.05,2.142129765382701e-06,-2.14213e-06
0.19,2545,0.05,5.445259233427797e-07,5.44526e-07
0.19,2545,0.05,4.12994934012718e-06,4.12995e-06
0.19,2545,0.05,3.496445775692451e-06,-3.496445775692451e-06
0.19,2545,0.05,1.5188599810009098e-07,1.51886e-07
0.19,2545,0.05,7.807831675226105e-07,7.80783e-07
0.19,2545,0.05,2.969256472699237e-07,2.96926e-07
0.19,2545,0.05,9.594172029651297e-07,-9.59417e-07
0.19,2545,0.05,9.433083442417866e-07,-9.43308e-07
0.19,2545,0.05,5.229749440891862e-07,5.22975e-07
0.19,2545,0.05,9.631746301179568e-07,-9.63175e-07
0.19,2545,0.05,1.393250655592726e-06,1.39325e-06
0.19,2545,0.05,4.879510279905738e-07,4.87951e-07
0.19,2545,0.05,2.2530924952456667e-06,2.25309e-06
0.19,2545,0.05,1.1491215824368544e-06,-1.14912e-06
0.19,2545,0.05,1.6137513876710342e-06,-1.61375e-06
0.19,2545,0.05,1.1635473363137833e-06,-1.16355e-06
0.19,2545,0.05,2.514190559142009e-06,-2.51419e-06
0.19,2545,0.05,1.961242689104685e-07,1.96124e-07
0.19,2545,0.05,1.034412577746315e-06,1.03441e-06
0.19,2545,0.05,8.41421202052123e-08,8.41421e-08
0.19,2545,0.05,6.002485354613449e-07,6.00249e-07
0.19,2545,0.05,1.1948111529027556e-06,-1.19481e-06
0.19,2545,0.05,5.939848965740638e-07,5.93985e-07
0.19,2545,0.05,6.001178699767132e-07,-6.00118e-07
0.19,2545,0.05,7.956691159769422e-08,-7.95669e-08
0.19,2545,0.05,4.327266890746675e-07,4.32727e-07
0.19,2545,0.05,6.502262063415304e-07,-6.50226e-07
0.19,2545,0.05,6.582805298616494e-07,-6.58281e-07
0.19,2545,0.05,2.447835255112321e-06,-2.44784e-06
0.19,2545,0.05,2.7094452430236523e-06,-2.70945e-06
0.19,2545,0.05,1.264713969870468e-06,1.26471e-06
0.19,2545,0.05,1.221417551433437e-06,-1.22142e-06
0.19,2545,0.05,1.5315918952927642e-06,1.53159e-06
0.19,2545,0.05,8.877145884679819e-07,-8.87715e-07
0.19,2545,0.05,6.553781914199461e-07,-6.55378e-07
0.19,2545,0.05,8.415135565853122e-07,8.41514e-07
0.19,2545,0.05,1.7753341459914009e-06,-1.77533e-06
0.19,2545,0.05,2.4735566020510666e-08,2.47356e-08
0.19,2545,0.05,2.1578504612629841e-07,2.15785e-07
0.19,2545,0.05,2.0992731015160837e-07,2.0992731015160837e-07
0.19,2545,0.05,4.885359843449611e-07,4.88536e-07
0.19,2545,0.05,1.20229974574782e-06,-1.2023e-06
0.19,2545,0.05,1.0594706540762249e-08,1.0594706540762249e-08
0.19,2545,0.05,2.113017544700539e-06,-2.11302e-06
0.19,2545,0.05,6.310497301831985e-07,-6.3105e-07
0.19,2545,0.05,1.3944468797775284e-06,1.39445e-06
0.19,2545,0.05,8.911221067039491e-07,8.91122e-07
0.19,2545,0.05,1.0285097332323245e-07,1.02851e-07
0.19,2545,0.05,4.927272488818801e-09,-4.92727e-09
0.19,2545,0.05,2.890971594335101e-07,-2.89097e-07
0.19,2545,0.05,1.0783500927796315e-06,-1.07835e-06
0.19,2545,0.05,5.423936717445295e-07,5.42394e-07
0.19,2545,0.05,3.444425237531295e-07,-3.444425237531295e-07
0.19,2545,0.05,2.979296510994328e-06,-2.9793e-06
0.19,2545,0.05,1.203106683632854e-06,-1.20311e-06
0.19,2545,0.05,1.3943411848505418e-06,-1.39434e-06
0.19,2545,0.05,2.014661323140058e-06,2.01466e-06
0.19,2545,0.05,1.4656002035029783e-06,-1.4656e-06
0.19,2545,0.05,8.582702238881042e-07,-8.582702238881042e-07
0.19,2545,0.05,1.86573227352058e-06,-1.86573e-06
0.19,2545,0.05,4.29012125284994e-07,-4.29012125284994e-07
0.19,2545,0.05,1.8625189544571385e-06,1.86252e-06
0.19,2545,0.05,6.658394011705744e-07,6.65839e-07
0.19,2545,0.05,4.105109429582555e-07,-4.10511e-07
0.19,2545,0.05,2.405356149987713e-07,2.40536e-07
0.19,2545,0.05,1.922086338317721e-06,1.92209e-06
0.19,2545,0.05,1.1623144883696404e-06,-1.16231e-06
0.19,2545,0.05,5.728462331021621e-07,-5.72846e-07
0.19,2545,0.05,1.7109619977337731e-06,-1.71096e-06
0.19,2545,0.05,6.081689980961101e-07,-6.08169e-07
0.19,2545,0.05,2.6289686025061263e-06,-2.62897e-06
0.19,2545,0.05,1.1381831949142305e-07,-1.13818e-07
0.19,2545,0.05,1.698317606679206e-06,-1.69832e-06
0.19,2545,0.05,1.1031656739201033e-06,1.10317e-06
0.19,2545,0.05,5.781876341217939e-07,-5.78188e-07
0.19,2545,0.05,2.4791890546902645e-07,-2.4791890546902645e-07
0.19,2545,0.05,1.2033284822514436e-06,1.20333e-06
0.19,2545,0.05,4.4341423414897253e-07,4.4341423414897253e-07
0.19,2545,0.05,4.270310748430325e-07,-4.27031e-07
0.19,2545,0.05,1.651690616043967e-06,-1.65169e-06
0.19,2545,0.05,9.2608790499913e-07,9.2608790499913e-07
0.19,2545,0.05,2.6786535548230184e-07,2.67865e-07
0.19,2545,0.05,4.7546992754176006e-07,-4.7547e-07
0.19,2545,0.05,3.8988675836733124e-07,3.89887e-07
0.19,2545,0.05,2.256921819370869e-07,2.25692e-07
0.19,2545,0.05,1.7520510361397624e-07,-1.7520510361397624e-07
0.19,2545,0.05,7.810476045641824e-07,7.81048e-07
0.19,2545,0.05,2.0868773713304094e-06,2.08688e-06
0.19,2545,0.05,2.405483178200242e-06,-2.40548e-06
0.19,2545,0.05,1.7704004005249165e-06,1.7704e-06
0.19,2545,0.05,1.5461184409040496e-06,-1.54612e-06
0.19,2545,0.05,3.469808200605214e-07,-3.469808200605214e-07
0.19,2545,0.05,2.957891109374245e-07,-2.95789e-07
0.19,2545,0.05,1.8876483932110732e-06,1.88765e-06
0.19,2545,0.05,1.8183836803882171e-06,-1.81838e-06
0.19,2545,0.05,1.0236457918984513e-06,-1.02365e-06
0.19,2545,0.05,2.607641157858246e-06,2.60764e-06
0.19,2545,0.05,3.97010935575851e-07,-3.97011e-07
0.19,2545,0.05,5.133513132026277e-07,-5.13351e-07
0.19,2545,0.05,4.958312245590229e-07,4.95831e-07
0.19,2545,0.05,1.1038196316707483e-06,1.10382e-06
0.19,2545,0.05,1.0556239024229274e-08,1.05562e-08
0.19,2545,0.05,2.22915727286354e-07,2.22916e-07
0.19,2545,0.05,4.760342064108393e-07,4.76034e-07
0.19,2545,0.05,1.09081401296643e-06,-1.09081e-06
0.19,2545,0.05,1.2737655466020091e-06,-1.27377e-06
0.19,2545,0.05,1.5584115389627833e-06,-1.55841e-06
0.19,2545,0.05,1.0561029085717968e-07,-1.0561e-07
0.19,2545,0.05,1.0255835593717608e-06,1.02558e-06
0.19,2545,0.05,3.261148347798446e-07,-3.26115e-07
0.19,2545,0.05,5.709067539799117e-07,-5.70907e-07
0.19,2545,0.05,3.9902921224829314e-07,3.99029e-07
0.19,2545,0.05,3.766281462504061e-06,-3.76628e-06
0.19,2545,0.05,1.8554001093420843e-06,-1.8554e-06
0.19,2545,0.05,1.100320733580214e-06,1.10032e-06
0.19,2545,0.05,1.4695078901049588e-07,1.46951e-07
0.19,2545,0.05,1.8133157817401764e-06,-1.8133157817401764e-06
0.19,2545,0.05,1.3397296282268657e-06,-1.33973e-06
0.19,2545,0.05,1.41858351451844e-06,-1.41858e-06
0.19,2545,0.05,2.245561896625887e-06,2.245561896625887e-06
0.19,2545,0.05,1.4245425537582298e-06,1.42454e-06
0.19,2545,0.05,6.528970976064201e-07,-6.52897e-07
0.19,2545,0.05,1.2503367928803872e-06,1.25034e-06
0.19,2545,0.05,2.4950283945023364e-06,-2.49503e-06
0.19,2545,0.05,2.0504996522053366e-07,2.0505e-07
0.19,2545,0.05,1.8703636720943778e-07,-1.87036e-07
0.19,2545,0.05,2.918309451783492e-06,2.918309451783492e-06
0.19,2545,0.05,4.251770938257063e-06,4.25177e-06
0.19,2545,0.05,8.825548346517193e-07,-8.82555e-07
0.19,2545,0.05,2.1039645456816063e-06,2.10396e-06
0.19,2545,0.05,2.65432074195558e-07,-2.65432074195558e-07
0.19,2545,0.05,2.4887337515458896e-07,2.48873e-07
0.19,2545,0.05,2.3057849494805307e-07,2.30578e-07
0.19,2545,0.05,8.899515532269677e-07,8.89952e-07
0.19,2545,0.05,2.5367758230465424e-07,2.53678e-07
0.19,2545,0.05,8.891396399758205e-07,-8.8914e-07
0.19,2545,0.05,2.682039781690579e-07,-2.68204e-07
0.19,2545,0.05,4.1787885004350166e-06,4.17879e-06
0.19,2545,0.05,1.730601637644032e-07,-1.7306e-07
0.19,2545,0.05,2.968977644492261e-07,-2.96898e-07
0.19,2545,0.05,1.0319762739667717e-07,1.03198e-07
0.19,2545,0.05,4.012281250779091e-06,4.012281250779091e-06
0.19,2545,0.05,2.2342138288146176e-08,2.23421e-08
0.19,2545,0.05,7.653395655771145e-07,7.6534e-07
