beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.05,0.01,2700,-4.604991496037426,-0.0016308071754602047,-4.604991496037426,-0.0016308071754602047,-4.603365464162999,-4.775301032571682e-06,-4.604618703558792,-0.0012580146968260485,-4.6033654524677985,-0.0016260318744276332,21063.69820292928,-4.603360688861966,2700,-1.6257775406445618,1.562238272869814,99.96006845676203,-0.0006388123931805744,99.96070726915521,pass
0.05,0.02,2700,-3.9121292832329173,-0.0016434184748805683,-3.9121292832329173,-0.0016434184748805683,-3.91050325135849,-1.738660045293497e-05,-3.9117523583271274,-0.0012664935690905195,-3.9105030727413412,-0.0016260318744276332,21063.69820292928,-3.9104858647580367,2700,-4.937421078664838,3.4859297587226195,49.97841358700249,-0.0019400475751138852,49.980353634577604,pass
0.05,0.03,2700,-3.5068499617956834,-0.001669886832212513,-3.5068499617956834,-0.001669886832212513,-3.5052239299212555,-4.385495778488017e-05,-3.5064652385649717,-0.0012851636015009838,-3.505222986964022,-0.0016260318744276334,21063.69820292928,-3.5051800749634707,2700,-8.480785160051994,4.8244467570217,33.31690342429861,-0.0033323320864644375,33.320235756385074,pass
0.05,0.04,2700,-3.219320424150842,-0.0017093834967354107,-3.219320424150842,-0.0017093834967354107,-3.2176943922764147,-8.335162230777753e-05,-3.218925360992101,-0.0013143203379940756,-3.2176916964305646,-0.0016260318744276334,21063.69820292928,-3.217611040654107,2700,-11.55448316006696,5.628809196497254,24.98563674532021,-0.0045400719685921255,24.990176817288802,pass
0.05,0.05,2700,-2.9963150399043146,-0.0017598713694022975,-2.9963150399043146,-0.0017598713694022975,-2.994689008029887,-0.0001338394949746646,-2.9959079335093004,-0.0013527649743879904,-2.9946833641673725,-0.0016260318744276332,21063.69820292928,-2.9945551685349123,2700,-14.034643644317818,6.11805627778603,19.986626859078854,-0.005514594752187747,19.992141453831042,pass
0.05,0.06,2700,-2.814124220715648,-0.001818969856106888,-2.814124220715648,-0.001818969856106888,-2.81249818884122,-0.00019293798167925464,-2.8137038214082892,-0.0013985705487481294,-2.812488338001689,-0.0016260318744276332,21063.69820292928,-2.812305250859541,2700,-15.943909881191694,6.4132506817107275,16.653853080596782,-0.006264797595753121,16.660117878192537,pass
0.05,0.07,2700,-2.66009971110389,-0.0018845700598875427,-2.66009971110389,-0.0018845700598875427,-2.6584736792294623,-0.00025853818545990963,-2.65966515986826,-0.0014500188242572891,-2.6584583976237353,-0.0016260318744276334,21063.69820292928,-2.6582151410440025,2700,-17.375424200888304,6.598220957016391,14.273273759786347,-0.00682727866439619,14.280101038450743,pass
0.05,0.08,2700,-2.5266912124647485,-0.0019549959145708125,-2.5266912124647485,-0.0019549959145708125,-2.525065180590321,-0.0003289640401431792,-2.526241909593833,-0.0015056930436552155,-2.525043364322364,-0.0016260318744276334,21063.69820292928,-2.5247362165501777,2700,-18.417328077511968,6.6959234740732425,12.487851737494102,-0.007236671150299398,12.495088408644401,pass
0.05,0.09,2700,-2.409028422915641,-0.0020289618506656695,-2.409028422915641,-0.0020289618506656695,-2.4074023910412135,-0.00040292997623803643,-2.408563672237315,-0.001564211172339561,-2.4073728985600997,-0.0016260318744276332,21063.69820292928,-2.4069994610649754,2700,-19.15996729899878,6.763201237869216,11.09921677774761,-0.0075284743807460825,11.106745252128357,pass
0.05,0.1,2700,-2.303785611210376,-0.002105266779392857,-2.303785611210376,-0.002105266779392857,-2.302159579335948,-0.00047923490496522346,-2.303305070299604,-0.0016247258686206592,-2.302121518752522,-0.0016260318744276332,21063.69820292928,-2.301680344430983,2700,-19.653613992756952,6.782734876606951,9.988348285268073,-0.007722441647448704,9.996070726915521,pass
0.05,0.11,2700,-2.20859075704947,-0.0021831424503934043,-2.20859075704947,-0.0021831424503934043,-2.2069647251750424,-0.000557110575965771,-2.2080940599971477,-0.0016864453980710056,-2.2069171751086927,-0.0016260318744276332,21063.698202929278,-2.2064076145990765,2700,-19.960264636935882,6.780241547118486,9.079494091408957,-0.007842933059699757,9.087337024468656,pass
