beta,radius,dataset_count,dataset_sd_logZ_inf_full,dataset_se_logZ_inf_full,dataset_sd_dlogZ_inf_full_dr,dataset_se_dlogZ_inf_full_dr,dataset_mean_logZ_inf_full,dataset_mean_dlogZ_inf_full_dr
0.05,0.01,15,1.0512117840859734,0.2714217155401308,0.9764762740002679,0.2521250898113139,-6.102059857926524,-2.449985784572267
0.05,0.05,15,1.1182615455979439,0.2887338895203335,2.470654307465447,0.6379201991366197,-6.577699557842633,-19.449662979570647
0.05,0.1,15,1.2265346443213738,0.31668988340020787,2.549432539110574,0.6582606510836361,-7.759698855713046,-25.98349502497826
0.05,0.25,15,1.5082935777986453,0.3894397272003836,2.1559969763155373,0.5566760255829082,-11.573600531764328,-23.234916223011172
0.05,0.5,15,1.883960246810015,0.4864364440541335,1.505054971758007,0.38860352271636234,-16.360389423591798,-15.695298171313201
0.05,1.0,15,2.348405205319388,0.6063556166899199,0.7295929430914182,0.1883800878735679,-22.198019631250418,-8.77598766221198
0.05,1.5,15,2.6308669613484454,0.679286928492656,0.4867992924632613,0.12569103684371766,-25.75590161480681,-6.035790093893225
0.05,2.0,15,2.862399841536304,0.7390684610971237,0.4884288927244567,0.12611179782189,-28.585481658396496,-4.779452648796621
0.05,2.5,15,2.9680372074629946,0.7663439116952097,0.3922832837627408,0.10128710833391023,-30.835114201446967,-4.418573787521626
0.07,0.01,15,1.0279836860031735,0.2654242464042137,1.1563894341091179,0.2985784680023222,-5.786293270601115,-2.346274725140013
0.07,0.05,15,1.0976638330861432,0.2834155830184554,2.1907953247338243,0.5656609205095448,-6.213820549237629,-17.44200922925104
0.07,0.1,15,1.1834634332951566,0.3055689445331729,2.160456537739736,0.5578274793913954,-7.276187966365773,-23.39925765231557
0.07,0.25,15,1.3876319667254706,0.35828503318618615,2.018231232429689,0.5211050634663904,-10.712208912530976,-20.95786434920083
0.07,0.5,15,1.6633191375619172,0.42946715461369256,1.1612915049947943,0.2998441772624657,-15.030348852966744,-14.216823517790974
0.07,1.0,15,1.9887993448034573,0.5135057827581342,0.6284673021479023,0.162269559656982,-20.42303876821322,-8.32437815226659
0.07,1.5,15,2.191912807483756,0.5659494533148888,0.5164806360954369,0.13335472681574936,-23.87739406065855,-5.855389880557935
0.07,2.0,15,2.4480205926800362,0.6320761991081727,0.42612753921110813,0.11002565751499799,-26.486282168637352,-4.821004311138116
0.07,2.5,15,2.521968449083457,0.6511694535307184,0.2587186437071242,0.06680086656207082,-28.82295693969294,-4.535376762491704
0.09,0.01,15,1.594398073162848,0.4116718123056603,0.9998543791605419,0.25816129060808896,-5.842129281239668,-2.233388708204
0.09,0.05,15,1.6793387576826748,0.4336034027430435,3.4000553533410103,0.8778905173115404,-6.265895386532094,-17.27136162673304
0.09,0.1,15,1.8477519798675563,0.47708750972992187,3.9175161772907643,1.011498327543018,-7.313094170940832,-23.07921035423729
0.09,0.25,15,2.3215537250061464,0.5994225942849732,3.132078662379756,0.8086992332272265,-10.730560947567257,-21.00262784008996
0.09,0.5,15,2.9158332284532014,0.752864902274497,1.9122476799356765,0.4937402278809764,-15.128452719124343,-14.60888791054638
0.09,1.0,15,3.5416638984640425,0.9144536864410181,0.8520060787158574,0.21998702358226674,-20.659199795247705,-8.48699783383395
0.09,1.5,15,3.8933188076649854,1.0052505935708402,0.48501907025695185,0.1252313854465453,-24.255506873044407,-5.927279558722721
0.09,2.0,15,4.053789956721828,1.0466840660937684,0.562438281760185,0.14522093990178073,-26.947281125969646,-4.911790869448032
0.09,2.5,15,4.121465943861363,1.0641579308357394,0.3398326390957262,0.08774441011436421,-29.2425292965542,-4.546292206999346
0.11,0.01,15,0.9251748690124197,0.238879124000982,1.0082404745313174,0.26032657112213703,-5.356331050940326,-2.1866182083947767
0.11,0.05,15,0.9857471474869973,0.2545188190525738,2.4439224336646426,0.6310180590003908,-5.73811243513119,-15.527852131007258
0.11,0.1,15,1.087545465447072,0.28080303172799354,2.5050729277934423,0.6468070486919371,-6.687650081694488,-21.03089145227989
0.11,0.25,15,1.4118205409094633,0.3645304961850599,2.413134325998294,0.6230686037835235,-9.857797234662216,-19.701791266634494
0.11,0.5,15,1.8932094157573185,0.4888245692074112,1.8622051375602393,0.48081929899951326,-14.02763096262746,-14.179347908797164
0.11,1.0,15,2.4635303867186136,0.6360808107091405,0.8770012686227139,0.22644075386523654,-19.52078655099819,-8.598879556262355
0.11,1.5,15,2.7662539535438975,0.7142436995637294,0.39960898136109113,0.10317859532042772,-23.058654676605933,-6.094374992360356
0.11,2.0,15,2.970332167192934,0.7669364677494945,0.42312672250035094,0.10925084997194574,-25.822367705793184,-4.888658174836029
0.11,2.5,15,2.8911620572798973,0.7464948332687877,0.28152430388335,0.07268926269952336,-28.12288545638877,-4.674883030317417
0.13,0.01,15,1.036721731500783,0.2676804000502567,0.7722546521984922,0.19939529379973076,-4.445714256675172,-1.314661230929142
0.13,0.05,15,1.1246497160966762,0.29038330805062174,3.0043034954196517,0.7757078269808694,-4.727485745911407,-12.034777595173825
0.13,0.1,15,1.269853099680244,0.3278746604794301,3.0210045355144084,0.7800200169909585,-5.487262615102808,-17.19500366018491
0.13,0.25,15,1.639288344219913,0.4232624304530436,2.4415914933073384,0.6304162127880679,-8.114603359071534,-16.472910490778737
