beta,radius,dataset_count,ref_count_min,ref_count_max,mean_ref_sd_logZ_inf_full,q95_ref_sd_logZ_inf_full,mean_ref_se_logZ_inf_full,q95_ref_se_logZ_inf_full,mean_ref_sd_dlogZ_inf_full_dr,q95_ref_sd_dlogZ_inf_full_dr,mean_ref_se_dlogZ_inf_full_dr,q95_ref_se_dlogZ_inf_full_dr
0.05,0.01,15,5,5,1.7418238422337233,3.2323735924678427,0.7789673032128949,1.4455614162866597,1.2384868839827565,2.61583821514813,0.5538681723654678,1.1698384134425877
0.05,0.05,15,5,5,1.8446446560435656,3.4646660487019174,0.8249501690490262,1.5494457608466168,5.052575454933531,8.041553936330633,2.25958043573566,3.596292249273262
0.05,0.1,15,5,5,2.0473593832015835,3.8909007800492468,0.9156069510421563,1.7400637275794146,5.649756430335569,9.264367879611994,2.526647886909377,4.143151269475601
0.05,0.25,15,5,5,2.7329971643114153,5.225715077660512,1.2222334883428974,2.3370108289388996,5.079088466139284,7.791316746372653,2.2714374148045158,3.484382775824348
0.05,0.5,15,5,5,3.7051065836206103,6.856801271135382,1.6569740369715387,3.066454750093136,3.3759113976885455,5.146674645383269,1.5097534742495828,2.3016628730303226
0.05,1.0,15,5,5,4.8749324066304265,8.824007867542875,2.180136049388456,3.946216285163765,1.6718974219074727,2.9326441185816914,0.747695257358351,1.311518320592723
0.05,1.5,15,5,5,5.428858371926475,9.7369333838147,2.427859271969287,4.354488987719344,1.0310393412148604,1.4694140194920298,0.46109481088660564,0.6571419269350759
0.05,2.0,15,5,5,5.8178260181242365,10.496749921453835,2.6018108915585434,4.6942892734372705,0.7825318087301518,1.480688023888515,0.34995886377529656,0.6621838149769103
0.05,2.5,15,5,5,5.905723707857898,10.407606199776653,2.641119933420473,4.65442298914977,0.6685010765103253,1.1505257564112936,0.298962770021775,0.5145307602400033
0.07,0.01,15,5,5,1.5848861549966882,2.7010858052465507,0.7087826358341724,1.2079622947182092,1.270353839360906,2.2961049782784864,0.5681195080577667,1.0268493629812747
0.07,0.05,15,5,5,1.695933160655662,2.934350833461433,0.7584443665044264,1.3122815866905857,4.681920618504903,6.662418363374238,2.0938185536469645,2.9795240710095383
0.07,0.1,15,5,5,1.8975029991458603,3.3539336245509896,0.8485891387199738,1.499924715303654,5.221668033371061,7.7787851256058005,2.3352009357110664,3.4787784646437614
0.07,0.25,15,5,5,2.542834232016586,4.220712190757498,1.1371900396605117,1.8875598743991648,4.627533255927758,6.908462820435566,2.0694957856790794,3.0895584973047696
0.07,0.5,15,5,5,3.4181677351944777,5.273548679340909,1.5286510828782705,2.3584026659321022,3.072155279796191,4.480361073198726,1.3739096086118339,2.003678384683252
0.07,1.0,15,5,5,4.5040676272466085,6.602991707091897,2.01428027795592,2.952947662384972,1.6417116154822338,2.530451827397142,0.7341957543338541,1.1316524599697149
0.07,1.5,15,5,5,5.104010709806993,7.4110659430839245,2.282582981003078,3.3143294468938485,0.9730454882406951,1.551800209024389,0.4351591713811333,0.6939861509753833
0.07,2.0,15,5,5,5.243220703203301,7.809488434159087,2.344839582679366,3.492509401655622,0.7086159261344286,1.09166139446293,0.3169026761551104,0.4882058172862647
0.07,2.5,15,5,5,5.512616626720473,8.380822508768748,2.465317102248512,3.748017767393449,0.6196595759950245,1.2345408748126483,0.2771201869667143,0.5521034634166279
0.09,0.01,15,5,5,2.220085175413932,5.5563756916679035,0.9928522736130192,2.484886751019369,1.5195027674995256,4.29471481426986,0.6795422960255995,1.9206548537365582
0.09,0.05,15,5,5,2.345622974856832,5.904584593800278,1.0489944842730312,2.6406105061270813,5.460859000554137,11.563821808687397,2.4421703881561228,5.171498328783917
0.09,0.1,15,5,5,2.5751172955063746,6.427291765087643,1.1516274645575335,2.874372259592116,6.186165177647126,10.837373427029377,2.766537171452207,4.846620736077509
0.09,0.25,15,5,5,3.3117438757466195,7.679293471443264,1.4810568860476117,3.4342844442634957,5.266548294685693,8.35501343341537,2.355271998740561,3.736475598008136
0.09,0.5,15,5,5,4.322359672987802,9.182207406475639,1.9330180104008972,4.106407988876314,3.519235418621047,5.910094053883747,1.573849924972318,2.6430744115802725
0.09,1.0,15,5,5,5.516399136717781,11.046822479707293,2.467008692144423,4.940289199999659,1.7279555886168043,2.7093085888493214,0.7727652316495672,1.2116396353382222
0.09,1.5,15,5,5,6.265071730031397,12.34106503262191,2.8018252544524826,5.5190920655376505,1.0797791115902697,1.5358193040257622,0.48289189884003486,0.6868392729916041
0.09,2.0,15,5,5,6.605865391883751,13.089947670908767,2.954232813293071,5.85400256281341,0.7730088812513961,1.5207014822403577,0.34570008113783685,0.6800783775548257
0.09,2.5,15,5,5,6.81564599716264,13.776522097866785,3.0480495520460003,6.161047980871628,0.6839292967604725,0.8914985023302489,0.30586247987200865,0.3986902506099382
0.11,0.01,15,5,5,1.7079459360349751,3.458037795273387,0.7638166429737424,1.5464815157989587,1.4433476631097697,2.9286270394166833,0.6454846979757821,1.309721828175932
0.11,0.05,15,5,5,1.8071247461376627,3.6067468030335315,0.8081707552371729,1.612986205842604,4.0041994847347055,6.6385306092468515,1.7907324486672866,2.9688411425978107
0.11,0.1,15,5,5,1.991206398890034,3.9179102510702735,0.8904945730301355,1.7521427302272798,4.611107473927512,8.020712314743172,2.062149952651851,3.5869715927470835
0.11,0.25,15,5,5,2.5986610528240135,4.968213386408463,1.1621565529191331,2.2218525717467505,4.542043470474374,7.113576930775717,2.0312635913479515,3.181288316077764
0.11,0.5,15,5,5,3.4683509269314885,6.303524335844065,1.5510936884886428,2.8190217825543087,3.250461199799973,5.439987373341092,1.4536504401956531,2.432836312706242
0.11,1.0,15,5,5,4.592801509116489,8.127505467521967,2.053963276309618,3.634730942576065,1.7289631922176891,2.72927093836886,0.7732158456787577,1.2205670694414819
0.11,1.5,15,5,5,5.205498937190268,9.12688310711763,2.3279698960720694,4.081666210041902,1.0921532391925548,1.8707341376816862,0.488425776936228,0.8366177399371402
0.11,2.0,15,5,5,5.579441647433252,9.930679007066232,2.495202160030833,4.441134664506042,0.6623658086635065,1.353584042240987,0.29621899482864394,0.6053411863419588
0.11,2.5,15,5,5,5.823937964956539,10.36100678904548,2.6045442372769214,4.6335830991285025,0.6576799232889653,1.1014939345243089,0.29412340318219465,0.4926030628800114
0.13,0.01,15,5,5,1.3427474653989302,2.63271990432629,0.6004949218495109,1.1773881343580654,0.7490440240610181,1.5148227356686927,0.3349826711880849,0.6774493221634784
0.13,0.05,15,5,5,1.4127839800739201,2.792832788442352,0.6318162033935988,1.2489927929494777,3.2470711372542254,6.306789601132123,1.4521343581355994,2.820482053584042
0.13,0.1,15,5,5,1.5571491815505047,3.0166047464612915,0.696378284211018,1.349066654867193,4.039684156881862,7.680896546391479,1.8066016764833537,3.435001361174943
0.13,0.25,15,5,5,2.0834684074906256,4.00114227490541,0.9317553976244541,1.7893652228673296,4.06694489434133,7.612937774522701,1.8187930488985828,3.4046092744617447
0.13,0.5,15,5,5,2.850113015967801,5.511062079076129,1.2746092894521892,2.464621887407109,2.8017190687526456,4.850458375604998,1.2529668583176645,2.169190929977197
0.13,1.0,15,5,5,3.7957763213601368,7.114698948478864,1.6975227763890706,3.1817900976490026,1.4717516382855067,2.5770164444833474,0.658187341840615,1.1524767897999155
0.13,1.5,15,5,5,4.359513981587022,8.087349269751849,1.9496339223378694,3.6167725449896833,1.0518639357594854,1.6360480965599986,0.4704078526877362,0.7316629516734593
0.13,2.0,15,5,5,4.643231563616058,8.814431570955955,2.076516282303629,3.9419336351355545,0.7670652779101085,1.5255918543413554,0.34304202091735403,0.6822654184454455
0.13,2.5,15,5,5,4.844016948468403,8.944811954579912,2.166310236187289,4.000241515278688,0.6571984423711466,1.1958415438289827,0.29390807836977234,0.5347965964639799
0.15,0.01,15,5,5,1.1480184503270172,2.369488752103011,0.5134094588710352,1.0596675843246959,0.7309465357779416,1.6766883200137022,0.3268892283834918,0.7498378121261118
