cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path,canonical_dataset
cell_beta_0p05_p_0p00,random_gaussian_baseline,0,606001234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_001/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_001/dataset_meta.json,dataset_001
cell_beta_0p05_p_0p00,random_gaussian_baseline,1,606101234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_002/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_002/dataset_meta.json,dataset_002
cell_beta_0p05_p_0p00,random_gaussian_baseline,2,606201234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_003/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_003/dataset_meta.json,dataset_003
cell_beta_0p05_p_0p00,random_gaussian_baseline,3,606301234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_004/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_004/dataset_meta.json,dataset_004
cell_beta_0p05_p_0p00,random_gaussian_baseline,4,606401234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_005/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_005/dataset_meta.json,dataset_005
cell_beta_0p05_p_0p00,random_gaussian_baseline,5,606501234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_006/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_006/dataset_meta.json,dataset_006
cell_beta_0p05_p_0p00,random_gaussian_baseline,6,606601234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_007/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_007/dataset_meta.json,dataset_007
cell_beta_0p05_p_0p00,random_gaussian_baseline,7,606701234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_008/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_008/dataset_meta.json,dataset_008
cell_beta_0p05_p_0p00,random_gaussian_baseline,8,606801234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_009/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_009/dataset_meta.json,dataset_009
cell_beta_0p05_p_0p00,random_gaussian_baseline,9,606901234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_010/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_010/dataset_meta.json,dataset_010
