run,beta_role,beta,source_beta_tag,cell_id,dataset_id,dataset_tag,complexity_metric,knn_k,complexity_3nn_disagreement,source_dataset
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,0,dataset_000_seed_001234,3nn_label_disagreement,3,0.4329427083333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,1,dataset_001_seed_101234,3nn_label_disagreement,3,0.4908854166666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_001_seed_101234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,2,dataset_002_seed_201234,3nn_label_disagreement,3,0.4602864583333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_002_seed_201234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,3,dataset_003_seed_301234,3nn_label_disagreement,3,0.4674479166666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_003_seed_301234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,4,dataset_004_seed_401234,3nn_label_disagreement,3,0.47265625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_004_seed_401234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,5,dataset_005_seed_501234,3nn_label_disagreement,3,0.4498697916666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_005_seed_501234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,6,dataset_006_seed_601234,3nn_label_disagreement,3,0.458984375,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_006_seed_601234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,7,dataset_007_seed_701234,3nn_label_disagreement,3,0.48046875,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_007_seed_701234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,8,dataset_008_seed_801234,3nn_label_disagreement,3,0.4700520833333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_008_seed_801234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,9,dataset_009_seed_901234,3nn_label_disagreement,3,0.4524739583333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_009_seed_901234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,10,dataset_010_seed_1001234,3nn_label_disagreement,3,0.4153645833333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_010_seed_1001234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,11,dataset_011_seed_1101234,3nn_label_disagreement,3,0.4602864583333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_011_seed_1101234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,12,dataset_012_seed_1201234,3nn_label_disagreement,3,0.4733072916666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_012_seed_1201234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,13,dataset_013_seed_1301234,3nn_label_disagreement,3,0.451171875,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_013_seed_1301234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,14,dataset_014_seed_1401234,3nn_label_disagreement,3,0.47265625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_014_seed_1401234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,15,dataset_015_seed_1501234,3nn_label_disagreement,3,0.4869791666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_015_seed_1501234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,16,dataset_016_seed_1601234,3nn_label_disagreement,3,0.482421875,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_016_seed_1601234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,17,dataset_017_seed_1701234,3nn_label_disagreement,3,0.416015625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_017_seed_1701234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,18,dataset_018_seed_1801234,3nn_label_disagreement,3,0.46484375,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_018_seed_1801234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,19,dataset_019_seed_1901234,3nn_label_disagreement,3,0.4947916666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_019_seed_1901234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,20,dataset_020_seed_2001234,3nn_label_disagreement,3,0.4973958333333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_020_seed_2001234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,21,dataset_021_seed_2101234,3nn_label_disagreement,3,0.4830729166666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_021_seed_2101234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,22,dataset_022_seed_2201234,3nn_label_disagreement,3,0.486328125,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_022_seed_2201234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,23,dataset_023_seed_2301234,3nn_label_disagreement,3,0.490234375,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_023_seed_2301234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,24,dataset_024_seed_2401234,3nn_label_disagreement,3,0.4440104166666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_024_seed_2401234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,25,dataset_025_seed_2501234,3nn_label_disagreement,3,0.4713541666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_025_seed_2501234/dataset.npz
