train_row,tsne_1,tsne_2,digit
0,14.5470705,8.9787855,4
1,-23.564451,-1.0649863,8
2,8.130563,5.8853188,4
3,3.5611837,-3.1626801,7
4,-0.19194393,-9.70525,6
5,-4.7198496,-12.543973,6
6,23.218828,2.2056832,3
7,-20.207043,-9.22728,0
8,-19.932322,16.079397,2
9,-7.304417,3.8806229,8
10,2.7493627,0.7698694,3
11,-19.34306,15.535723,2
12,-6.114994,-20.503748,5
13,-30.702068,-7.9479475,0
14,-10.315712,9.568073,8
15,-14.922825,2.1653934,3
16,7.1257033,19.342348,7
17,-22.049105,-7.746983,0
18,-23.63033,-6.897765,0
19,14.858302,-18.773142,6
20,5.2109575,-17.291693,1
21,8.467615,-13.212241,1
22,1.0642326,12.001845,4
23,24.980488,6.2555413,8
24,2.673523,-16.997025,2
25,-3.8725288,-6.2183056,2
26,10.827742,6.065207,4
27,1.8286049,-2.6500738,3
28,13.810322,18.968655,7
29,9.04562,-4.0318274,1
30,11.987138,6.5767736,4
31,0.8581094,22.446684,7
32,-0.9919373,2.6662405,8
33,7.6017103,-13.301356,1
34,-22.872276,-11.146597,0
35,2.6643014,-20.221207,1
36,6.430692,14.749137,9
37,5.9146433,-7.2907214,1
38,-0.09167879,-5.602407,0
39,5.4204984,-15.966508,1
40,-6.0891957,10.246457,8
41,25.044428,-0.7061251,2
42,17.232725,3.2621202,8
43,-4.374489,-11.279898,6
44,0.005935313,12.094008,4
45,6.6024313,-11.480373,1
46,8.4742,2.1108766,2
47,16.062794,-13.486476,6
48,8.156059,0.05840003,2
49,11.419526,2.5017326,4
50,14.89542,-19.657656,6
51,5.4734926,17.132694,7
52,-23.909172,-8.21129,0
53,1.288454,11.071753,4
54,-23.326439,-4.1370363,0
55,-15.70279,-21.04914,5
56,-3.1808143,-11.184424,6
57,-1.9428793,4.6073914,5
58,22.013475,4.9239397,7
59,17.931692,17.077175,3
60,-21.071993,14.792654,2
61,9.636343,18.359297,7
62,-8.258593,5.5198345,8
63,-16.712786,-7.3306303,0
64,8.108794,-12.16673,1
65,-9.539257,-4.336139,2
66,-6.128065,2.6994088,8
67,-31.014843,-7.2444587,0
68,-1.0516955,-16.841534,6
