metric,phi_feature,n,pearson_r,pearson_p,spearman_r,spearman_p
nmstv_mean,minus_phi_area,4,0.9809846171568982,0.01901538284310167,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_area,4,0.9809846171568981,0.01901538284310189,0.7999999999999999,0.20000000000000007
nmstv_mean,minus_phi_mean,4,0.981208298145973,0.01879170185402712,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_mean,4,0.9812082981459729,0.01879170185402712,0.7999999999999999,0.20000000000000007
nmstv_mean,minus_phi_d0p1,4,0.9416493356847636,0.0583506643152365,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_d0p1,4,0.9416493356847635,0.0583506643152365,0.7999999999999999,0.20000000000000007
nmstv_mean,minus_phi_d0p3,4,0.9338577430886899,0.06614225691131015,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_d0p3,4,0.9338577430886897,0.06614225691131015,0.7999999999999999,0.20000000000000007
nmstv_mean,minus_phi_d0p5,4,0.949367774887451,0.050632225112548834,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_d0p5,4,0.9493677748874509,0.050632225112549056,0.7999999999999999,0.20000000000000007
nmstv_mean,minus_phi_d0p65,4,0.9678206238411892,0.032179376158810946,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_d0p65,4,0.967820623841189,0.032179376158810946,0.7999999999999999,0.20000000000000007
nmstv_mean,minus_phi_d1p0,4,0.9804983476610941,0.019501652338905995,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_d1p0,4,0.980498347661094,0.019501652338905995,0.7999999999999999,0.20000000000000007
nmstv_mean,minus_phi_d1p5,4,0.9858143960936547,0.014185603906345268,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_d1p5,4,0.9858143960936546,0.014185603906345268,0.7999999999999999,0.20000000000000007
nmstv_mean,minus_phi_d2p0,4,0.9848258906278476,0.015174109372152245,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_d2p0,4,0.9848258906278475,0.015174109372152467,0.7999999999999999,0.20000000000000007
nmstv_mean,minus_phi_d2p5,4,0.9849481571559292,0.015051842844070684,0.7999999999999999,0.20000000000000007
tv_mean,minus_phi_d2p5,4,0.9849481571559291,0.015051842844070906,0.7999999999999999,0.20000000000000007
