rule,label,nmstv_mean,minus_phi_d0p1,feature,nmstv_rank,phi_rank,minus_phi_d0p3,minus_phi_d0p5,minus_phi_d0p65,minus_phi_d1p0,minus_phi_d1p5,minus_phi_d2p0,minus_phi_d2p5,minus_phi_area
low_tv_spectral_teacher,low_tv,0.4070564814370742,0.0055673374756276,minus_phi_d0p1,1.0,2.0,,,,,,,,
real_even_odd,even_odd,0.4932864276461805,0.0030494066116485,minus_phi_d0p1,2.0,1.0,,,,,,,,
teacher_nn,teacher_nn,0.6843772639598127,0.008776399469645,minus_phi_d0p1,3.0,3.0,,,,,,,,
random_label,random,0.985558573825462,0.026890111610131,minus_phi_d0p1,4.0,4.0,,,,,,,,
low_tv_spectral_teacher,low_tv,0.4070564814370742,,minus_phi_d0p3,1.0,2.0,0.0299961391966909,,,,,,,
real_even_odd,even_odd,0.4932864276461805,,minus_phi_d0p3,2.0,1.0,0.0260051065736426,,,,,,,
teacher_nn,teacher_nn,0.6843772639598127,,minus_phi_d0p3,3.0,3.0,0.0425191152088217,,,,,,,
random_label,random,0.985558573825462,,minus_phi_d0p3,4.0,4.0,0.1430017588242921,,,,,,,
low_tv_spectral_teacher,low_tv,0.4070564814370742,,minus_phi_d0p5,1.0,2.0,,0.0487596565292789,,,,,,
real_even_odd,even_odd,0.4932864276461805,,minus_phi_d0p5,2.0,1.0,,0.0451567479883383,,,,,,
teacher_nn,teacher_nn,0.6843772639598127,,minus_phi_d0p5,3.0,3.0,,0.0667204465023377,,,,,,
random_label,random,0.985558573825462,,minus_phi_d0p5,4.0,4.0,,0.1585538696644625,,,,,,
low_tv_spectral_teacher,low_tv,0.4070564814370742,,minus_phi_d0p65,1.0,2.0,,,0.061094639149981,,,,,
real_even_odd,even_odd,0.4932864276461805,,minus_phi_d0p65,2.0,1.0,,,0.0587247075532741,,,,,
teacher_nn,teacher_nn,0.6843772639598127,,minus_phi_d0p65,3.0,3.0,,,0.0845924649255484,,,,,
random_label,random,0.985558573825462,,minus_phi_d0p65,4.0,4.0,,,0.1592025720074132,,,,,
low_tv_spectral_teacher,low_tv,0.4070564814370742,,minus_phi_d1p0,1.0,2.0,,,,0.0773838155328443,,,,
real_even_odd,even_odd,0.4932864276461805,,minus_phi_d1p0,2.0,1.0,,,,0.0743701550563375,,,,
teacher_nn,teacher_nn,0.6843772639598127,,minus_phi_d1p0,3.0,3.0,,,,0.104666538778125,,,,
random_label,random,0.985558573825462,,minus_phi_d1p0,4.0,4.0,,,,0.1607878038739638,,,,
low_tv_spectral_teacher,low_tv,0.4070564814370742,,minus_phi_d1p5,1.0,2.0,,,,,0.0965628326676144,,,
real_even_odd,even_odd,0.4932864276461805,,minus_phi_d1p5,2.0,1.0,,,,,0.0940174020012755,,,
teacher_nn,teacher_nn,0.6843772639598127,,minus_phi_d1p5,3.0,3.0,,,,,0.1260966948219263,,,
random_label,random,0.985558573825462,,minus_phi_d1p5,4.0,4.0,,,,,0.1664007166173442,,,
low_tv_spectral_teacher,low_tv,0.4070564814370742,,minus_phi_d2p0,1.0,2.0,,,,,,0.1096899768568465,,
real_even_odd,even_odd,0.4932864276461805,,minus_phi_d2p0,2.0,1.0,,,,,,0.1079627139788312,,
teacher_nn,teacher_nn,0.6843772639598127,,minus_phi_d2p0,3.0,3.0,,,,,,0.1402427353557324,,
random_label,random,0.985558573825462,,minus_phi_d2p0,4.0,4.0,,,,,,0.171456454723663,,
low_tv_spectral_teacher,low_tv,0.4070564814370742,,minus_phi_d2p5,1.0,2.0,,,,,,,0.1202491899884015,
real_even_odd,even_odd,0.4932864276461805,,minus_phi_d2p5,2.0,1.0,,,,,,,0.1200394433851958,
teacher_nn,teacher_nn,0.6843772639598127,,minus_phi_d2p5,3.0,3.0,,,,,,,0.1510676848912387,
random_label,random,0.985558573825462,,minus_phi_d2p5,4.0,4.0,,,,,,,0.1778087085739424,
low_tv_spectral_teacher,low_tv,0.4070564814370742,,minus_phi_area,1.0,2.0,,,,,,,,0.196848510740104
real_even_odd,even_odd,0.4932864276461805,,minus_phi_area,2.0,1.0,,,,,,,,0.19079188211082276
teacher_nn,teacher_nn,0.6843772639598127,,minus_phi_area,3.0,3.0,,,,,,,,0.25762541950962575
random_label,random,0.985558573825462,,minus_phi_area,4.0,4.0,,,,,,,,0.3819418975350557
