rule,radius,phi_energy_raw,n_units,target_ref_count,sampling_status
very_low_tv_spectral_teacher,0.01,-0.0009585889851335401,30,30,complete
very_low_tv_spectral_teacher,0.02,-0.0010372616699596833,30,30,complete
very_low_tv_spectral_teacher,0.03,-0.0011831618979026366,30,30,complete
very_low_tv_spectral_teacher,0.04,-0.0014106053197844766,30,30,complete
very_low_tv_spectral_teacher,0.05,-0.00172567687958592,30,30,complete
very_low_tv_spectral_teacher,0.06,-0.0021311824160416036,30,30,complete
very_low_tv_spectral_teacher,0.07,-0.0026172358973893264,30,30,complete
very_low_tv_spectral_teacher,0.08,-0.0031677573943371434,30,30,complete
very_low_tv_spectral_teacher,0.09,-0.00381183826407293,30,30,complete
very_low_tv_spectral_teacher,0.1,-0.004482218497032894,30,30,complete
very_low_tv_spectral_teacher,0.11,-0.00521821712950918,30,30,complete
very_low_tv_spectral_teacher,0.12,-0.005996903679318761,30,30,complete
very_low_tv_spectral_teacher,0.13,-0.0067907374856293334,30,30,complete
very_low_tv_spectral_teacher,0.14,-0.007618357015084273,30,30,complete
very_low_tv_spectral_teacher,0.15,-0.008489978850698573,30,30,complete
very_low_tv_spectral_teacher,0.16,-0.00930991275948242,30,30,complete
very_low_tv_spectral_teacher,0.17,-0.010219267046677813,30,30,complete
very_low_tv_spectral_teacher,0.18,-0.011129872125073999,30,30,complete
very_low_tv_spectral_teacher,0.19,-0.011927885228340302,30,30,complete
very_low_tv_spectral_teacher,0.2,-0.012914074339141091,30,30,complete
very_low_tv_spectral_teacher,0.21,-0.01347434085896969,30,30,complete
very_low_tv_spectral_teacher,0.22,-0.014530610118920243,30,30,complete
very_low_tv_spectral_teacher,0.23,-0.015262088071490543,30,30,complete
very_low_tv_spectral_teacher,0.24,-0.0160597147437431,30,30,complete
very_low_tv_spectral_teacher,0.25,-0.017067845713434334,30,30,complete
very_low_tv_spectral_teacher,0.26,-0.01769565237067533,30,30,complete
very_low_tv_spectral_teacher,0.27,-0.018428800159111008,30,30,complete
very_low_tv_spectral_teacher,0.28,-0.019166171817980634,30,30,complete
very_low_tv_spectral_teacher,0.29,-0.02014541431352452,30,30,complete
very_low_tv_spectral_teacher,0.3,-0.020883008452317168,30,30,complete
very_low_tv_spectral_teacher,0.31,-0.021645787329601048,30,30,complete
very_low_tv_spectral_teacher,0.32,-0.02217654533809495,30,30,complete
very_low_tv_spectral_teacher,0.33,-0.023037091403989463,30,30,complete
very_low_tv_spectral_teacher,0.34,-0.0236002450267734,30,30,complete
very_low_tv_spectral_teacher,0.35,-0.02428849336406119,30,30,complete
very_low_tv_spectral_teacher,0.36,-0.025182223244075333,30,30,complete
very_low_tv_spectral_teacher,0.37,-0.026103093521872178,30,30,complete
very_low_tv_spectral_teacher,0.38,-0.02649390246068846,30,30,complete
very_low_tv_spectral_teacher,0.39,-0.027020330250724426,30,30,complete
very_low_tv_spectral_teacher,0.4,-0.02781251020396078,30,30,complete
very_low_tv_spectral_teacher,0.41,-0.028208793889445784,30,30,complete
very_low_tv_spectral_teacher,0.42,-0.02925066675440522,30,30,complete
very_low_tv_spectral_teacher,0.43,-0.02947937869780743,30,30,complete
very_low_tv_spectral_teacher,0.44,-0.030166279059074725,30,30,complete
very_low_tv_spectral_teacher,0.45,-0.03078174819596006,30,30,complete
very_low_tv_spectral_teacher,0.46,-0.030957794793328407,30,30,complete
very_low_tv_spectral_teacher,0.47,-0.03171136552066499,30,30,complete
very_low_tv_spectral_teacher,0.48,-0.032585379668377816,30,30,complete
very_low_tv_spectral_teacher,0.49,-0.03292097849115699,30,30,complete
very_low_tv_spectral_teacher,0.5,-0.03362615199674303,30,30,complete
very_low_tv_spectral_teacher,0.51,-0.03424943953461172,30,30,complete
very_low_tv_spectral_teacher,0.52,-0.035322925688257144,30,30,complete
very_low_tv_spectral_teacher,0.53,-0.035437471252440886,30,30,complete
very_low_tv_spectral_teacher,0.54,-0.03563662100630506,30,30,complete
very_low_tv_spectral_teacher,0.55,-0.035755408257502855,30,30,complete
very_low_tv_spectral_teacher,0.56,-0.03674797110444619,30,30,complete
very_low_tv_spectral_teacher,0.57,-0.03766917653187829,30,30,complete
very_low_tv_spectral_teacher,0.58,-0.0375024708741832,30,30,complete
very_low_tv_spectral_teacher,0.59,-0.03814549254733683,30,30,complete
very_low_tv_spectral_teacher,0.6,-0.03886827387399096,30,30,complete
very_low_tv_spectral_teacher,0.61,-0.039595585481832285,30,30,complete
very_low_tv_spectral_teacher,0.62,-0.04013411762982917,30,30,complete
very_low_tv_spectral_teacher,0.63,-0.040012121089048364,30,30,complete
very_low_tv_spectral_teacher,0.64,-0.0410330835175167,30,30,complete
very_low_tv_spectral_teacher,0.65,-0.04161052761885884,30,30,complete
very_low_tv_spectral_teacher,0.66,-0.04182957900786648,30,30,complete
very_low_tv_spectral_teacher,0.67,-0.042252494745454956,30,30,complete
very_low_tv_spectral_teacher,0.68,-0.04239560755365758,30,30,complete
very_low_tv_spectral_teacher,0.69,-0.04273034530500646,30,30,complete
very_low_tv_spectral_teacher,0.7,-0.04354651657678714,30,30,complete
very_low_tv_spectral_teacher,0.71,-0.044071567556213435,30,30,complete
very_low_tv_spectral_teacher,0.72,-0.04473186092812951,30,30,complete
very_low_tv_spectral_teacher,0.73,-0.044327734687622695,30,30,complete
very_low_tv_spectral_teacher,0.74,-0.04561005340330445,30,30,complete
very_low_tv_spectral_teacher,0.75,-0.04576999634422559,30,30,complete
very_low_tv_spectral_teacher,0.76,-0.04627363616513856,30,30,complete
very_low_tv_spectral_teacher,0.77,-0.047155555789053,30,30,complete
very_low_tv_spectral_teacher,0.78,-0.04773875389076892,30,30,complete
very_low_tv_spectral_teacher,0.79,-0.04798737158097778,30,30,complete
very_low_tv_spectral_teacher,0.8,-0.047999185556682915,30,30,complete
very_low_tv_spectral_teacher,0.81,-0.048737817705327195,30,30,complete
