train_row,mnist_index,digit,tsne_1,tsne_2,umap_1,umap_2,label_low_tv_spectral_teacher,label_real_even_odd,label_teacher_nn,label_random_label
0,11930,4,-2.4344820976257324,14.634281158447266,4.417481899261475,4.486187934875488,-1,1,-1,-1
1,24598,8,20.209020614624023,9.325846672058105,2.4041590690612793,8.99921989440918,-1,1,1,1
2,14720,4,-9.424704551696777,9.755243301391602,4.763785362243652,5.21205472946167,-1,1,1,1
3,19592,7,-0.14851641654968262,-1.1746941804885864,6.916242599487305,5.986053943634033,-1,-1,-1,1
4,996,6,-9.755049705505371,-12.767265319824219,5.3686442375183105,8.934399604797363,-1,1,-1,1
5,10383,6,-9.7763032913208,-18.07794761657715,5.446681499481201,9.281120300292969,1,1,-1,-1
6,4883,3,-11.177108764648438,20.78485107421875,3.145899772644043,5.938618183135986,-1,-1,1,-1
7,46661,0,22.915218353271484,-2.2190096378326416,3.8366451263427734,9.521634101867676,1,1,-1,-1
8,47226,2,10.238274574279785,-21.88636589050293,4.507524013519287,6.811822891235352,-1,1,1,-1
9,27646,8,14.676207542419434,4.515628814697266,2.6528563499450684,8.323623657226562,1,1,-1,1
10,66379,3,7.899234771728516,10.010453224182129,2.3269240856170654,6.860949993133545,-1,-1,-1,1
11,14215,2,10.796212196350098,-21.262107849121094,4.0426344871521,6.838667869567871,-1,1,1,-1
12,68834,5,-0.0931677371263504,-19.78915023803711,6.467979907989502,6.881377220153809,1,-1,1,-1
13,58897,0,26.865102767944336,7.332831859588623,2.1684694290161133,9.406391143798828,-1,1,1,-1
14,39991,8,11.237662315368652,-11.77972412109375,5.002875328063965,7.4584269523620605,1,1,-1,-1
15,47519,3,16.55076026916504,-10.264704704284668,4.391152858734131,8.185745239257812,1,-1,-1,-1
16,12863,7,-18.767724990844727,5.235016822814941,6.221142292022705,4.156952857971191,-1,-1,1,1
17,39715,0,24.14073944091797,0.31344109773635864,3.336437940597534,9.67896842956543,-1,1,-1,1
18,48895,0,25.65388298034668,1.8211032152175903,3.409929037094116,9.56581974029541,-1,1,-1,1
19,58592,6,-16.003482818603516,-15.885476112365723,6.9248948097229,9.323497772216797,-1,1,1,-1
20,67442,1,2.802771806716919,-13.492599487304688,6.161963939666748,8.090694427490234,1,-1,-1,1
21,54103,1,-2.564805746078491,-12.012447357177734,7.30482816696167,7.971792697906494,-1,-1,-1,-1
22,25173,4,-11.531370162963867,-0.5437794327735901,5.727986812591553,5.464183330535889,1,1,1,1
23,10632,8,-10.503538131713867,23.10774803161621,2.3092753887176514,8.64882755279541,-1,1,1,1
24,6841,2,4.914906978607178,-11.587834358215332,5.878169059753418,8.15160083770752,1,1,1,1
25,25246,2,5.288098335266113,0.09518740326166153,3.357501745223999,7.403784275054932,1,1,-1,-1
26,31378,4,-3.580345392227173,11.04705810546875,4.187923431396484,4.872900009155273,-1,1,1,1
27,26383,3,1.1211004257202148,-0.5105944871902466,2.8946635723114014,7.390168190002441,1,-1,-1,-1
28,69419,7,-19.294675827026367,12.050408363342285,5.70596170425415,3.654813528060913,-1,-1,1,-1
29,62902,1,-6.3071675300598145,-2.760697364807129,8.082305908203125,6.62905740737915,-1,-1,-1,1
30,55930,4,-3.922518730163574,11.982135772705078,4.104354381561279,4.809154510498047,-1,1,1,-1
31,46009,7,-22.242759704589844,-0.8433148860931396,6.941845417022705,4.7289018630981445,1,-1,1,1
