run,rule,radius,target_ref_count,observed_ref_count,n_samples_min,n_samples_max,sampling_complete,diagnostic_phi_available,strict_claim_qc_pass,claim_status_updated,strict_claim_fail_reason,unit_strict_qc_pass_count,unit_split_fail_count,unit_split_fail_fraction,refs_remaining_if_drop_split_fail,split_fail_ref_ids,max_split_logZ_per_P_diff,split_logZ_per_P_diff_q99,split_logZ_per_P_diff_q95,split_logZ_per_P_diff_q90,split_logZ_per_P_diff_median,q05_ess_fraction,finite_unit_fraction,bootstrap_sd_delta_phi_energy,delta_phi_energy,delta_phi_full,phi_energy_raw
60ref,low_tv_spectral_teacher,0.1,60,60,1024,1024,True,True,True,strict_claim_pass,pass,60,0,0.0,60,,0.0007120936126367,0.0006158832600109094,0.00043768169715030476,0.00037493314057169,7.509406515879646e-05,0.5658651324024104,1.0,0.0,0.0,0.0,-0.0058201145837458
60ref,low_tv_spectral_teacher,0.2,60,60,1024,1024,True,True,True,strict_claim_pass,pass,60,0,0.0,60,,0.0031928688933926,0.002833369280495495,0.0021888637323572097,0.0019233178437674102,0.0007671527828322,0.6065836005850458,1.0,0.0001818931767279,-0.012002032821458,0.6808634950848668,-0.0178221474052038
60ref,low_tv_spectral_teacher,0.3,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,58,2,0.03333333333333333,58,"032,057",0.0045525475648652,0.00453393222368686,0.0034586486348643936,0.0029981536108482903,0.00125386286954945,0.6150045203739256,1.0,0.0002699063175414,-0.0244596183962648,1.0737062613776276,-0.0302797329800106
60ref,low_tv_spectral_teacher,0.4,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,50,10,0.16666666666666666,50,"003,007,012,020,021,033,034,050,056,059",0.0075846797258898,0.006842507588281085,0.005630363096657118,0.004451247568959241,0.0012066871637882999,0.5561331894583706,1.0,0.0002789841966053,-0.034534124970935,1.3511969308417149,-0.0403542395546808
60ref,low_tv_spectral_teacher,0.5,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,54,6,0.1,54,"005,013,023,024,044,052",0.0054773896954325,0.005354079503956023,0.004354679366304355,0.0039680943961144894,0.00209593497355205,0.5924278372366415,1.0,0.0002483057604302,-0.0430370186209198,1.5657469166037394,-0.0488571332046657
60ref,low_tv_spectral_teacher,0.6,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,46,14,0.23333333333333334,46,"004,005,014,032,033,034,035,038,043,045,047,052,054,059",0.0107275537522139,0.008606527313259787,0.006804183017355365,0.006081154131757921,0.0026324592353983503,0.6142400374413932,1.0,0.0003203531823674,-0.0498098871364569,1.7412215205437604,-0.0556300017202027
60ref,low_tv_spectral_teacher,0.7,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,32,28,0.4666666666666667,32,"002,004,007,008,010,011,012,014,022,025,026,030,034,035,036,037,038,040,041,042,043,044,045,047,052,054,055,059",0.0102272450053169,0.00954053903339846,0.00840963844629296,0.00741270254379033,0.0032410385829378004,0.590212578397493,1.0,0.0003806894326905,-0.0553296885447353,1.889789761547126,-0.0611498031284812
60ref,low_tv_spectral_teacher,0.8,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,35,25,0.4166666666666667,35,"014,017,018,020,021,030,031,032,034,035,036,037,038,039,042,043,045,046,048,049,050,054,055,056,057",0.0127968491251121,0.012022099115092267,0.0075324851582092255,0.00719748420922841,0.00306159060232705,0.6123949279390525,1.0,0.0004125459806074,-0.0617231899105915,2.016873393808383,-0.0675433044943374
60ref,low_tv_spectral_teacher,0.9,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,36,24,0.4,36,"000,002,005,007,008,010,011,012,014,016,021,026,028,034,036,038,039,044,045,046,050,051,052,053",0.0114095455023088,0.011294578162810173,0.009905746519539396,0.008656692594582979,0.00366430094495965,0.6358266695646088,1.0,0.0004557750844553,-0.0664000101540686,2.129931749393717,-0.0722201247378145
60ref,low_tv_spectral_teacher,1.0,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,34,26,0.43333333333333335,34,"000,003,005,009,011,013,018,021,023,026,029,030,033,035,038,039,040,041,042,045,052,053,054,055,056,058",0.010983757661275,0.010144187488953045,0.008837793543528134,0.007712878496011061,0.0029458590526964,0.5798693385970914,1.0,0.0004281738062057,-0.0712911586763308,2.2303583044546538,-0.0771112732600766
60ref,low_tv_spectral_teacher,1.1,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,40,20,0.3333333333333333,40,"002,003,004,006,007,010,013,015,018,019,021,031,033,038,039,044,048,049,053,054",0.010972259487095,0.010625321929873463,0.008784177086349371,0.007238918426871121,0.0033118888797319,0.6057357266982467,1.0,0.0004630670642367,-0.0765236581732046,2.320397256529758,-0.0823437727569505
