run,rule,ref_id,radius_count,split_fail_radius_count,finite_fail_radius_count,ess_fail_radius_count,split_logZ_per_P_diff_max,split_logZ_per_P_diff_median,split_logZ_per_P_diff_mean,first_split_fail_radius
60ref,low_tv_spectral_teacher,0,25,13,0,0,0.0172973859665889,0.004976980234266,0.005363138417980636,0.9
60ref,low_tv_spectral_teacher,1,25,8,0,0,0.0218076639371072,0.0023060495941112,0.004424056976546731,1.2
60ref,low_tv_spectral_teacher,2,25,10,0,0,0.0161791499229894,0.0034345573525414,0.0045155919585058895,0.7
60ref,low_tv_spectral_teacher,3,25,11,0,0,0.0133985834734186,0.0032305776628216,0.0045683402542131026,0.4
60ref,low_tv_spectral_teacher,4,25,10,0,0,0.0188823752735494,0.0026080712999648,0.0046875371994083755,0.6
60ref,low_tv_spectral_teacher,5,25,11,0,0,0.0199366069825744,0.0036328370373093,0.00446816331093216,0.5
60ref,low_tv_spectral_teacher,6,25,8,0,0,0.0162153829196557,0.0027299649996421,0.004158531309120853,1.1
60ref,low_tv_spectral_teacher,7,25,16,0,0,0.0222480136802669,0.004721729084884,0.006728783507451582,0.4
60ref,low_tv_spectral_teacher,8,25,9,0,0,0.010617216215292,0.0026900222659864,0.0035759014603792966,0.7
60ref,low_tv_spectral_teacher,9,25,7,0,0,0.0170908079355792,0.0024149233330201,0.0039389861864529965,1.0
60ref,low_tv_spectral_teacher,10,25,11,0,0,0.0103471162551317,0.0033868141553977,0.0039821991713103,0.7
60ref,low_tv_spectral_teacher,11,25,14,0,0,0.0150560210953675,0.004074874238962,0.005084473704388324,0.7
60ref,low_tv_spectral_teacher,12,25,8,0,0,0.022946823763459,0.0020616684636487,0.004194278340497672,0.4
60ref,low_tv_spectral_teacher,13,25,11,0,0,0.0135395354300934,0.0025585876268038,0.0042424336902644804,0.5
60ref,low_tv_spectral_teacher,14,25,13,0,0,0.0305737310342763,0.0044471285556285,0.00574425465971929,0.6
