rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count,sampling_status,qc_diagnostic_pass
low_tv_spectral_teacher,0.1,0.1,-0.005820114583745847,0.0,0.0,60,60,complete,True
low_tv_spectral_teacher,0.2,0.1,-0.017822147405203867,-0.012002032821458017,0.6808634950848668,60,60,complete,True
low_tv_spectral_teacher,0.3,0.1,-0.03027973298001067,-0.024459618396264822,1.0737062613776276,60,60,complete,False
low_tv_spectral_teacher,0.4,0.1,-0.04035423955468085,-0.03453412497093501,1.3511969308417147,60,60,complete,False
low_tv_spectral_teacher,0.5,0.1,-0.04885713320466571,-0.04303701862091986,1.5657469166037394,60,60,complete,False
low_tv_spectral_teacher,0.6,0.1,-0.05563000172020276,-0.049809887136456926,1.7412215205437604,60,60,complete,False
low_tv_spectral_teacher,0.7,0.1,-0.06114980312848124,-0.055329688544735384,1.889789761547126,60,60,complete,False
low_tv_spectral_teacher,0.8,0.1,-0.06754330449433743,-0.06172318991059158,2.016873393808383,60,60,complete,False
low_tv_spectral_teacher,0.9,0.1,-0.07222012473781451,-0.06640001015406867,2.129931749393717,60,60,complete,False
low_tv_spectral_teacher,1.0,0.1,-0.07711127326007666,-0.0712911586763308,2.2303583044546538,60,60,complete,False
low_tv_spectral_teacher,1.1,0.1,-0.08234377275695051,-0.07652365817320467,2.320397256529758,60,60,complete,False
low_tv_spectral_teacher,1.2,0.1,-0.0855442736275596,-0.07972415904381376,2.4041727765427288,60,60,complete,False
low_tv_spectral_teacher,1.3,0.1,-0.08953373087857112,-0.08371361629482528,2.4801935025005344,60,60,complete,False
low_tv_spectral_teacher,1.4,0.1,-0.0931958032819313,-0.08737568869818545,2.5506092893000005,60,60,complete,False
low_tv_spectral_teacher,1.5,0.1,-0.09652540161796416,-0.09070528703421829,2.6162445279643336,60,60,complete,False
low_tv_spectral_teacher,1.6,0.1,-0.09922191789837949,-0.09340180331463363,2.6780603083106658,60,60,complete,False
low_tv_spectral_teacher,1.7,0.1,-0.1028079597463127,-0.09698784516256685,2.735074254137836,60,60,complete,False
low_tv_spectral_teacher,1.8,0.1,-0.104957459271082,-0.09913734468733612,2.790059942766774,60,60,complete,False
low_tv_spectral_teacher,1.9,0.1,-0.10655054694546415,-0.10073043236171829,2.842512106748173,60,60,complete,False
low_tv_spectral_teacher,2.0,0.1,-0.10994115716327371,-0.10412104257952787,2.890393948457781,60,60,complete,False
low_tv_spectral_teacher,2.1,0.1,-0.11296512406316586,-0.10714500947942,2.936140320386334,60,60,complete,False
low_tv_spectral_teacher,2.2,0.1,-0.11480275595047379,-0.10898264136672794,2.98080380124256,60,60,complete,False
low_tv_spectral_teacher,2.3,0.1,-0.11669270348354704,-0.1108725888998012,3.0233475538006087,60,60,complete,False
low_tv_spectral_teacher,2.4,0.1,-0.1193910839137597,-0.11357096933001384,3.063191494162853,60,60,complete,False
low_tv_spectral_teacher,2.5,0.1,-0.12017425602885168,-0.11435414144510586,3.1032137290042128,60,60,complete,False
random_label,0.1,0.1,-0.027070669108251417,0.0,0.0,60,60,complete,False
random_label,0.2,0.1,-0.0938165713814246,-0.06674590227317319,0.6261196256331516,60,60,complete,False
random_label,0.3,0.1,-0.14231669532873972,-0.11524602622048832,0.9829198535534042,60,60,complete,False
random_label,0.4,0.1,-0.15728627023458822,-0.13021560112633682,1.2555154546863128,60,60,complete,False
random_label,0.5,0.1,-0.15787189368748863,-0.13080122457923724,1.4779827106454222,60,60,complete,False
random_label,0.6,0.1,-0.15841509636094908,-0.13134442725269763,1.6596869804275198,60,60,complete,False
random_label,0.7,0.1,-0.15901101312550195,-0.13194034401725055,1.8131791060746107,60,60,complete,False
random_label,0.8,0.1,-0.15913408959260789,-0.1320634204843564,1.9465331632346181,60,60,complete,False
random_label,0.9,0.1,-0.159947444481048,-0.13287677537279657,2.0634549841749887,60,60,complete,False
random_label,1.0,0.1,-0.16079682666930648,-0.1337261575610551,2.1679233055699294,60,60,complete,False
random_label,1.1,0.1,-0.16153416939140686,-0.1344635002831554,2.2624574144198073,60,60,complete,False
random_label,1.2,0.1,-0.16277852814491706,-0.13570785903666563,2.3481890765498767,60,60,complete,False
random_label,1.3,0.1,-0.16373127304154977,-0.13666060393329835,2.427246514862061,60,60,complete,False
random_label,1.4,0.1,-0.16520692398241085,-0.1381362548741594,2.4998487231240265,60,60,complete,False
random_label,1.5,0.1,-0.16630354959066956,-0.13923288048241816,2.5677169345161337,60,60,complete,False
random_label,1.6,0.1,-0.16682020147074106,-0.13974953236248966,2.6317125792628095,60,60,complete,False
random_label,1.7,0.1,-0.16816359954222593,-0.14109293043397456,2.6909691688664283,60,60,complete,False
random_label,1.8,0.1,-0.1694774660948915,-0.1424067969866401,2.74679049046747,60,60,complete,False
random_label,1.9,0.1,-0.1702082121100365,-0.14313754300178508,2.8001049961081064,60,60,complete,False
random_label,2.0,0.1,-0.17137810153614869,-0.14430743242789726,2.8502075586094118,60,60,complete,False
random_label,2.1,0.1,-0.1731340299659062,-0.14606336085765478,2.897221969008099,60,60,complete,False
random_label,2.2,0.1,-0.17409171199497953,-0.14702104288672813,2.94276539972256,60,60,complete,False
random_label,2.3,0.1,-0.17525456324554575,-0.14818389413729435,2.9860362485631153,60,60,complete,False
random_label,2.4,0.1,-0.17616301841827292,-0.1490923493100215,3.0276701141828455,60,60,complete,False
random_label,2.5,0.1,-0.1780341272130502,-0.15096345810479878,3.0666044123445197,60,60,complete,False
real_even_odd,0.1,0.1,-0.003026857355907104,0.0,0.0,60,60,complete,True
real_even_odd,0.2,0.1,-0.01375418056046175,-0.01072732320455465,0.6821382047017702,60,60,complete,True
real_even_odd,0.3,0.1,-0.026049182268486508,-0.023022324912579408,1.075143554861313,60,60,complete,False
real_even_odd,0.4,0.1,-0.036838359859815026,-0.03381150250390792,1.3519195533087418,60,60,complete,False
real_even_odd,0.5,0.1,-0.045057779084840474,-0.04203092172893338,1.566753013495726,60,60,complete,False
real_even_odd,0.6,0.1,-0.05241081922514467,-0.049383961869237554,1.7416474458109799,60,60,complete,False
real_even_odd,0.7,0.1,-0.05881982179430408,-0.05579296443839698,1.8893264856534644,60,60,complete,False
real_even_odd,0.8,0.1,-0.06477335089777565,-0.06174649354186855,2.016850090177106,60,60,complete,False
real_even_odd,0.9,0.1,-0.06950506503969761,-0.06647820768379051,2.1298535518639947,60,60,complete,False
real_even_odd,1.0,0.1,-0.07436222592116325,-0.07133536856525614,2.2303140945657285,60,60,complete,False
real_even_odd,1.1,0.1,-0.07878416479969723,-0.07575730744379014,2.3211636072591726,60,60,complete,False
real_even_odd,1.2,0.1,-0.08330558219729155,-0.08027872484138446,2.403618210745158,60,60,complete,False
real_even_odd,1.3,0.1,-0.08713289527051112,-0.08410603791460405,2.4798010808807556,60,60,complete,False
real_even_odd,1.4,0.1,-0.09024813172460917,-0.08722127436870207,2.550763703629484,60,60,complete,False
real_even_odd,1.5,0.1,-0.0944865568468239,-0.0914596994909168,2.6154901155076353,60,60,complete,False
real_even_odd,1.6,0.1,-0.09699791885832795,-0.09397106150242084,2.6774910501228786,60,60,complete,False
real_even_odd,1.7,0.1,-0.10043201228128364,-0.09740515492537653,2.7346569443750264,60,60,complete,False
real_even_odd,1.8,0.1,-0.10312630745746455,-0.10009945010155745,2.7890978373525526,60,60,complete,False
real_even_odd,1.9,0.1,-0.10650479803408532,-0.1034779406781782,2.8397645984317132,60,60,complete,False
real_even_odd,2.0,0.1,-0.10826058283927614,-0.10523372548336903,2.88928126555394,60,60,complete,False
real_even_odd,2.1,0.1,-0.11190956976182687,-0.10888271240591976,2.934402617459834,60,60,complete,False
real_even_odd,2.2,0.1,-0.1116499472997437,-0.1086230899438366,2.9811633526654515,60,60,complete,False
real_even_odd,2.3,0.1,-0.11710365270976908,-0.11407679535386198,3.0201433473465475,60,60,complete,False
real_even_odd,2.4,0.1,-0.11637375041283063,-0.1133468930569235,3.0634155704359434,60,60,complete,False
real_even_odd,2.5,0.1,-0.12049594473672305,-0.11746908738081598,3.1000987830685025,60,60,complete,False
teacher_nn,0.1,0.1,-0.008705735564557757,0.0,0.0,60,60,complete,True
teacher_nn,0.2,0.1,-0.025883150616586737,-0.01717741505202897,0.6756881128542959,60,60,complete,True
teacher_nn,0.3,0.1,-0.042236296721871555,-0.033530561157313794,1.0646353186165787,60,60,complete,False
teacher_nn,0.4,0.1,-0.05615643289212286,-0.04745069732756509,1.3382803584850846,60,60,complete,False
teacher_nn,0.5,0.1,-0.06654757343480291,-0.05784183787024514,1.5509420973544141,60,60,complete,False
teacher_nn,0.6,0.1,-0.07618104176317643,-0.06747530619861866,1.7235561014815988,60,60,complete,False
teacher_nn,0.7,0.1,-0.08408854487299017,-0.07538280930843241,1.869736640783429,60,60,complete,False
teacher_nn,0.8,0.1,-0.09127170557500994,-0.08256597001045218,1.9960306137085224,60,60,complete,False
teacher_nn,0.9,0.1,-0.09796326540672483,-0.08925752984216707,2.1070742297056184,60,60,complete,False
teacher_nn,1.0,0.1,-0.10436285512199214,-0.09565711955743443,2.2059923435735502,60,60,complete,False
teacher_nn,1.1,0.1,-0.10868230923334125,-0.09997657366878347,2.2969443410341794,60,60,complete,False
teacher_nn,1.2,0.1,-0.1145492624658743,-0.10584352690131653,2.378053408685226,60,60,complete,False
teacher_nn,1.3,0.1,-0.11779971529656087,-0.10909397973200312,2.4548131390633565,60,60,complete,False
teacher_nn,1.4,0.1,-0.12352255407732743,-0.11481681851276966,2.523168159485416,60,60,complete,False
