rule,radius,d_delta_phi_energy_dd,qc_diagnostic_pass
low_tv_spectral_teacher,0.1,-0.119590418337459,True
low_tv_spectral_teacher,0.2,-0.12214400860531652,True
low_tv_spectral_teacher,0.3,-0.1134046018806595,False
low_tv_spectral_teacher,0.4,-0.09381758666293999,False
low_tv_spectral_teacher,0.5,-0.07684800711792952,False
low_tv_spectral_teacher,0.6,-0.061674913103510004,False
low_tv_spectral_teacher,0.7,-0.060311981516882496,False
low_tv_spectral_teacher,0.8,-0.05516178627395252,False
low_tv_spectral_teacher,0.9,-0.04872259060188261,False
low_tv_spectral_teacher,1.0,-0.049382958003461985,False
low_tv_spectral_teacher,1.1,-0.041676524050159536,False
low_tv_spectral_teacher,1.2,-0.038573386629379924,False
low_tv_spectral_teacher,1.3,-0.038042502347294116,False
low_tv_spectral_teacher,1.4,-0.03422283668137294,False
low_tv_spectral_teacher,1.5,-0.03020476441905895,False
low_tv_spectral_teacher,1.6,-0.027468474170876556,False
low_tv_spectral_teacher,1.7,-0.028814538270792445,False
low_tv_spectral_teacher,1.8,-0.023169545599377006,False
low_tv_spectral_teacher,1.9,-0.022792477532705913,False
low_tv_spectral_teacher,2.0,-0.03243358690832698,False
low_tv_spectral_teacher,2.1,-0.025040159511929505,False
low_tv_spectral_teacher,2.2,-0.022800532918246352,False
low_tv_spectral_teacher,2.3,-0.023434320219312688,False
low_tv_spectral_teacher,2.4,-0.012559647007108432,False
low_tv_spectral_teacher,2.5,-0.008643171853065922,False
teacher_nn,0.1,-0.17233611991608,True
teacher_nn,0.2,-0.16871357869588302,False
teacher_nn,0.3,-0.152441938302792,False
teacher_nn,0.4,-0.12100665646758049,False
teacher_nn,0.5,-0.09854893419218103,False
teacher_nn,0.6,-0.089360092116053,False
teacher_nn,0.7,-0.07823149147423802,False
teacher_nn,0.8,-0.06694960334959038,False
teacher_nn,0.9,-0.06406027261514902,False
teacher_nn,1.0,-0.05657044472553907,False
teacher_nn,1.1,-0.047142169661724576,False
teacher_nn,1.2,-0.04674440250795142,False
teacher_nn,1.3,-0.04589112009801011,False
teacher_nn,1.4,-0.03725669889880845,False
teacher_nn,1.5,-0.028837375477442917,False
teacher_nn,1.6,-0.03363009043868459,False
teacher_nn,1.7,-0.03271427154317996,False
teacher_nn,1.8,-0.021807437686022557,False
teacher_nn,1.9,-0.023296046107679436,False
teacher_nn,2.0,-0.02919366086720898,False
teacher_nn,2.1,-0.023108030998501006,False
teacher_nn,2.2,-0.020147259131531925,False
teacher_nn,2.3,-0.015977902060456683,False
teacher_nn,2.4,-0.020076502223114523,False
teacher_nn,2.5,-0.030077629237147935,False
random_label,0.1,-0.667596711992722,False
random_label,0.2,-0.580558236070805,False
random_label,0.3,-0.3205410309261807,False
random_label,0.4,-0.07776055420085182,False
random_label,0.5,-0.005192447523539978,False
random_label,0.6,-0.0032435117147540105,False
random_label,0.7,-0.0035647370015994273,False
random_label,0.8,-0.0041310716248889046,False
random_label,0.9,-0.006391889871482537,False
random_label,1.0,-0.009305991060931107,False
random_label,1.1,-0.00959099506589367,False
random_label,1.2,-0.00942012581368279,False
random_label,1.3,-0.01141874337766069,False
random_label,1.4,-0.013133534550151427,False
random_label,1.5,-0.009472413939630941,False
random_label,1.6,-0.009826723969470152,False
random_label,1.7,-0.013261063287154817,False
random_label,1.8,-0.010060303309323615,False
random_label,1.9,-0.009600038578156389,False
random_label,2.0,-0.01394125561702142,False
random_label,2.1,-0.013128400507048998,False
random_label,2.2,-0.012492834077586834,False
random_label,2.3,-0.012018653042868754,False
random_label,2.4,-0.010718842809589013,False
random_label,2.5,-0.013228431402957918,False
real_even_odd,0.1,-0.10627334283697,True
real_even_odd,0.2,-0.1147784998099705,True
real_even_odd,0.3,-0.1159706989406235,False
real_even_odd,0.4,-0.09575820707347849,False
real_even_odd,0.5,-0.07819811145195854,False
real_even_odd,0.6,-0.06783979782467903,False
real_even_odd,0.7,-0.06037924298304401,False
real_even_odd,0.8,-0.052960239901048534,False
real_even_odd,0.9,-0.04891901742933402,False
real_even_odd,1.0,-0.04810855715921547,False
real_even_odd,1.1,-0.046077056998937604,False
real_even_odd,1.2,-0.039484083244253954,False
real_even_odd,1.3,-0.032743592657984544,False
real_even_odd,1.4,-0.0359105919354889,False
real_even_odd,1.5,-0.03568061326784894,False
real_even_odd,1.6,-0.032057784536734135,False
real_even_odd,1.7,-0.030234887450146963,False
real_even_odd,1.8,-0.026041544953031126,False
real_even_odd,1.9,-0.023226644237550387,False
real_even_odd,2.0,-0.02904496105815846,False
real_even_odd,2.1,-0.024187562077525038,False
real_even_odd,2.2,-0.02399492561382588,False
real_even_odd,2.3,-0.018683757822506197,False
real_even_odd,2.4,-0.018970990757852024,False
real_even_odd,2.5,-0.035024654263584004,False
