rule,radius,probe_unit_count,mean_replicate_phi_sd,max_replicate_phi_sd,mean_split_q95,max_split_q95,mean_split_fail_rate,max_split_fail_rate
low_tv_spectral_teacher,0.3,2,0.001481315309141056,0.002023327402378433,0.003113478145007472,0.003357804623945952,0.0,0.0
low_tv_spectral_teacher,1.0,2,0.0006510846822947342,0.001100544021073803,0.007670237678754469,0.010655187179077074,0.75,1.0
low_tv_spectral_teacher,2.5,2,0.0041015615382772545,0.004564706557820463,0.00991944196298163,0.013910228107679858,0.75,1.0
random_label,0.3,2,0.003799397235630503,0.006194361511762514,0.0073298784480586255,0.008657454716977448,0.75,1.0
random_label,1.0,2,0.000732005293816567,0.001132631833991854,0.0074646305923971035,0.010031503688266961,0.75,1.0
random_label,2.5,2,0.003617177021676612,0.0068008455793754155,0.006605601433602244,0.010012648511785347,0.25,0.5
real_even_odd,0.3,2,0.0008102065406622708,0.0008267337503172464,0.0016682772401089073,0.0023451025278344536,0.0,0.0
real_even_odd,1.0,2,0.0027033707587972326,0.0034012470661273606,0.0034528053540040203,0.005016537674558707,0.25,0.5
real_even_odd,2.5,2,0.00319185693146896,0.0035154682141096292,0.006979761829314032,0.011445533442001546,0.25,0.5
teacher_nn,0.3,2,0.0005942801821620732,0.0006292708553547348,0.0017093245383355822,0.0020976438678105757,0.0,0.0
teacher_nn,1.0,2,0.0030039443163784913,0.003589883678439896,0.004178971484366599,0.006833128330125003,0.25,0.5
teacher_nn,2.5,2,0.0025594547195252216,0.004791556499232924,0.002322184931410615,0.0025592283244971095,0.0,0.0
