rule,ref_id,delta_phi_r_0.1,delta_phi_r_0.2,delta_phi_r_0.3,delta_phi_r_0.4,delta_phi_r_0.5,delta_phi_r_0.6,delta_phi_r_0.7,delta_phi_r_0.8,delta_phi_r_0.9,delta_phi_r_1.0,delta_phi_r_1.1,delta_phi_r_1.2,delta_phi_r_1.3,delta_phi_r_1.4,delta_phi_r_1.5,delta_phi_r_1.6,delta_phi_r_1.7,delta_phi_r_1.8,delta_phi_r_1.9,delta_phi_r_2.0,delta_phi_r_2.1,delta_phi_r_2.2,delta_phi_r_2.3,delta_phi_r_2.4,delta_phi_r_2.5
low_tv_spectral_teacher,0,0.0,-0.0113256886549553,-0.0219423421185897,-0.0339058055677476,-0.0413011442615618,-0.0477754514895301,-0.0537447040119523,-0.0590759114622116,-0.062117609929552,-0.0643935020337063,-0.0745589270936802,-0.0765649880915749,-0.0810211040400802,-0.0839414798593628,-0.0951475832699082,-0.0824868720829213,-0.0954113661068829,-0.101911263351865,-0.0965753919758586,-0.092504630622916,-0.1023369585491186,-0.1008961343428223,-0.1089376798496024,-0.1082134965613536,-0.1088063053953221
low_tv_spectral_teacher,1,0.0,-0.0112549484360631,-0.0262965420803271,-0.0357885123976631,-0.045061490117157,-0.0481304057156865,-0.055969862537524,-0.0632863745281292,-0.0690097521602074,-0.0741822646735441,-0.0829021508870376,-0.0722035187175594,-0.0836031066185531,-0.094441481793919,-0.0879219852451981,-0.09101734732574,-0.0979355746716548,-0.1013973057224689,-0.1077919871688314,-0.1095454858730626,-0.103412333687925,-0.1109525704339817,-0.1119384828344303,-0.122902383111256,-0.1125158050189013
low_tv_spectral_teacher,2,0.0,-0.0104277821367573,-0.0239090864365455,-0.0330820870137536,-0.0445595155323983,-0.0521162781956521,-0.0597911516413421,-0.0652470638857189,-0.0675865002063266,-0.0765490135726394,-0.0766606447540266,-0.0857351451507721,-0.0836931067369615,-0.0907502230373912,-0.0926386452606245,-0.0965403367231166,-0.0984984809618973,-0.1047870594703105,-0.1054645331647213,-0.1071705881480433,-0.1087795382083998,-0.1065508042960744,-0.1177141993927088,-0.1065934000358043,-0.1182557552500337
low_tv_spectral_teacher,3,0.0,-0.0101452870069236,-0.0219542261255656,-0.0305097897158436,-0.0398999534291385,-0.0489460992884523,-0.0531065144529559,-0.0614025620656003,-0.0665810566494927,-0.0641462214806538,-0.0809473581886073,-0.0835104445560149,-0.0860874999439172,-0.086293587692486,-0.0899629138991313,-0.0999798756714587,-0.0985138710511939,-0.0993211315989808,-0.1031305926720338,-0.1014612600435147,-0.1063743517675269,-0.1019218591922619,-0.1168267971339921,-0.115293957760818,-0.1164213012005892
low_tv_spectral_teacher,4,0.0,-0.0120747147145699,-0.0243294813343053,-0.0351630943387456,-0.0433532709954927,-0.0443942665153936,-0.0516611690778914,-0.0573864599828162,-0.069011760545222,-0.071606446746702,-0.0655963527322414,-0.0832254149424897,-0.0859985954096193,-0.0891877267724899,-0.0953145050495576,-0.0872628994967949,-0.0933791145990884,-0.1050680581121812,-0.1030433960568307,-0.1054604787595703,-0.113685948668671,-0.1000087793710816,-0.1061478634921103,-0.1157363589330302,-0.1148616228443615
low_tv_spectral_teacher,5,0.0,-0.0096112548757968,-0.0213991063107464,-0.0318101999916034,-0.0391458075115381,-0.0448465673820758,-0.0565822384909628,-0.0649852690741574,-0.0640483031393885,-0.0678803137461925,-0.0755110865290992,-0.0769205845038716,-0.0856796976967656,-0.0935196207559256,-0.0868039470433071,-0.0874586851771054,-0.0985602027714409,-0.1057494966562295,-0.0897537728941847,-0.1025267492263929,-0.1077270302492179,-0.1135243703217765,-0.11528913922515,-0.1100797414757365,-0.1171352154472428
low_tv_spectral_teacher,6,0.0,-0.0134604475900797,-0.02371615169663,-0.0323665896702536,-0.0432869756252895,-0.0540089232286462,-0.0554582891066567,-0.0611910934355554,-0.0672366490766915,-0.0760637485117904,-0.0781290877798286,-0.0762304361415055,-0.0746408162429113,-0.0850629175638498,-0.0879726664066022,-0.0870425591975118,-0.0948249637834143,-0.0915452609515444,-0.1050455410079651,-0.1029495355500201,-0.1014455472371636,-0.1085558587307962,-0.1133870414556279,-0.0997794122036014,-0.1114731454457481
low_tv_spectral_teacher,7,0.0,-0.012977570046322,-0.0248294663228657,-0.0330630353035074,-0.0419124955582524,-0.0526409170125486,-0.0512732846992139,-0.0614840537920055,-0.0651623634541181,-0.0745161087351043,-0.0690906776957253,-0.0722378390208241,-0.0794802943530807,-0.090727089588374,-0.0844240620014532,-0.0921309324553418,-0.0870946943799304,-0.0888523123857472,-0.1034869891974789,-0.0990703030540732,-0.0916402805444728,-0.1094679194599449,-0.1045292735437265,-0.1132937638889512,-0.1081433008608056
low_tv_spectral_teacher,8,0.0,-0.0114127271189751,-0.0255108510266421,-0.0366920510505987,-0.0455921985450787,-0.0503833768917383,-0.0489801785840742,-0.0584331286534748,-0.0689501588304515,-0.0736639518390624,-0.0790012651286173,-0.0808738632482749,-0.0841959274150563,-0.084187703750509,-0.093219093387151,-0.0943366071139726,-0.0967062898337844,-0.1044388632875498,-0.1040048163351307,-0.107843766099772,-0.1007867631971087,-0.1065975463586735,-0.1164968953678347,-0.1166442648561908,-0.1173653791092619
low_tv_spectral_teacher,9,0.0,-0.0136717153835498,-0.0251293142218548,-0.0378486633738507,-0.0446548963737711,-0.0553834978614564,-0.0604948488756909,-0.0691607185854383,-0.0678982915728434,-0.0722912701331287,-0.0782750626687584,-0.0829975463584207,-0.0860760390241302,-0.0845628178393465,-0.099547424323833,-0.1046341288490125,-0.1045062349984727,-0.1092046108493655,-0.1040716554558445,-0.1021198828210423,-0.1147916499174346,-0.1048518249286927,-0.1130023153656671,-0.10941730742187,-0.1080622710191014
