rule,radius,phi_energy_raw,n_units,target_ref_count,sampling_status
very_low_tv_spectral_teacher,0.1,-0.004414630139509569,90,90,complete
very_low_tv_spectral_teacher,0.2,-0.01260656671363554,90,90,complete
very_low_tv_spectral_teacher,0.3,-0.020625268897174736,90,90,complete
very_low_tv_spectral_teacher,0.4,-0.027578532226318328,90,90,complete
very_low_tv_spectral_teacher,0.5,-0.03306846998729307,90,90,complete
very_low_tv_spectral_teacher,0.6,-0.03867477043256929,90,90,complete
very_low_tv_spectral_teacher,0.7,-0.043270711415166266,90,90,complete
very_low_tv_spectral_teacher,0.8,-0.0480110952589853,90,90,complete
very_low_tv_spectral_teacher,0.9,-0.052505724510071336,90,90,complete
very_low_tv_spectral_teacher,1.0,-0.05603277196681275,90,90,complete
very_low_tv_spectral_teacher,1.1,-0.06042828471020357,90,90,complete
very_low_tv_spectral_teacher,1.2,-0.06344005246846111,90,90,complete
very_low_tv_spectral_teacher,1.3,-0.06659002861606256,90,90,complete
very_low_tv_spectral_teacher,1.4,-0.06999612575572048,90,90,complete
very_low_tv_spectral_teacher,1.5,-0.07287167138441973,90,90,complete
very_low_tv_spectral_teacher,1.6,-0.07622909712631222,90,90,complete
very_low_tv_spectral_teacher,1.7,-0.0786249494940357,90,90,complete
very_low_tv_spectral_teacher,1.8,-0.08130138090225787,90,90,complete
very_low_tv_spectral_teacher,1.9,-0.08403514331318838,90,90,complete
very_low_tv_spectral_teacher,2.0,-0.08621464407627866,90,90,complete
very_low_tv_spectral_teacher,2.1,-0.08880025384573471,90,90,complete
very_low_tv_spectral_teacher,2.2,-0.09013496375869284,90,90,complete
very_low_tv_spectral_teacher,2.3,-0.09360496499090909,90,90,complete
very_low_tv_spectral_teacher,2.4,-0.09547194049870071,90,90,complete
very_low_tv_spectral_teacher,2.5,-0.09741288803255663,90,90,complete
