train_row,tsne_1,tsne_2,digit
0,2.6502817,17.612677,4
1,6.088719,-26.431479,8
2,-3.0007052,9.245801,4
3,3.0645285,4.7179,7
4,11.458552,0.49776095,6
5,15.724622,-2.0779004,6
6,-1.0224674,25.523123,3
7,-2.1002655,-22.378462,0
8,15.885886,14.110231,2
9,-1.1755803,-8.518562,8
10,-0.7850909,1.1008687,3
11,15.8533325,14.925272,2
12,16.9585,-10.682035,5
13,9.999572,-25.840866,0
14,-4.603094,-12.309616,8
15,-9.339183,-15.418911,3
16,-11.633782,13.701743,7
17,-0.07408601,-24.286993,0
18,0.37992316,-26.088636,0
19,21.26832,1.4967123,6
20,-9.640664,-2.712985,1
21,12.667631,8.172016,1
22,-5.8196135,6.222574,4
23,-2.7921743,27.742481,8
24,-10.024547,-7.2668552,2
25,7.182735,0.36259377,2
26,0.81387836,14.773888,4
27,2.8480897,3.3190348,3
28,-10.417966,19.734024,7
29,4.5190244,11.082024,1
30,-0.014558953,15.940931,4
31,-16.326864,9.053302,7
32,-1.121961,-3.9225454,8
33,13.4968195,8.057968,1
34,-2.9008083,-25.463184,0
35,-7.3146462,-4.151913,1
36,-7.592589,12.032151,9
37,6.7380295,7.399222,1
38,8.51574,-3.9434478,0
39,-8.4935875,-1.984205,1
40,-3.30731,-11.184043,8
41,1.86728,28.358097,2
42,-0.37420923,21.133814,8
43,15.420299,-0.9595284,6
44,-5.958396,5.1987615,4
45,10.739888,7.4586663,1
46,7.3816795,-9.664442,2
47,20.828812,7.3600326,6
48,10.695949,14.600688,2
49,5.187656,3.5961595,4
50,21.558735,0.6942078,6
51,-9.974559,11.543095,7
52,-0.8287298,-26.00426,0
53,-4.819507,6.305698,4
54,3.6954234,-25.505035,0
55,17.566963,-20.508589,5
56,14.280197,-0.7388101,6
57,0.25456634,-3.4534674,5
58,-4.2186375,23.859215,7
59,-7.1758223,22.540096,3
60,17.548471,14.576464,2
61,-10.220746,15.864407,7
62,-3.2392745,-8.7864685,8
63,2.0037305,-20.30163,0
64,11.897232,8.598524,1
65,-17.441174,-7.621684,2
66,-0.28566596,-7.2362523,8
67,10.109614,-25.068027,0
68,-21.90554,-11.515344,6
69,5.068302,7.0554457,3
70,-0.063990034,-1.2794042,8
71,-17.86289,7.4551625,7
72,-11.025625,27.63294,6
73,-0.8489427,-1.9488063,8
74,-6.700429,-10.972681,8
75,-11.93841,12.863188,7
76,-1.5568413,-12.925182,8
77,11.643212,-27.302263,6
78,-2.1003702,19.288372,4
79,5.582489,9.089407,1
80,-4.19502,-17.203808,9
81,-17.574251,8.441907,7
82,21.84521,-0.14333586,6
83,2.443242,-5.9623704,5
84,-11.350023,-4.4058623,7
85,6.6075835,5.5272217,3
86,-0.9962301,19.95287,4
87,11.088243,5.4439,1
88,6.043695,20.868431,9
89,-7.2208843,16.280682,9
90,3.9230087,-12.211066,4
91,-6.6663437,14.96351,9
92,4.42141,-7.38085,8
93,4.520459,17.843918,9
94,11.050485,9.415176,1
95,-9.539508,15.779437,7
96,-3.8128607,24.425928,2
97,-15.100103,17.164764,7
98,7.8487673,-3.3175285,0
99,-9.104438,-1.2414101,1
100,6.2246375,-23.03203,8
101,-8.301692,-11.395021,8
102,-2.9114487,-13.636059,5
103,-7.5578513,-14.9317665,8
104,4.390287,6.7249274,3
105,2.0391057,0.5713143,3
106,-13.763795,9.37586,7
107,13.366842,-0.5130352,6
108,-1.3005695,3.2824674,2
109,21.422642,6.3039455,6
110,-2.7501876,-8.136944,3
111,1.025506,-24.770416,0
112,17.043764,14.081407,2
113,-1.8619443,-1.3747568,8
114,11.235851,8.0041275,1
115,1.4366376,-16.25408,0
116,-17.08861,3.536393,3
117,1.7008376,-3.0466995,5
118,4.7399917,-30.339195,0
119,-3.736534,13.779085,4
120,-8.486929,-4.509223,1
121,14.189871,3.799335,6
122,-11.04191,3.4435878,8
123,4.378989,6.0856404,3
124,-6.9677815,-9.277665,3
125,9.451533,4.837879,6
126,13.239167,6.8701982,1
127,11.745614,-1.7326072,6
128,-4.3553667,-13.151142,8
129,3.7747605,-0.7926069,3
130,14.347915,-6.766639,2
131,-11.157282,15.045452,7
132,1.6365423,26.891933,3
133,10.645866,3.714732,8
134,-6.679568,-19.886766,2
135,0.17610958,15.427441,4
136,11.229911,-9.897838,0
137,-13.884185,-9.298643,2
138,-0.8305931,-5.331544,8
139,-1.1483032,-14.57018,1
140,13.278627,-12.426435,5
141,-22.108147,-12.80078,6
142,3.9294128,-12.554679,4
143,22.153759,1.098025,6
144,-18.85325,-5.3639836,2
145,3.4780295,7.0193152,3
146,-8.810076,-17.137436,3
147,-1.7962571,-18.162994,0
148,1.9919317,26.706781,3
149,-10.25945,9.717071,4
150,-5.18071,-9.386911,8
151,5.2640557,18.160128,9
152,6.4884257,17.568884,7
153,-1.9095763,19.593424,4
154,-9.79535,-5.080537,1
155,2.470602,-4.5319552,3
156,17.638924,-2.4847512,6
157,16.226843,-14.70304,5
158,17.858252,-20.072187,5
159,-2.3558054,-2.1940732,8
160,-9.065377,7.469867,9
161,-0.17232451,1.9136655,3
162,-17.885595,7.310484,7
163,7.968822,11.3972845,1
164,-5.450629,-9.359043,8
165,9.012279,6.0339847,1
166,5.270944,-2.1348526,8
167,-3.259676,12.143176,4
168,-2.4329822,-19.694258,0
169,-10.503354,16.622553,7
170,-14.391334,14.150076,9
171,-12.381399,8.243595,9
172,-3.0102668,25.152369,3
173,1.4752674,-9.520111,5
174,7.9265847,-0.9023932,8
175,14.790308,-5.5543523,6
176,22.286194,5.8471594,6
177,21.417572,0.11787373,6
178,23.141071,0.87587,6
179,-0.36160105,18.483112,4
180,-2.569529,-23.803171,0
181,-10.276313,26.311127,6
182,-1.8126954,0.32866222,3
183,11.823189,18.968033,3
184,-1.7721883,-24.337034,0
185,12.429327,-4.957082,6
186,-12.831094,-13.079095,3
187,9.25903,7.963003,1
188,-15.680885,8.503563,7
189,8.586669,10.779097,1
190,-10.433932,-1.2690434,1
191,-6.6783113,26.315134,9
192,-3.9800527,-5.841402,3
193,4.8967686,-24.608978,0
194,5.670314,-22.718082,8
195,-6.3682504,13.302305,9
196,16.331797,-14.908033,5
197,3.985225,-30.266375,0
198,9.707086,7.258344,1
199,3.0098066,-19.5882,0
200,-10.509437,-0.35728487,1
201,6.883777,-3.9990337,0
202,-15.21332,11.501678,7
203,-11.911978,9.593793,9
204,-0.44505072,12.18115,9
205,-6.2740874,-27.909441,4
206,-8.786356,22.21072,7
207,3.6030416,18.714867,9
208,1.6474001,5.3122044,3
209,-2.8015106,-21.381702,0
210,-1.8930882,10.704996,9
211,3.1853821,-13.685592,4
212,1.386115,-4.18751,5
213,13.506871,-12.730069,5
214,5.962158,17.930325,7
215,11.602857,5.627584,1
216,-2.9790347,-23.488863,0
217,3.3597686,-19.86592,0
218,0.37734008,-27.736794,0
219,15.679208,13.765546,2
220,6.585416,21.065315,7
221,-1.6830735,21.961481,4
222,-11.756282,-9.439149,2
223,-3.6760938,-6.980816,9
224,-4.9067483,22.621037,7
225,-8.213411,11.977984,9
226,12.978198,0.53119123,6
227,18.036465,-2.6850295,6
228,11.366324,6.8890786,1
229,10.261243,6.105181,7
230,6.703257,4.9598308,7
231,-6.74995,9.298629,9
232,-6.5010386,-10.973347,8
233,4.4146295,-18.981823,0
234,11.504456,-4.8083835,6
235,-19.290466,-2.528966,3
236,7.0398197,10.816488,1
237,-2.711615,26.587145,3
238,17.871792,-10.755525,5
239,4.2860446,-23.931183,0
240,-0.27814257,10.635893,9
241,-9.135926,13.049623,9
242,-6.7616467,-22.00167,2
243,-5.2466817,-23.929651,0
244,-16.17278,-13.355912,8
245,-8.281672,7.8454723,9
246,9.516438,-8.319423,0
247,-7.3343043,10.798192,9
248,18.492651,-13.175658,5
249,-10.239553,21.044333,7
250,5.8375945,-26.8365,8
251,-0.5784923,-6.7737885,8
252,5.4919195,-0.4553097,3
253,-6.425501,-12.298972,8
254,11.811319,7.6587653,1
255,2.7837257,0.9620433,3
256,-2.9486785,-21.078482,0
257,-18.95931,-2.3554184,3
258,3.0964792,-2.919124,3
259,6.9452105,-1.9089696,3
260,14.490551,-16.392056,8
261,0.99457365,4.8039947,3
262,4.7015724,-19.280209,0
263,8.4390745,-16.033136,3
