rule,radius,phi_energy_raw,n_units,target_ref_count,sampling_status
very_low_tv_spectral_teacher,0.1,-0.004414630139509517,90,90,complete
very_low_tv_spectral_teacher,0.15,-0.008346127804857285,90,90,complete
very_low_tv_spectral_teacher,0.2,-0.012606566713635489,90,90,complete
very_low_tv_spectral_teacher,0.25,-0.016811481919348135,90,90,complete
very_low_tv_spectral_teacher,0.3,-0.020625268897174684,90,90,complete
very_low_tv_spectral_teacher,0.35,-0.023961965758403696,90,90,complete
very_low_tv_spectral_teacher,0.4,-0.02757853222631829,90,90,complete
very_low_tv_spectral_teacher,0.45,-0.03052898534008479,90,90,complete
very_low_tv_spectral_teacher,0.5,-0.03306846998729302,90,90,complete
very_low_tv_spectral_teacher,0.55,-0.03606423686259787,90,90,complete
very_low_tv_spectral_teacher,0.6,-0.03867477043256924,90,90,complete
very_low_tv_spectral_teacher,0.65,-0.04118038860829744,90,90,complete
very_low_tv_spectral_teacher,0.7,-0.043270711415166224,90,90,complete
very_low_tv_spectral_teacher,0.75,-0.045722085492898176,90,90,complete
very_low_tv_spectral_teacher,0.8,-0.048011095258985254,90,90,complete
very_low_tv_spectral_teacher,0.85,-0.04959926203909974,90,90,complete
very_low_tv_spectral_teacher,0.9,-0.05250572451007129,90,90,complete
very_low_tv_spectral_teacher,0.95,-0.0539477755945075,90,90,complete
very_low_tv_spectral_teacher,1.0,-0.0560327719668127,90,90,complete
very_low_tv_spectral_teacher,1.05,-0.05830280031095224,90,90,complete
very_low_tv_spectral_teacher,1.1,-0.06042828471020353,90,90,complete
very_low_tv_spectral_teacher,1.15,-0.061484473515923156,90,90,complete
very_low_tv_spectral_teacher,1.2,-0.06344005246846106,90,90,complete
very_low_tv_spectral_teacher,1.25,-0.06542034588595781,90,90,complete
very_low_tv_spectral_teacher,1.3,-0.0665900286160625,90,90,complete
very_low_tv_spectral_teacher,1.35,-0.06876930219780654,90,90,complete
very_low_tv_spectral_teacher,1.4,-0.06999612575572044,90,90,complete
very_low_tv_spectral_teacher,1.45,-0.07178196489333097,90,90,complete
very_low_tv_spectral_teacher,1.5,-0.07287167138441969,90,90,complete
very_low_tv_spectral_teacher,1.55,-0.07518619364419045,90,90,complete
very_low_tv_spectral_teacher,1.6,-0.07622909712631219,90,90,complete
very_low_tv_spectral_teacher,1.65,-0.0777477090152747,90,90,complete
very_low_tv_spectral_teacher,1.7,-0.07862494949403565,90,90,complete
very_low_tv_spectral_teacher,1.75,-0.07962845530065876,90,90,complete
very_low_tv_spectral_teacher,1.8,-0.08130138090225783,90,90,complete
very_low_tv_spectral_teacher,1.85,-0.08228587214459662,90,90,complete
very_low_tv_spectral_teacher,1.9,-0.08403514331318834,90,90,complete
very_low_tv_spectral_teacher,1.95,-0.08549370897663466,90,90,complete
very_low_tv_spectral_teacher,2.0,-0.0862146440762786,90,90,complete
very_low_tv_spectral_teacher,2.05,-0.08891366559556489,90,90,complete
very_low_tv_spectral_teacher,2.1,-0.08880025384573469,90,90,complete
very_low_tv_spectral_teacher,2.15,-0.09050043745084752,90,90,complete
very_low_tv_spectral_teacher,2.2,-0.0901349637586928,90,90,complete
very_low_tv_spectral_teacher,2.25,-0.0918518445491032,90,90,complete
very_low_tv_spectral_teacher,2.3,-0.09360496499090903,90,90,complete
very_low_tv_spectral_teacher,2.35,-0.09444570113898182,90,90,complete
very_low_tv_spectral_teacher,2.4,-0.09547194049870067,90,90,complete
very_low_tv_spectral_teacher,2.45,-0.09643301664370339,90,90,complete
very_low_tv_spectral_teacher,2.5,-0.09741288803255659,90,90,complete
real_even_odd,0.1,-0.003049406611648453,90,90,complete
real_even_odd,0.15,-0.007717644003486361,90,90,complete
real_even_odd,0.2,-0.013676740895345504,90,90,complete
real_even_odd,0.25,-0.019999578933069806,90,90,complete
real_even_odd,0.3,-0.026005106573642637,90,90,complete
real_even_odd,0.35,-0.03171647788328225,90,90,complete
real_even_odd,0.4,-0.03687088068347023,90,90,complete
real_even_odd,0.45,-0.04139066753151102,90,90,complete
real_even_odd,0.5,-0.045156747988338346,90,90,complete
real_even_odd,0.55,-0.04912722373006305,90,90,complete
real_even_odd,0.6,-0.05251050297386192,90,90,complete
real_even_odd,0.65,-0.0557879085611958,90,90,complete
real_even_odd,0.7,-0.05872470755327406,90,90,complete
real_even_odd,0.75,-0.06207788295452515,90,90,complete
real_even_odd,0.8,-0.06458635157047071,90,90,complete
real_even_odd,0.85,-0.06791091494410585,90,90,complete
real_even_odd,0.9,-0.06931675553348375,90,90,complete
real_even_odd,0.95,-0.07245395978512795,90,90,complete
real_even_odd,1.0,-0.07437015505633751,90,90,complete
real_even_odd,1.05,-0.07706361272802756,90,90,complete
real_even_odd,1.1,-0.07893846696532694,90,90,complete
real_even_odd,1.15,-0.0810210855764238,90,90,complete
real_even_odd,1.2,-0.08358556645612497,90,90,complete
real_even_odd,1.25,-0.08525363859928393,90,90,complete
real_even_odd,1.3,-0.08683528361417765,90,90,complete
real_even_odd,1.35,-0.08913201909566934,90,90,complete
real_even_odd,1.4,-0.09013428498772195,90,90,complete
real_even_odd,1.45,-0.09295408612823029,90,90,complete
real_even_odd,1.5,-0.09401740200127547,90,90,complete
real_even_odd,1.55,-0.09646482533465382,90,90,complete
real_even_odd,1.6,-0.09727040764129168,90,90,complete
real_even_odd,1.65,-0.0996246816780983,90,90,complete
real_even_odd,1.7,-0.10042895890862233,90,90,complete
real_even_odd,1.75,-0.10155048053026212,90,90,complete
real_even_odd,1.8,-0.10331738513132106,90,90,complete
real_even_odd,1.85,-0.10342788966067219,90,90,complete
real_even_odd,1.9,-0.1056372678992285,90,90,complete
real_even_odd,1.95,-0.10603464402669448,90,90,complete
real_even_odd,2.0,-0.1079627139788312,90,90,complete
real_even_odd,2.05,-0.10978922747398295,90,90,complete
real_even_odd,2.1,-0.11144626011086022,90,90,complete
real_even_odd,2.15,-0.11147329515773466,90,90,complete
real_even_odd,2.2,-0.11280022639433622,90,90,complete
real_even_odd,2.25,-0.11470956757625791,90,90,complete
real_even_odd,2.3,-0.11624524523362538,90,90,complete
real_even_odd,2.35,-0.11618299067825277,90,90,complete
real_even_odd,2.4,-0.11653697795883736,90,90,complete
real_even_odd,2.45,-0.11871179751195017,90,90,complete
real_even_odd,2.5,-0.12003944338519582,90,90,complete
teacher_nn,0.1,-0.00877639946964499,90,90,complete
teacher_nn,0.15,-0.017198149224234717,90,90,complete
teacher_nn,0.2,-0.026010011461253053,90,90,complete
teacher_nn,0.25,-0.03440108694403892,90,90,complete
teacher_nn,0.3,-0.042519115208821665,90,90,complete
teacher_nn,0.35,-0.049137357656822665,90,90,complete
teacher_nn,0.4,-0.05649839912181144,90,90,complete
teacher_nn,0.45,-0.06136286606522184,90,90,complete
teacher_nn,0.5,-0.06672044650233772,90,90,complete
teacher_nn,0.55,-0.0715259903658375,90,90,complete
teacher_nn,0.6,-0.0762081859602476,90,90,complete
teacher_nn,0.65,-0.08111127142840882,90,90,complete
teacher_nn,0.7,-0.08459246492554837,90,90,complete
teacher_nn,0.75,-0.08854827228392383,90,90,complete
teacher_nn,0.8,-0.09185448425509522,90,90,complete
teacher_nn,0.85,-0.0954967659814613,90,90,complete
teacher_nn,0.9,-0.09798238559546639,90,90,complete
teacher_nn,0.95,-0.10176081599861837,90,90,complete
teacher_nn,1.0,-0.10466653877812501,90,90,complete
teacher_nn,1.05,-0.10766342651527931,90,90,complete
teacher_nn,1.1,-0.10929647454057423,90,90,complete
teacher_nn,1.15,-0.11227128671375727,90,90,complete
teacher_nn,1.2,-0.11409497271046991,90,90,complete
teacher_nn,1.25,-0.11725673944844921,90,90,complete
teacher_nn,1.3,-0.11864535504216459,90,90,complete
teacher_nn,1.35,-0.12112367428750304,90,90,complete
teacher_nn,1.4,-0.12327319673007191,90,90,complete
teacher_nn,1.45,-0.12494406435335104,90,90,complete
teacher_nn,1.5,-0.12609669482192626,90,90,complete
teacher_nn,1.55,-0.12849056565235065,90,90,complete
teacher_nn,1.6,-0.1290406718255605,90,90,complete
teacher_nn,1.65,-0.13146562117698796,90,90,complete
teacher_nn,1.7,-0.13282271290966316,90,90,complete
teacher_nn,1.75,-0.134272493188855,90,90,complete
teacher_nn,1.8,-0.13558352613419652,90,90,complete
teacher_nn,1.85,-0.13735777381256078,90,90,complete
teacher_nn,1.9,-0.1371842004468677,90,90,complete
teacher_nn,1.95,-0.13887620869559178,90,90,complete
teacher_nn,2.0,-0.14024273535573245,90,90,complete
teacher_nn,2.05,-0.14238444328386077,90,90,complete
teacher_nn,2.1,-0.14302293262030943,90,90,complete
teacher_nn,2.15,-0.1441965163245808,90,90,complete
teacher_nn,2.2,-0.14486434155543268,90,90,complete
teacher_nn,2.25,-0.14550024837745196,90,90,complete
teacher_nn,2.3,-0.1470523844466158,90,90,complete
teacher_nn,2.35,-0.1482245885077727,90,90,complete
teacher_nn,2.4,-0.1480599219675239,90,90,complete
teacher_nn,2.45,-0.1489887753310808,90,90,complete
teacher_nn,2.5,-0.15106768489123876,90,90,complete
random_label,0.1,-0.02689011161013102,90,90,complete
random_label,0.15,-0.05951657199944058,90,90,complete
random_label,0.2,-0.09364978280940325,90,90,complete
random_label,0.25,-0.12429404576987566,90,90,complete
random_label,0.3,-0.1430017588242921,90,90,complete
random_label,0.35,-0.15302074649162312,90,90,complete
random_label,0.4,-0.15775798899463933,90,90,complete
random_label,0.45,-0.158555218552373,90,90,complete
random_label,0.5,-0.1585538696644625,90,90,complete
random_label,0.55,-0.15787696779125276,90,90,complete
random_label,0.6,-0.1587964784993474,90,90,complete
random_label,0.65,-0.15897018721453332,90,90,complete
random_label,0.7,-0.15920257200741325,90,90,complete
random_label,0.75,-0.15851015933947524,90,90,complete
random_label,0.8,-0.15950942589966727,90,90,complete
random_label,0.85,-0.15983142276492568,90,90,complete
random_label,0.9,-0.16002878633239104,90,90,complete
random_label,0.95,-0.16036788360223084,90,90,complete
random_label,1.0,-0.16078780387396382,90,90,complete
random_label,1.05,-0.16104335804344405,90,90,complete
random_label,1.1,-0.16188998454457723,90,90,complete
random_label,1.15,-0.1625020284628482,90,90,complete
random_label,1.2,-0.1627060028871425,90,90,complete
random_label,1.25,-0.1632768921916642,90,90,complete
random_label,1.3,-0.16377400970731387,90,90,complete
random_label,1.35,-0.16436787392331942,90,90,complete
random_label,1.4,-0.1649897515626746,90,90,complete
random_label,1.45,-0.16540462709811285,90,90,complete
random_label,1.5,-0.1664007166173442,90,90,complete
random_label,1.55,-0.166463553675663,90,90,complete
random_label,1.6,-0.1668842343506008,90,90,complete
random_label,1.65,-0.16755697770919875,90,90,complete
random_label,1.7,-0.1683660614112381,90,90,complete
random_label,1.75,-0.1686286737732377,90,90,complete
random_label,1.8,-0.16953644700803183,90,90,complete
random_label,1.85,-0.16977312620060409,90,90,complete
random_label,1.9,-0.17037812207310282,90,90,complete
random_label,1.95,-0.1708504243293526,90,90,complete
random_label,2.0,-0.17145645472366305,90,90,complete
random_label,2.05,-0.17246843229336026,90,90,complete
random_label,2.1,-0.17316637319650716,90,90,complete
random_label,2.15,-0.17358500747145553,90,90,complete
random_label,2.2,-0.17408213482507287,90,90,complete
