rule,radius,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
random_label,0.01,0,30,partial_missing_units,False,,,,,,
random_label,0.02,0,30,partial_missing_units,False,,,,,,
random_label,0.03,0,30,partial_missing_units,False,,,,,,
random_label,0.04,0,30,partial_missing_units,False,,,,,,
random_label,0.05,0,30,partial_missing_units,False,,,,,,
random_label,0.06,0,30,partial_missing_units,False,,,,,,
random_label,0.07,0,30,partial_missing_units,False,,,,,,
random_label,0.08,0,30,partial_missing_units,False,,,,,,
random_label,0.09,0,30,partial_missing_units,False,,,,,,
random_label,0.1,0,30,partial_missing_units,False,,,,,,
random_label,0.11,0,30,partial_missing_units,False,,,,,,
random_label,0.12,0,30,partial_missing_units,False,,,,,,
random_label,0.13,0,30,partial_missing_units,False,,,,,,
random_label,0.14,0,30,partial_missing_units,False,,,,,,
random_label,0.15,0,30,partial_missing_units,False,,,,,,
random_label,0.16,0,30,partial_missing_units,False,,,,,,
random_label,0.17,0,30,partial_missing_units,False,,,,,,
random_label,0.18,0,30,partial_missing_units,False,,,,,,
random_label,0.19,0,30,partial_missing_units,False,,,,,,
random_label,0.2,0,30,partial_missing_units,False,,,,,,
random_label,0.21,0,30,partial_missing_units,False,,,,,,
random_label,0.22,0,30,partial_missing_units,False,,,,,,
random_label,0.23,0,30,partial_missing_units,False,,,,,,
random_label,0.24,0,30,partial_missing_units,False,,,,,,
random_label,0.25,0,30,partial_missing_units,False,,,,,,
random_label,0.26,0,30,partial_missing_units,False,,,,,,
random_label,0.27,0,30,partial_missing_units,False,,,,,,
random_label,0.28,0,30,partial_missing_units,False,,,,,,
random_label,0.29,0,30,partial_missing_units,False,,,,,,
random_label,0.3,0,30,partial_missing_units,False,,,,,,
random_label,0.31,0,30,partial_missing_units,False,,,,,,
random_label,0.32,0,30,partial_missing_units,False,,,,,,
random_label,0.33,0,30,partial_missing_units,False,,,,,,
random_label,0.34,0,30,partial_missing_units,False,,,,,,
random_label,0.35,0,30,partial_missing_units,False,,,,,,
random_label,0.36,0,30,partial_missing_units,False,,,,,,
random_label,0.37,0,30,partial_missing_units,False,,,,,,
random_label,0.38,0,30,partial_missing_units,False,,,,,,
random_label,0.39,0,30,partial_missing_units,False,,,,,,
random_label,0.4,0,30,partial_missing_units,False,,,,,,
random_label,0.41,0,30,partial_missing_units,False,,,,,,
random_label,0.42,0,30,partial_missing_units,False,,,,,,
random_label,0.43,0,30,partial_missing_units,False,,,,,,
random_label,0.44,0,30,partial_missing_units,False,,,,,,
random_label,0.45,0,30,partial_missing_units,False,,,,,,
random_label,0.46,0,30,partial_missing_units,False,,,,,,
random_label,0.47,0,30,partial_missing_units,False,,,,,,
random_label,0.48,0,30,partial_missing_units,False,,,,,,
random_label,0.49,0,30,partial_missing_units,False,,,,,,
random_label,0.5,0,30,partial_missing_units,False,,,,,,
random_label,0.51,0,30,partial_missing_units,False,,,,,,
random_label,0.52,0,30,partial_missing_units,False,,,,,,
random_label,0.53,0,30,partial_missing_units,False,,,,,,
random_label,0.54,0,30,partial_missing_units,False,,,,,,
random_label,0.55,0,30,partial_missing_units,False,,,,,,
random_label,0.56,0,30,partial_missing_units,False,,,,,,
random_label,0.57,0,30,partial_missing_units,False,,,,,,
random_label,0.58,0,30,partial_missing_units,False,,,,,,
random_label,0.59,0,30,partial_missing_units,False,,,,,,
random_label,0.6,0,30,partial_missing_units,False,,,,,,
random_label,0.61,0,30,partial_missing_units,False,,,,,,
random_label,0.62,0,30,partial_missing_units,False,,,,,,
random_label,0.63,0,30,partial_missing_units,False,,,,,,
random_label,0.64,0,30,partial_missing_units,False,,,,,,
random_label,0.65,0,30,partial_missing_units,False,,,,,,
random_label,0.66,0,30,partial_missing_units,False,,,,,,
random_label,0.67,0,30,partial_missing_units,False,,,,,,
random_label,0.68,0,30,partial_missing_units,False,,,,,,
random_label,0.69,0,30,partial_missing_units,False,,,,,,
random_label,0.7,0,30,partial_missing_units,False,,,,,,
random_label,0.71,0,30,partial_missing_units,False,,,,,,
random_label,0.72,0,30,partial_missing_units,False,,,,,,
random_label,0.73,0,30,partial_missing_units,False,,,,,,
random_label,0.74,0,30,partial_missing_units,False,,,,,,
random_label,0.75,0,30,partial_missing_units,False,,,,,,
random_label,0.76,0,30,partial_missing_units,False,,,,,,
random_label,0.77,0,30,partial_missing_units,False,,,,,,
random_label,0.78,0,30,partial_missing_units,False,,,,,,
random_label,0.79,0,30,partial_missing_units,False,,,,,,
random_label,0.8,0,30,partial_missing_units,False,,,,,,
random_label,0.81,0,30,partial_missing_units,False,,,,,,
random_label,0.82,0,30,partial_missing_units,False,,,,,,
random_label,0.83,0,30,partial_missing_units,False,,,,,,
random_label,0.84,0,30,partial_missing_units,False,,,,,,
random_label,0.85,0,30,partial_missing_units,False,,,,,,
random_label,0.86,0,30,partial_missing_units,False,,,,,,
random_label,0.87,0,30,partial_missing_units,False,,,,,,
random_label,0.88,0,30,partial_missing_units,False,,,,,,
random_label,0.89,0,30,partial_missing_units,False,,,,,,
random_label,0.9,0,30,partial_missing_units,False,,,,,,
random_label,0.91,0,30,partial_missing_units,False,,,,,,
random_label,0.92,0,30,partial_missing_units,False,,,,,,
random_label,0.93,0,30,partial_missing_units,False,,,,,,
random_label,0.94,0,30,partial_missing_units,False,,,,,,
random_label,0.95,0,30,partial_missing_units,False,,,,,,
random_label,0.96,0,30,partial_missing_units,False,,,,,,
random_label,0.97,0,30,partial_missing_units,False,,,,,,
random_label,0.98,0,30,partial_missing_units,False,,,,,,
random_label,0.99,0,30,partial_missing_units,False,,,,,,
random_label,1.0,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.01,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.02,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.03,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.04,0,30,partial_missing_units,False,,,,,,
