rule,radius,phi_energy_raw,n_units,target_ref_count,sampling_status
random_label,0.1,-0.026890111610131,90,90,complete
random_label,0.15,-0.0595165719994406,90,90,complete
random_label,0.2,-0.0936497828094033,90,90,complete
random_label,0.25,-0.1242940457698756,90,90,complete
random_label,0.3,-0.1430017588242921,90,90,complete
random_label,0.35,-0.1530207464916231,90,90,complete
random_label,0.4,-0.1577579889946394,90,90,complete
random_label,0.45,-0.158555218552373,90,90,complete
random_label,0.5,-0.1585538696644625,90,90,complete
random_label,0.55,-0.1578769677912528,90,90,complete
random_label,0.6,-0.1587964784993474,90,90,complete
random_label,0.65,-0.1589701872145333,90,90,complete
random_label,0.7,-0.1592025720074132,90,90,complete
random_label,0.75,-0.1585101593394753,90,90,complete
random_label,0.8,-0.1595094258996673,90,90,complete
random_label,0.85,-0.1598314227649257,90,90,complete
random_label,0.9,-0.160028786332391,90,90,complete
random_label,0.95,-0.1603678836022309,90,90,complete
random_label,1.0,-0.1607878038739638,90,90,complete
random_label,1.05,-0.161043358043444,90,90,complete
random_label,1.1,-0.1618899845445773,90,90,complete
random_label,1.15,-0.1625020284628482,90,90,complete
random_label,1.2,-0.1627060028871425,90,90,complete
random_label,1.25,-0.1632768921916642,90,90,complete
random_label,1.3,-0.1637740097073139,90,90,complete
random_label,1.35,-0.1643678739233194,90,90,complete
random_label,1.4,-0.1649897515626746,90,90,complete
random_label,1.45,-0.1654046270981129,90,90,complete
random_label,1.5,-0.1664007166173442,90,90,complete
random_label,1.55,-0.166463553675663,90,90,complete
random_label,1.6,-0.1668842343506008,90,90,complete
random_label,1.65,-0.1675569777091987,90,90,complete
random_label,1.7,-0.1683660614112381,90,90,complete
random_label,1.75,-0.1686286737732377,90,90,complete
random_label,1.8,-0.1695364470080318,90,90,complete
random_label,1.85,-0.1697731262006041,90,90,complete
random_label,1.9,-0.1703781220731028,90,90,complete
random_label,1.95,-0.1708504243293526,90,90,complete
random_label,2.0,-0.171456454723663,90,90,complete
