rule,ref_id,neighbor_rank,neighbor_rule,neighbor_ref_id,feature_distance
random_label,0,1,random_label,32,7.816285712966947
random_label,0,2,random_label,15,8.184752973973886
random_label,0,3,random_label,11,8.403147379893282
random_label,0,4,random_label,56,9.187170392167832
random_label,0,5,random_label,19,9.25742441465094
random_label,1,1,random_label,20,7.075004574440738
random_label,1,2,random_label,48,7.533400618709233
random_label,1,3,random_label,1006,7.8473108107884375
random_label,1,4,random_label,1017,7.896038267680566
random_label,1,5,random_label,53,7.9319225480987035
random_label,2,1,random_label,50,6.399059789076986
random_label,2,2,random_label,5,7.49948747357343
random_label,2,3,random_label,1009,8.151570412658268
random_label,2,4,random_label,35,8.26694050368874
random_label,2,5,random_label,47,8.37618877971831
random_label,3,1,random_label,9,9.622849814147537
random_label,3,2,random_label,26,9.71882868751619
random_label,3,3,random_label,29,9.860663509623917
random_label,3,4,random_label,32,9.909644752872584
random_label,3,5,random_label,19,10.203485060792056
random_label,4,1,random_label,18,6.819087756937564
random_label,4,2,random_label,34,7.409025065356773
random_label,4,3,random_label,58,7.547876537174629
random_label,4,4,random_label,1028,7.562862287622572
random_label,4,5,random_label,23,7.642669482876229
random_label,5,1,random_label,50,6.8614325346006915
random_label,5,2,random_label,2,7.49948747357343
random_label,5,3,random_label,1025,8.149706379769828
random_label,5,4,random_label,45,8.422411796245694
random_label,5,5,random_label,1020,8.441744524905229
random_label,6,1,random_label,32,9.337044355601112
random_label,6,2,random_label,50,9.420841537591226
random_label,6,3,random_label,1018,9.453873823867939
random_label,6,4,random_label,1003,9.54109009264696
random_label,6,5,random_label,38,9.573283143784204
random_label,7,1,random_label,48,7.6803131168381515
random_label,7,2,random_label,54,7.913776049617064
random_label,7,3,random_label,1014,8.232095955023002
random_label,7,4,random_label,20,8.48717040086616
random_label,7,5,random_label,44,8.49925724649837
random_label,8,1,random_label,53,7.315796813371861
random_label,8,2,random_label,1017,8.078726051086617
random_label,8,3,random_label,33,8.125494453858144
random_label,8,4,random_label,27,8.234396842475316
random_label,8,5,random_label,1005,8.298449780891616
random_label,9,1,random_label,26,9.564557817067945
random_label,9,2,random_label,29,9.578933547260053
random_label,9,3,random_label,3,9.622849814147537
random_label,9,4,random_label,1000,10.316402879194401
random_label,9,5,random_label,58,10.577279289959321
random_label,10,1,random_label,1000,9.111005022608577
random_label,10,2,random_label,41,9.249635023775065
random_label,10,3,random_label,32,9.989940718659119
random_label,10,4,random_label,36,10.072450222030758
random_label,10,5,random_label,35,10.637936774516087
random_label,11,1,random_label,50,7.622717876629589
random_label,11,2,random_label,45,7.94027451353874
random_label,11,3,random_label,1017,8.113260637847631
random_label,11,4,random_label,30,8.280130332579509
random_label,11,5,random_label,53,8.307725825593808
random_label,12,1,random_label,27,9.198898844127076
random_label,12,2,random_label,4,9.452723837480045
random_label,12,3,random_label,1015,9.513214594766136
random_label,12,4,random_label,23,9.525471446875708
random_label,12,5,random_label,48,9.596226351529687
random_label,13,1,random_label,54,7.419631886239208
random_label,13,2,random_label,44,7.557112106084404
random_label,13,3,random_label,1008,7.706520180624365
random_label,13,4,random_label,51,7.9518240513796465
random_label,13,5,random_label,48,8.067882880991355
random_label,14,1,random_label,57,7.198305554591523
