eta,flip_rate_train_mean,flip_rate_train_sd,flip_rate_test_mean,flip_rate_test_sd,max_abs_flip_error_train,max_abs_flip_error_test
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.01982421875,0.004448171803806142,0.018896484375,0.00229626111364215,0.00828125,0.00681640625
0.04,0.04091796875,0.006660398916612491,0.0383544921875,0.004095914005893615,0.0146875,0.010703125
0.06,0.06025390625,0.011637516556667159,0.0586181640625,0.004724709577778714,0.027890625000000002,0.009824218750000002
0.08,0.08115234375,0.01280710520550449,0.0780517578125,0.005012852563161145,0.03328125,0.011308593749999998
0.1,0.1009765625,0.013308734622389072,0.0989990234375,0.006110707111987831,0.036718749999999994,0.014257812499999994
0.12,0.12041015625,0.014102348398059628,0.1185791015625,0.0072202999930619455,0.036250000000000004,0.012812500000000004
0.15,0.1509765625,0.013518286739726566,0.1486328125,0.007437953282226049,0.025781250000000006,0.012792968749999994
0.18,0.18251953125,0.013642105159300968,0.1783935546875,0.007104671018588256,0.023125000000000007,0.013496093749999993
0.2,0.20166015625,0.012592096864653145,0.196923828125,0.007897328068639105,0.03046874999999999,0.01689453125000001
0.25,0.24677734375,0.018423292554467337,0.249951171875,0.008510378663287979,0.033203125,0.0166015625
0.3,0.29833984375,0.017259714378119587,0.29931640625,0.010051829890820301,0.03984375000000001,0.01874999999999999
0.35,0.35302734375,0.020087424489216906,0.3503173828125,0.010978444265544215,0.04453125000000002,0.018164062500000022
0.4,0.40380859375,0.02253678911388974,0.401123046875,0.01013079089361183,0.05312499999999998,0.018457031249999978
0.45,0.4533203125,0.021525454148408348,0.44951171875,0.009795646698712185,0.04999999999999999,0.01933593750000001
0.5,0.50498046875,0.01819520621678073,0.4992431640625,0.011457208337876178,0.04296875,0.02392578125
