beta,radius,ref_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,claim
0.05,0.1,2700,9.988348285268073,-0.0077224416474487,9.99607072691552,-19.653613992756952,6.782734876606951,pass
0.05,0.11,2700,9.079494091408955,-0.0078429330596997,9.087337024468656,-19.96026463693588,6.780241547118486,pass
0.05,0.12,2700,8.32215361521522,-0.00790532388105,8.330058939096268,-20.11904927727229,6.766999816597177,pass
0.05,0.13,2700,7.681360952204671,-0.0079242223457288,7.6892851745504,-20.167145869879874,6.737859522121317,pass
0.05,0.14,2700,7.132143874426054,-0.0079066447993175,7.140050519225372,-20.12241101426308,6.701577707174858,pass
0.05,0.15,2700,6.656185014276116,-0.0078621370008975,6.664047151277014,-20.00913866728438,6.647211305644877,pass
0.05,0.16,2700,6.239749437663899,-0.007794766658302,6.2475442043222005,-19.837681145378745,6.59112471049442,pass
0.05,0.17,2700,5.872327629936899,-0.0077139741310542,5.880041604067953,-19.63206416353296,6.525115975576813,pass
0.05,0.18,2700,5.545751863811569,-0.0076207622526092,5.553372626064179,-19.394839932890545,6.455264289129823,pass
0.05,0.19,2700,5.2535708564300005,-0.007518999841326,5.261089856271327,-19.13585459617475,6.39060936744568,pass
0.05,0.2,2700,4.99062651876858,-0.0074088446891807,4.998035363457761,-18.855509733964965,6.310972218764738,pass
0.05,0.21,2700,4.752735610599853,-0.0072980688837296,4.760033679483582,-18.57358530909208,6.237060770619866,pass
0.05,0.22,2700,4.536487219917912,-0.0071812923164163,4.543668512234328,-18.2763889452796,6.161568223705835,pass
0.05,0.23,2700,4.339050753117288,-0.0070669542372857,4.346117707354574,-17.985398533892173,6.079369503554098,pass
0.05,0.24,2700,4.158082665037271,-0.0069468045108633,4.165029469548134,-17.67961748014715,5.99472778960281,pass
0.05,0.25,2700,3.991598906245742,-0.0068293845204656,3.998428290766208,-17.38078360458513,5.919221669332719,pass
0.05,0.26,2700,3.8379300531794818,-0.006712534095718,3.8446425872752,-17.083399273602552,5.825565408476905,pass
0.05,0.27,2700,3.695651452926478,-0.00659696444964,3.702248417376118,-16.78927452433403,5.743804612780528,pass
0.05,0.28,2700,3.5635447592325296,-0.0064805003801561,3.570025259612686,-16.492873467497496,5.653300553219752,pass
0.05,0.29,2700,3.4405477097005277,-0.0063732306151697,3.446920940315697,-16.219871915606983,5.582307073615186,pass
0.05,0.3,2700,3.325761210933994,-0.0062623647045131,3.332023575638507,-15.93771817298586,5.505065078563217,pass
0.05,0.31,2700,3.218384757794232,-0.0061541863720643,3.2245389441662966,-15.662404316903782,5.419528638846547,pass
0.05,0.32,2700,3.117723982997596,-0.0060481191635043,3.1237721021611,-15.392463271118451,5.335993480508021,pass
0.05,0.33,2700,3.023165572510293,-0.005946768979258,3.029112341489552,-15.134527052211808,5.264886456500021,pass
0.05,0.34,2700,2.934176304081244,-0.0058444979527329,2.9400208020339766,-14.874247289705403,5.172607594295148,pass
0.05,0.35,2700,2.8502728803128403,-0.0057473273773081,2.8560202076901486,-14.626948175249348,5.101952698247629,pass
0.05,0.36,2700,2.771034683190506,-0.0056516298415833,2.7766863130320893,-14.383397946829565,5.02997268179057,pass
0.05,0.37,2700,2.696081238256813,-0.0055594987473819,2.701640737004195,-14.148924312087049,4.952852193766885,pass
0.05,0.38,2700,2.625077833621498,-0.0054670945141654,2.6305449281356634,-13.913755538550976,4.877691014044833,pass
0.05,0.39,2700,2.557716287742345,-0.0053787704411216,2.5630950581834666,-13.688970772654624,4.808513591576605,pass
0.05,0.4,2700,2.49372514982051,-0.0052925319083702,2.4990176817288803,-13.469493706802304,4.729083639709248,pass
0.05,0.41,2700,2.4328553879228307,-0.0052106430321739,2.438066030955005,-13.261086516882584,4.666472538813379,pass
0.05,0.42,2700,2.3748884730197424,-0.0051283667220487,2.380016839741791,-13.051693307613956,4.594080808927416,pass
0.05,0.43,2700,2.319621508506481,-0.0050461024041048,2.3246676109105864,-12.842330618446743,4.51093107512062,pass
0.05,0.44,2700,2.266862981156777,-0.0049712749603871,2.271834256117164,-12.651894774185418,4.446637967911698,pass
0.05,0.45,2700,2.216457521107752,-0.0048915293179195,2.221349050425671,-12.448942114105256,4.374168708007429,pass
0.05,0.46,2700,2.168240188083261,-0.004818665594026,2.173058853677287,-12.263503936796171,4.3172403512455295,pass
0.05,0.47,2700,2.122076310700474,-0.0047472482177219,2.126823558918196,-12.081746714102458,4.24762674767337,pass
0.05,0.48,2700,2.077837280504558,-0.004677454269509,2.082514734774067,-11.904121115900626,4.184507919356768,pass
0.05,0.49,2700,2.035403110575848,-0.0046113234885446,2.040014434064392,-11.73581827834612,4.138142590637074,pass
0.05,0.5,2700,1.9946670951340173,-0.0045470502490864,1.999214145383104,-11.572242883925137,4.077680057672676,pass
0.05,0.51,2700,1.95553457609337,-0.0044792919292811,1.960013868022651,-11.399797960020562,4.014467839051159,pass
0.05,0.52,2700,1.917905542112917,-0.004415751524683,1.9223212936376,-11.238087630318269,3.947618064194078,pass
0.05,0.53,2700,1.881698908010759,-0.0043521725393393,1.886051080550098,-11.076279112618687,3.889702885449719,pass
0.05,0.54,2700,1.846826738856428,-0.0042974698316313,1.851124208688059,-10.937060721501782,3.847019223502445,pass
0.05,0.55,2700,1.8132325116758363,-0.0042348932178944,1.817467404893731,-10.7778032395414,3.778159840486026,pass
0.05,0.56,2700,1.780834810301294,-0.0041778195050487,1.785012629806343,-10.632550640348978,3.722892410118839,pass
0.05,0.57,2700,1.7495738705807753,-0.0041227481763337,1.753696618757109,-10.49239410876934,3.6796876257938864,pass
0.05,0.58,2700,1.7193896584085726,-0.0040708117492757,1.7234604701578484,-10.360215901906724,3.6338805141298174,pass
0.05,0.59,2700,1.6902315988995271,-0.0040176768488661,1.6942492757483931,-10.224987580364443,3.584043746771019,pass
0.05,0.6,2700,1.6620484599738965,-0.0039633278453569,1.6660117878192535,-10.086669366433448,3.512873894236538,pass
0.05,0.61,2700,1.634785637324031,-0.0039144818424475,1.6387001191664787,-9.962356289029104,3.482208956292746,pass
0.05,0.62,2700,1.608406283017827,-0.0038631890653212,1.6122694720831483,-9.83181617124268,3.4335162475501555,pass
0.05,0.63,2700,1.582859888175714,-0.0038180049854796,1.5866778931611938,-9.716822688045662,3.3922697762486287,pass
0.05,0.64,2700,1.558115943938971,-0.0037701071415795,1.56188605108055,-9.59492267531988,3.3469932641087574,pass
0.05,0.65,2700,1.5341353223842706,-0.0037217125258094,1.5378570349100802,-9.471758378185095,3.2890931915540222,pass
0.05,0.66,2700,1.5108760791572076,-0.0036800915875682,1.514556170744776,-9.365833090361244,3.266615780128412,pass
0.05,0.67,2700,1.488313233749461,-0.0036376210140495,1.4919508547635103,-9.257745480756196,3.2180727237791777,pass
0.05,0.68,2700,1.4664217715396632,-0.003588629477325,1.4700104010169883,-9.133062019792227,3.1596193970489166,pass
0.05,0.69,2700,1.445160909107415,-0.0035449933441101,1.4487059024515248,-9.02200806076035,3.1129114431775906,pass
0.05,0.7,2700,1.4244998600314311,-0.0035102438136431,1.4280101038450743,-8.933570505721725,3.1109274510343874,pass
0.05,0.71,2700,1.4044324768811365,-0.0034648085999232,1.4078972854810594,-8.817937886804689,3.033239155305661,pass
0.05,0.72,2700,1.3849183827669675,-0.0034247737490771,1.388343156516045,-8.716049191401462,3.008555276873112,pass
0.05,0.73,2700,1.3659324600138976,-0.0033922970978176,1.3693247571117153,-8.633396113945995,2.988029212441952,pass
0.05,0.74,2700,1.3474696514011668,-0.0033507171009306,1.3508203685020974,-8.52757502186843,2.929748296255729,pass
0.05,0.75,2700,1.329492703977607,-0.0033167262777958,1.3328094302554028,-8.44106837699043,2.896374934381861,pass
0.05,0.76,2700,1.3119968963050486,-0.003275567762783,1.3152724640678315,-8.336319956282965,2.8569047770800178,pass
0.05,0.77,2700,1.294945517117464,-0.0032454863780582,1.2981910034955222,-8.259762832158318,2.844615068388205,pass
0.05,0.78,2700,1.2783419686397042,-0.0032055604520291,1.2815475290917333,-8.158151350414203,2.79004273660232,pass
0.05,0.79,2700,1.2621514330047354,-0.0031739754655835,1.265325408470319,-8.077767559910122,2.7651164196466147,pass
0.05,0.8,2700,1.2463688686743273,-0.0031399721901128,1.24950884086444,-7.99122922383714,2.723520996991735,pass
0.05,0.81,2700,1.2309747346724165,-0.0031080711196229,1.2340828057920394,-7.910040999440489,2.6908856610276213,pass
0.05,0.82,2700,1.2159591384139825,-0.0030738770635199,1.2190330154775024,-7.823017126658354,2.6531852088130887,pass
0.05,0.83,2700,1.2013021539374098,-0.0030437167753037,1.2043458707127137,-7.746259193148021,2.6322383509059044,pass
0.05,0.84,2700,1.1869912399592566,-0.003017179911639,1.1900084198708956,-7.6787228751213155,2.591328979786036,pass
0.05,0.85,2700,1.1730221544595454,-0.0029861663540454,1.1760083208135907,-7.599793371045558,2.561069809197975,pass
0.05,0.86,2700,1.159383155141884,-0.002950650313409,1.1623338054552932,-7.509405047625962,2.508057331229858,pass
0.05,0.87,2700,1.1460484621348892,-0.0029251846370096,1.148973646771899,-7.44459490118956,2.4970867271151045,pass
0.05,0.88,2700,1.133022019653037,-0.0028951084055451,1.135917128058582,-7.368050892112474,2.4835524223612184,pass
0.05,0.89,2700,1.120283663776362,-0.0028703504838087,1.1231540142601708,-7.305041981293304,2.433138273762868,pass
0.05,0.9,2700,1.1078303150496551,-0.0028442101631804,1.1106745252128356,-7.238514865294253,2.4193915283979446,pass
0.05,0.91,2700,1.095658669615283,-0.002810641034774,1.0984693106500572,-7.1530814335000334,2.369072058309774,pass
0.05,0.92,2700,1.0837430496342544,-0.002786377204389,1.0865294268386434,-7.09132998517001,2.3477259205089944,pass
0.05,0.93,2700,1.0720853100324514,-0.0027610046896475,1.074846314722099,-7.026756935152977,2.3125760588257096,pass
0.05,0.94,2700,1.060671812869636,-0.0027399665894619,1.063411779459098,-6.973214970180771,2.30299533231021,pass
0.05,0.95,2700,1.0495097173335453,-0.0027082539207202,1.0522179712542654,-6.892506228233022,2.237466452127835,pass
0.05,0.96,2700,1.038564869704696,-0.0026924976823374,1.0412573673870336,-6.852406601548708,2.265436708311709,pass
0.05,0.97,2700,1.0278580356644016,-0.0026647196877139,1.0305227553521157,-6.781711605231968,2.211350630626733,pass
0.05,0.98,2700,1.0173657005162102,-0.0026415165159858,1.020007217032196,-6.722659533183905,2.185874794320298,pass
0.05,0.99,2700,1.0070860409942843,-0.0026180728355661,1.0097041138298506,-6.662995366515958,2.1637144645417075,pass
0.05,1.0,2700,0.9970114446890818,-0.0025956280024702,0.999607072691552,-6.605873266286901,2.143612622403372,pass
0.07,0.1,2700,9.988843559055066,-0.0072271678604541,9.99607072691552,-18.393142204855923,6.320220350220732,pass
0.07,0.11,2700,9.079982530120178,-0.0073544943484774,9.087337024468656,-18.71718811687522,6.347420664468916,pass
0.07,0.12,2700,8.322633384139872,-0.007425554956396,8.330058939096268,-18.898037364027942,6.337388225740288,pass
0.07,0.13,2700,7.681831665042393,-0.0074535095080068,7.6892851745504,-18.969181697877406,6.32112495114469,pass
0.07,0.14,2700,7.132603856895191,-0.0074466623301808,7.140050519225372,-18.95175563031025,6.280090864300519,pass
0.07,0.15,2700,6.656630837176265,-0.007416314100749,6.664047151277014,-18.87451938640641,6.242430788367673,pass
0.07,0.16,2700,6.24018409962908,-0.0073601046931201,6.2475442043222005,-18.731466443990858,6.183460899530076,pass
0.07,0.17,2700,5.872748471844525,-0.0072931322234282,5.880041604067953,-18.561021508624872,6.118078811515507,pass
0.07,0.18,2700,5.546159751922652,-0.0072128741415271,5.553372626064179,-18.35676469018657,6.055168115268036,pass
0.07,0.19,2700,5.253965063128934,-0.0071247931423925,5.261089856271327,-18.13259854738898,5.984251842084443,pass
0.07,0.2,2700,4.991006857993963,-0.0070285054637979,4.998035363457761,-17.887546405365907,5.910158851161387,pass
0.07,0.21,2700,4.7531071132348455,-0.0069265662487363,4.760033679483582,-17.628111103034097,5.82950018068954,pass
0.07,0.22,2700,4.536843565234037,-0.0068249470002916,4.543668512234328,-17.369490115742362,5.760449292352173,pass
0.07,0.23,2700,4.339398360782169,-0.0067193465724047,4.346117707354574,-17.100737026770037,5.676589966157595,pass
0.07,0.24,2700,4.158416796325361,-0.0066126732227733,4.165029469548134,-16.829253351958126,5.593365505431318,pass
0.07,0.25,2700,3.991920752553309,-0.0065075382128996,3.998428290766208,-16.561684751829652,5.511940857885735,pass
0.07,0.26,2700,3.838240985425101,-0.0064016018500985,3.8446425872752,-16.292076708500847,5.428410014016735,pass
0.07,0.27,2700,3.695952371557228,-0.0062960458188905,3.702248417376118,-16.02343660907642,5.343373558066235,pass
0.07,0.28,2700,3.563832886042696,-0.0061923735699895,3.570025259612686,-15.75959073562353,5.264422451067292,pass
0.07,0.29,2700,3.440831552001157,-0.0060893883145394,3.446920940315697,-15.497493260502884,5.1737088032768,pass
0.07,0.3,2700,3.3260341527936244,-0.0059894228448825,3.332023575638507,-15.243081140226112,5.100186036902228,pass
0.07,0.31,2700,3.2186445692206127,-0.0058943749456838,3.2245389441662966,-15.00118423676544,5.02962766093041,pass
0.07,0.32,2700,3.1179787378818964,-0.0057933642792039,3.1237721021611,-14.744112090574047,4.942956966755796,pass
0.07,0.33,2700,3.023412037861579,-0.0057003036279726,3.029112341489552,-14.507272733190389,4.8630740873280045,pass
0.07,0.34,2700,2.934411904890294,-0.0056088971436823,2.9400208020339766,-14.274643230671686,4.7913040179546025,pass
0.07,0.35,2700,2.850502761936109,-0.0055174457540396,2.8560202076901486,-14.041899444031005,4.71041186195104,pass
0.07,0.36,2700,2.771256034662327,-0.0054302783697624,2.7766863130320893,-13.8200584510455,4.639105555084218,pass
0.07,0.37,2700,2.696296460836439,-0.0053442761677556,2.701640737004195,-13.601182846938046,4.570667376498098,pass
0.07,0.38,2700,2.6252851851724577,-0.0052597429632057,2.6305449281356634,-13.386045841358724,4.491021110643866,pass
0.07,0.39,2700,2.557916355322252,-0.005178702861215,2.5630950581834666,-13.17979878179224,4.433799310525591,pass
0.07,0.4,2700,2.493917513095636,-0.0051001686332445,2.4990176817288803,-12.9799291716073,4.358211159976014,pass
0.07,0.41,2700,2.43304482591932,-0.0050212050356849,2.438066030955005,-12.778966815818146,4.291058041186713,pass
0.07,0.42,2700,2.3750723102747417,-0.0049445294670494,2.380016839741791,-12.583827493640936,4.215823226359637,pass
0.07,0.43,2700,2.319796487276363,-0.0048711236342233,2.3246676109105864,-12.39700964909836,4.154736061743686,pass
0.07,0.44,2700,2.267035282401206,-0.0047989737159579,2.271834256117164,-12.213388107113053,4.09569315812539,pass
0.07,0.45,2700,2.2166187050989903,-0.0047303453266809,2.221349050425671,-12.03872885640291,4.0355331887872525,pass
0.07,0.46,2700,2.168399264194751,-0.0046595894825358,2.173058853677287,-11.85865523305368,3.9679718315408112,pass
0.07,0.47,2700,2.122229178186834,-0.0045943807313618,2.126823558918196,-11.692698961315855,3.910557343749622,pass
0.07,0.48,2700,2.0779848301747745,-0.0045299045992927,2.082514734774067,-11.528607205199938,3.85932041516428,pass
0.07,0.49,2700,2.035550862175474,-0.0044635718889182,2.040014434064392,-11.35979045729696,3.799648281644629,pass
0.07,0.5,2700,1.994811060001212,-0.0044030853818921,1.999214145383104,-11.20585229691563,3.7349124605318273,pass
0.07,0.51,2700,1.955669846823741,-0.00434402119891,1.960013868022651,-11.055533951226009,3.69588619954746,pass
0.07,0.52,2700,1.918036383802716,-0.0042849098348838,1.9223212936376,-10.90509552977936,3.640558247435795,pass
0.07,0.53,2700,1.8818242985759344,-0.0042267819741637,1.886051080550098,-10.757160124246653,3.5670743313451694,pass
0.07,0.54,2700,1.8469522025124592,-0.0041720061755998,1.851124208688059,-10.61775571690172,3.529612768483827,pass
0.07,0.55,2700,1.8133504092111936,-0.004116995682537,1.817467404893731,-10.477754012056687,3.4855095279166024,pass
0.07,0.56,2700,1.7809486110835129,-0.00406401872283,1.785012629806343,-10.34292764960235,3.432133547660349,pass
0.07,0.57,2700,1.7496864528490916,-0.0040101659080173,1.753696618757109,-10.205872235904089,3.375213999426946,pass
0.07,0.58,2700,1.7195028605961922,-0.0039576095616562,1.7234604701578484,-10.07211633441525,3.319248876982259,pass
0.07,0.59,2700,1.6903381620522944,-0.0039111136960989,1.6942492757483931,-9.953784356571932,3.2852890176692484,pass
0.07,0.6,2700,1.662149289929752,-0.0038624978895014,1.6660117878192535,-9.83005712878122,3.243734963802756,pass
0.07,0.61,2700,1.6348883332911632,-0.0038117858753154,1.6387001191664787,-9.70099505267788,3.1930921115070534,pass
0.07,0.62,2700,1.6085018710853378,-0.0037676009978104,1.6122694720831483,-9.588544539427614,3.1587140448537188,pass
0.07,0.63,2700,1.5829540063881438,-0.0037238867730499,1.5866778931611938,-9.47729183741207,3.1180241084201765,pass
0.07,0.64,2700,1.5582094858864528,-0.0036765651940972,1.56188605108055,-9.35685841897742,3.0649183203814774,pass
0.07,0.65,2700,1.5342218597860031,-0.0036351751240771,1.5378570349100802,-9.251520690776308,3.040231147849003,pass
0.07,0.66,2700,1.5109622614339366,-0.0035939093108393,1.514556170744776,-9.14649919608606,2.9994894781519355,pass
0.07,0.67,2700,1.4883991962927765,-0.0035516584707341,1.4919508547635103,-9.03897080801853,2.961237702898462,pass
0.07,0.68,2700,1.4665005193883816,-0.0035098816286067,1.4700104010169883,-8.932648744804249,2.912972846698118,pass
0.07,0.69,2700,1.4452350398624865,-0.0034708625890382,1.4487059024515248,-8.833345289102425,2.875574352584867,pass
0.07,0.7,2700,1.4245805072444946,-0.0034295966005796,1.4280101038450743,-8.728323348475168,2.8393289501661325,pass
0.07,0.71,2700,1.404504964652569,-0.0033923208284905,1.4078972854810594,-8.633456508508504,2.790438092825311,pass
0.07,0.72,2700,1.384985732452117,-0.0033574240639274,1.388343156516045,-8.544644242695238,2.784847732774341,pass
0.07,0.73,2700,1.3660068182673557,-0.0033179388443596,1.3693247571117153,-8.44415435889539,2.740512525468205,pass
0.07,0.74,2700,1.3475366981535688,-0.0032836703485286,1.3508203685020974,-8.356941037005374,2.69396861390907,pass
0.07,0.75,2700,1.3295608106274015,-0.0032486196280012,1.3328094302554028,-8.267736953263078,2.6648153293004757,pass
0.07,0.76,2700,1.3120570091454502,-0.0032154549223815,1.3152724640678315,-8.183332777461029,2.6514741004287674,pass
0.07,0.77,2700,1.2950118357161695,-0.0031791677793527,1.2981910034955222,-8.090981998452653,2.5988584284741103,pass
0.07,0.78,2700,1.278402203908471,-0.0031453251832623,1.2815475290917333,-8.00485259140268,2.554393069933522,pass
0.07,0.79,2700,1.2622095427559668,-0.0031158657143521,1.265325408470319,-7.929878243026216,2.537197945988128,pass
0.07,0.8,2700,1.2464236038344818,-0.0030852370299582,1.24950884086444,-7.851928241243707,2.497889950197624,pass
0.07,0.81,2700,1.231030394676666,-0.0030524111153733,1.2340828057920394,-7.768386288625258,2.467791318960232,pass
0.07,0.82,2700,1.216009764767698,-0.0030232507098044,1.2190330154775024,-7.694173056452422,2.447659716820179,pass
0.07,0.83,2700,1.2013540973112886,-0.0029917734014248,1.2043458707127137,-7.614063306626119,2.407844483329093,pass
0.07,0.84,2700,1.1870440049505628,-0.0029644149203326,1.1900084198708956,-7.544435972246641,2.3930338171541456,pass
0.07,0.85,2700,1.1730707484795926,-0.0029375723339981,1.1760083208135907,-7.476121590025366,2.3797206036374665,pass
0.07,0.86,2700,1.1594283834807366,-0.0029054219745565,1.1623338054552932,-7.394298925246352,2.3180947637350213,pass
0.07,0.87,2700,1.146099107276937,-0.0028745394949615,1.148973646771899,-7.315703014677226,2.27899404757946,pass
