beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.05,0.1,2700,-2.303785611210376,-0.0021052667793928,-2.303785611210376,-0.0021052667793928,-2.302159579335948,-0.0004792349049652,-2.303305070299604,-0.0016247258686206,-2.302121518752522,-0.0016260318744276,21063.69820292928,-2.301680344430983,2700,-19.653613992756952,6.782734876606951,9.988348285268073,-0.0077224416474487,9.99607072691552,pass
0.05,0.11,2700,-2.20859075704947,-0.0021831424503934,-2.20859075704947,-0.0021831424503934,-2.2069647251750424,-0.0005571105759657,-2.208094059997148,-0.001686445398071,-2.2069171751086927,-0.0016260318744276,21063.69820292928,-2.2064076145990765,2700,-19.96026463693588,6.780241547118486,9.079494091408955,-0.0078429330596997,9.087337024468656,pass
0.05,0.12,2700,-2.1216924226855305,-0.0022619959299186,-2.1216924226855305,-0.0022619959299186,-2.1200663908111026,-0.000635964055491,-2.121179048026597,-0.0017486212709854,-2.120008483963109,-0.0016260318744276,21063.69820292928,-2.119430426755612,2700,-20.11904927727229,6.766999816597177,8.32215361521522,-0.00790532388105,8.330058939096268,pass
0.05,0.13,2700,-2.041760421629627,-0.0023412515818648,-2.041760421629627,-0.0023412515818648,-2.0401343897552,-0.0007152197074371,-2.0412301643394044,-0.0018109942916423,-2.0400654719374898,-0.0016260318744276,21063.69820292928,-2.039419170047762,2700,-20.167145869879874,6.737859522121317,7.681360952204671,-0.0079242223457288,7.6892851745504,pass
0.05,0.14,2700,-1.9677606728890056,-0.0024203559489325,-1.9677606728890056,-0.0024203559489325,-1.966134641014578,-0.0007943240745049,-1.967213286201299,-0.0018729692612258,-1.9660540221719225,-0.0016260318744276,21063.69820292928,-1.9653403169400727,2700,-20.12241101426308,6.701577707174858,7.132143874426054,-0.0079066447993175,7.140050519225372,pass
0.05,0.15,2700,-1.898873840446336,-0.0024992858099184,-1.898873840446336,-0.0024992858099184,-1.897247808571908,-0.0008732539354908,-1.8983090149116812,-0.0019344602752642,-1.897154880569477,-0.0016260318744276,21063.69820292928,-1.8963745546364168,2700,-20.00913866728438,6.647211305644877,6.656185014276116,-0.0078621370008975,6.664047151277014,pass
0.05,0.16,2700,-1.8344387345934772,-0.0025773421472294,-1.8344387345934772,-0.0025773421472294,-1.8328127027190495,-0.0009513102728017,-1.8338564258670136,-0.0019950334207657,-1.8327070330793591,-0.0016260318744276,21063.69820292928,-1.831861392446248,2700,-19.837681145378745,6.59112471049442,6.239749437663899,-0.007794766658302,6.2475442043222005,pass
0.05,0.17,2700,-1.773915634063761,-0.002655042364472,-1.773915634063761,-0.002655042364472,-1.7722896021893333,-0.0010290104900444,-1.77331547118472,-0.0020548794854308,-1.7721706498484584,-0.0016260318744276,21063.69820292928,-1.771260591699289,2700,-19.63206416353296,6.525115975576813,5.872327629936899,-0.0077139741310542,5.880041604067953,pass
0.05,0.18,2700,-1.7168563140082045,-0.0027316770471584,-1.7168563140082045,-0.0027316770471584,-1.7152302821337766,-0.0011056451727308,-1.7162380991646486,-0.002113462203603,-1.7150975789136362,-0.0016260318744276,21063.69820292928,-1.7141246369610457,2700,-19.394839932890545,6.455264289129823,5.545751863811569,-0.0076207622526092,5.553372626064179,pass
0.05,0.19,2700,-1.6628860394861809,-0.0028073793076819,-1.6628860394861809,-0.0028073793076819,-1.6612600076117532,-0.0011813474332542,-1.6622499088959786,-0.0021712487174795,-1.6611133229810155,-0.0016260318744276,21063.69820292928,-1.660078660178499,2700,-19.13585459617475,6.39060936744568,5.2535708564300005,-0.007518999841326,5.261089856271327,pass
0.05,0.2,2700,-1.611687279580481,-0.0028817592534276,-1.611687279580481,-0.0028817592534276,-1.6100612477060534,-0.0012557273789999,-1.6110328277641153,-0.0022273074370617,-1.6099001249819018,-0.0016260318744276,21063.69820292928,-1.6088055203270537,2700,-18.855509733964965,6.310972218764738,4.99062651876858,-0.0074088446891807,4.998035363457761,pass
0.05,0.21,2700,-1.5629900188534258,-0.0029554917079184,-1.5629900188534258,-0.0029554917079184,-1.561363986978998,-0.0013294598334908,-1.5623175212419222,-0.0022829940964148,-1.561188299421062,-0.0016260318744276,21063.69820292928,-1.5600345271455074,2700,-18.57358530909208,6.237060770619866,4.752735610599853,-0.0072980688837296,4.760033679483582,pass
0.05,0.22,2700,-1.516560484865494,-0.003027694370347,-1.516560484865494,-0.003027694370347,-1.5149344529910662,-0.0014016624959194,-1.5158695464656908,-0.002336755970544,-1.514743913579584,-0.0016260318744276,21063.69820292928,-1.5135327904951468,2700,-18.2763889452796,6.161568223705835,4.536487219917912,-0.0071812923164163,4.543668512234328,pass
0.05,0.23,2700,-1.4721978201517278,-0.0030993259159922,-1.4721978201517278,-0.0030993259159922,-1.4705717882773004,-0.0014732940415646,-1.471488205898474,-0.0023897116627383,-1.470365922563486,-0.0016260318744276,21063.69820292928,-1.4690984942357357,2700,-17.985398533892173,6.079369503554098,4.339050753117288,-0.0070669542372857,4.346117707354574,pass
0.05,0.24,2700,-1.4297249571393271,-0.003169354487645,-1.4297249571393271,-0.003169354487645,-1.4280989252648997,-0.0015433226132173,-1.4289968871058665,-0.0024412844541843,-1.427877701484906,-0.0016260318744276,21063.69820292928,-1.426555602651682,2700,-17.67961748014715,5.99472778960281,4.158082665037271,-0.0069468045108633,4.165029469548134,pass
0.05,0.25,2700,-1.3889877399535036,-0.0032380917456445,-1.3889877399535036,-0.0032380917456445,-1.387361708079076,-0.0016120598712169,-1.3882412037726155,-0.0024915555647566,-1.387125128624076,-0.0016260318744276,21063.69820292928,-1.385749648207859,2700,-17.38078360458513,5.919221669332719,3.991598906245742,-0.0068293845204656,3.998428290766208,pass
0.05,0.26,2700,-1.3498502654801765,-0.003305919536344,-1.3498502654801765,-0.003305919536344,-1.3482242336057488,-0.0016798876619164,-1.3490852732005982,-0.0025409272567657,-1.34797217250876,-0.0016260318744276,21063.69820292928,-1.3465443459438324,2700,-17.083399273602552,5.825565408476905,3.8379300531794818,-0.006712534095718,3.8446425872752,pass
