eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem
0.25,0.1,90,-0.019870452964672512,0.0028514875860702346,0.00030057318305591217
0.25,0.15,90,-0.04477660186057135,0.005003286092418238,0.0005273926612495115
0.25,0.2,90,-0.0726357620533304,0.00617878122684856,0.000651300728024366
0.25,0.25,90,-0.09798084901217433,0.007155263736364066,0.0007542310222039007
0.25,0.3,90,-0.11777962129873715,0.007023371478740858,0.0007403283575428656
0.25,0.35,90,-0.12851708447233162,0.0070850512108813,0.0007468299721772953
0.25,0.4,90,-0.1351723534172153,0.005735133199506934,0.0006045361198296927
0.25,0.45,90,-0.13794723210931645,0.005084553534779487,0.0005359590018321113
0.25,0.5,90,-0.13953536819994916,0.005007509443969948,0.0005278378415916115
0.25,0.55,90,-0.14138365644534148,0.003959128313446489,0.000417328767311731
0.25,0.6,90,-0.14299114010543815,0.004141625236281691,0.0004365656320494392
0.25,0.65,90,-0.14373063581083154,0.0032882680521247646,0.0003466138867293178
0.25,0.7,90,-0.14472132906150068,0.0033517789182476694,0.00035330851983326474
0.25,0.75,90,-0.14570083981918408,0.0029096686754810216,0.000306706008365512
0.25,0.8,90,-0.14659103459309203,0.0029310658545907975,0.00030896146908182786
0.25,0.85,90,-0.14753640685314134,0.0028459225372805615,0.0002999865754070678
0.25,0.9,90,-0.14858065441338797,0.0028467232171008054,0.0003000709744706848
0.25,0.95,90,-0.14890568720420322,0.002608079707808127,0.00027491573986467043
0.25,1.0,90,-0.14952432952424544,0.002389768545674013,0.00025190372283193346
0.3,0.1,90,-0.02140658194137139,0.00282537353395756,0.0002978205202688326
0.3,0.15,90,-0.047179424521677255,0.0047831066080516555,0.0005041837057615169
0.3,0.2,90,-0.0760058445365211,0.00715830130033938,0.0007545512095605827
0.3,0.25,90,-0.10151034514532288,0.0076373871806758075,0.0008050512954502488
0.3,0.3,90,-0.11947498097776159,0.007546221331435609,0.0007954415711694969
0.3,0.35,90,-0.13145648827398546,0.005901856902998171,0.0006221103412620553
0.3,0.4,90,-0.13723587142641663,0.006005715787718857,0.0006330580289607961
0.3,0.45,90,-0.14170001099511056,0.004533474896162947,0.0004778702129023417
0.3,0.5,90,-0.1434753369142361,0.0034580840469334625,0.0003645140642867447
0.3,0.55,90,-0.14503635094860634,0.0037612267576012013,0.00039646811167966077
0.3,0.6,90,-0.14674605209048552,0.002832123767169793,0.0002985320573250987
0.3,0.65,90,-0.14782296383319946,0.0032009920979590295,0.00033741419339171146
0.3,0.7,90,-0.14877508566351008,0.002760170826286584,0.00029094755140715155
0.3,0.75,90,-0.15031591101177716,0.002332978170873075,0.00024591749171374704
0.3,0.8,90,-0.1507020474235579,0.002493911610307185,0.0002628813657236322
0.3,0.85,90,-0.1514789094547355,0.0024671894420821585,0.00026006460186998984
0.3,0.9,90,-0.1524301070609954,0.0021560960139966603,0.00022727247527465797
0.3,0.95,90,-0.1532464820560652,0.002197611123393536,0.00023164855204149698
0.3,1.0,90,-0.15378114328848447,0.0020944286885477325,0.0002207721684203416
0.35,0.1,90,-0.023307941253594682,0.003347285601426584,0.00035283488265315207
0.35,0.15,90,-0.05161834469085515,0.005515731726706902,0.0005814091739615732
0.35,0.2,90,-0.08336860319450369,0.0072859571981039985,0.0007680073226835757
0.35,0.25,90,-0.11106713886417183,0.008516743157207463,0.0008977435541143022
0.35,0.3,90,-0.13052227538012912,0.0081958077256489,0.0008639139892618311
0.35,0.35,90,-0.142203499609711,0.0069468201748378615,0.0007322591416032258
0.35,0.4,90,-0.1476755272512547,0.006381649760529922,0.0006726849490914218
0.35,0.45,90,-0.15133518583700412,0.005526285863735682,0.0005825216776865218
0.35,0.5,90,-0.15140722429640074,0.004126139767825605,0.0004349333203509089
0.35,0.55,90,-0.1518668223706897,0.003705720341626318,0.0003906172217052147
0.35,0.6,90,-0.1527492334350935,0.003511215771838595,0.0003701146398438686
0.35,0.65,90,-0.1528893784849718,0.0032910906663008227,0.00034691141638772507
0.35,0.7,90,-0.15397750537430074,0.0034923800180787917,0.00036812917706629985
0.35,0.75,90,-0.15417071528034518,0.0028814147996798615,0.00030372778835687246
0.35,0.8,90,-0.15454452454072945,0.002965309673380094,0.00031257108452036926
0.35,0.85,90,-0.15506927635480136,0.0025653743759663774,0.0002704142026362291
0.35,0.9,90,-0.15569214529266795,0.0020237436484892954,0.00021332131098417777
0.35,0.95,90,-0.15577491395925028,0.0024689549083247615,0.00026025069835194773
0.35,1.0,90,-0.1572489706247645,0.002301680434878901,0.00024261842066880657
0.4,0.1,90,-0.023939246729763847,0.0035332916365978283,0.0003724416403091028
0.4,0.15,90,-0.05491737077879329,0.0061094475699873824,0.0006439923188847031
0.4,0.2,90,-0.0897746478940845,0.009370812259330447,0.0009877703421770888
0.4,0.25,90,-0.12095900554508811,0.009941694623543038,0.0010479466270748748
0.4,0.3,90,-0.14040023901552773,0.008955690794111404,0.000944012697653137
0.4,0.35,90,-0.1514401096965942,0.0076884874837038365,0.0008104377403400281
0.4,0.4,90,-0.15491504583846036,0.006370560592667579,0.0006715160481647239
0.4,0.45,90,-0.15652734679609026,0.005361732649135974,0.0005651762458719371
0.4,0.5,90,-0.15643501830483608,0.004397159158983849,0.00046350127255531323
0.4,0.55,90,-0.15706859939291806,0.003708796740801538,0.00039094150265139995
0.4,0.6,90,-0.15670402256855812,0.0031728172307847404,0.0003344443016235962
0.4,0.65,90,-0.15630200843224568,0.0029606790013763195,0.0003120829688327321
0.4,0.7,90,-0.15650128181682074,0.00307500705240888,0.0003241342035564273
0.4,0.75,90,-0.15741532738959996,0.0022645121811634096,0.00023870054272240727
0.4,0.8,90,-0.1570797932924107,0.0022377887852411643,0.00023588364945811564
0.4,0.85,90,-0.15793367018588886,0.0022308635625526542,0.00023515366689146308
0.4,0.9,90,-0.15825156741180132,0.0020871968756927587,0.00022000986841254818
0.4,0.95,90,-0.15876715766889565,0.0020454922546423453,0.00021561381536343123
0.4,1.0,90,-0.15911606100888007,0.0019382115315799006,0.00020430543423319514
