eta,ref_id,radius,phi_energy_raw
0.05,0,0.01,-0.0012605485475925
0.05,0,0.02,-0.0013975815306244
0.05,0,0.03,-0.0016704230411097
0.05,0,0.04,-0.0020961651899824
0.05,0,0.05,-0.0027757602189853
0.05,0,0.06,-0.0036140687751389
0.05,0,0.07,-0.0045268973780245
0.05,0,0.08,-0.0056237450952248
0.05,0,0.09,-0.0069904725640379
0.05,0,0.1,-0.0087391931828094
0.05,0,0.11,-0.0092238517938571
0.05,0,0.12,-0.0117859219890631
0.05,0,0.13,-0.0147759931620131
0.05,0,0.14,-0.0156739037090225
0.05,0,0.15,-0.018151265385396
0.05,0,0.16,-0.0201317670306739
0.05,0,0.17,-0.0244048706030811
0.05,0,0.18,-0.0259572764235698
0.05,0,0.19,-0.0291883283700227
0.05,0,0.2,-0.0296792444669494
0.05,0,0.21,-0.0310513657869326
0.05,0,0.22,-0.0345971427660364
0.05,0,0.23,-0.0361160858702218
0.05,0,0.24,-0.0370857946268695
0.05,0,0.25,-0.0424632817575791
0.05,0,0.26,-0.0401477631356675
0.05,0,0.27,-0.0469573768031708
0.05,0,0.28,-0.0459440635954438
0.05,0,0.29,-0.0482144867697476
0.05,0,0.3,-0.0496901214580696
0.05,0,0.31,-0.0517829506319645
0.05,0,0.32,-0.0531062421309205
0.05,0,0.33,-0.053738790667404
0.05,0,0.34,-0.0584130116283318
0.05,0,0.35,-0.0566213094271838
0.05,0,0.36,-0.0605426754553748
0.05,0,0.37,-0.0609647449389081
0.05,0,0.38,-0.0610036991800327
0.05,0,0.39,-0.0631947080733657
0.05,0,0.4,-0.0658039316300797
0.05,0,0.41,-0.0656524673662797
0.05,0,0.42,-0.0653342270965991
0.05,0,0.43,-0.0682997741313763
0.05,0,0.44,-0.0695164115318446
0.05,0,0.45,-0.0717331678486597
0.05,0,0.46,-0.0684315762369322
0.05,0,0.47,-0.0690753477093434
0.05,0,0.48,-0.0747222111310705
0.05,0,0.49,-0.0770775781634916
0.05,0,0.5,-0.0732940347816612
0.05,0,0.51,-0.0727983813339191
0.05,0,0.52,-0.0768285685066363
