eta,ref_id,radius,phi_energy_raw
0.25,0,0.1,-0.0186102490507476
0.25,0,0.2,-0.0815698174839508
0.25,0,0.3,-0.1205449882028832
0.25,0,0.4,-0.1429467587385141
0.25,0,0.5,-0.1370942574681322
0.25,0,0.6,-0.1421919418207847
0.25,0,0.7,-0.1469703516195995
0.25,0,0.8,-0.1487870644417495
0.25,0,0.9,-0.1452708986457413
0.25,0,1.0,-0.1502502069268461
0.25,1,0.1,-0.0220177245170509
0.25,1,0.2,-0.0735142442969845
0.25,1,0.3,-0.1134216507293353
0.25,1,0.4,-0.1320602360118955
0.25,1,0.5,-0.13234620840999
0.25,1,0.6,-0.1379835954037896
0.25,1,0.7,-0.1396910441478389
0.25,1,0.8,-0.1420850315144818
0.25,1,0.9,-0.1470602246258172
0.25,1,1.0,-0.1505210954091121
0.25,2,0.1,-0.0208360912466621
0.25,2,0.2,-0.0672074730763617
0.25,2,0.3,-0.1117079965758806
0.25,2,0.4,-0.1299701145987816
0.25,2,0.5,-0.1323584890713485
0.25,2,0.6,-0.1409763823291705
0.25,2,0.7,-0.1401758336001634
0.25,2,0.8,-0.1409031201588006
0.25,2,0.9,-0.1441699091209248
0.25,2,1.0,-0.1474581864777196
0.25,3,0.1,-0.0164714847787011
0.25,3,0.2,-0.0679459692999859
0.25,3,0.3,-0.1129905738483614
0.25,3,0.4,-0.1360063434593456
0.25,3,0.5,-0.1354302615087198
0.25,3,0.6,-0.135777769655779
0.25,3,0.7,-0.1408596338097429
0.25,3,0.8,-0.1447468420369976
0.25,3,0.9,-0.1455723357860956
0.25,3,1.0,-0.1500498065847628
0.25,4,0.1,-0.0219773186627083
0.25,4,0.2,-0.07995487800612
0.25,4,0.3,-0.121810160512146
0.25,4,0.4,-0.1446020448693624
0.25,4,0.5,-0.1438031590653452
0.25,4,0.6,-0.1467455179634096
0.25,4,0.7,-0.1526103216640859
0.25,4,0.8,-0.1521370025053392
0.25,4,0.9,-0.1568994095695789
0.25,4,1.0,-0.1532445871251225
0.25,5,0.1,-0.0183073942873462
0.25,5,0.2,-0.0676189049102165
0.25,5,0.3,-0.1217101591428673
0.25,5,0.4,-0.1328159717435725
0.25,5,0.5,-0.1384225533874618
0.25,5,0.6,-0.1349289295696311
0.25,5,0.7,-0.1418966771782883
0.25,5,0.8,-0.1456581913492527
0.25,5,0.9,-0.1507737606698746
0.25,5,1.0,-0.1465941609604033
0.25,6,0.1,-0.0186287920298231
0.25,6,0.2,-0.0730310838424116
0.25,6,0.3,-0.1234537867487108
0.25,6,0.4,-0.1460127822925749
0.25,6,0.5,-0.149736907734776
0.25,6,0.6,-0.1492158612570778
0.25,6,0.7,-0.1493229613842807
0.25,6,0.8,-0.1474590802906866
0.25,6,0.9,-0.1476800280540965
0.25,6,1.0,-0.1492937382136996
0.25,7,0.1,-0.0182572668217373
0.25,7,0.2,-0.0792811615835298
0.25,7,0.3,-0.1290967582019048
0.25,7,0.4,-0.1416883419132621
0.25,7,0.5,-0.1465050210652405
0.25,7,0.6,-0.1503232006325068
0.25,7,0.7,-0.1468082976428722
0.25,7,0.8,-0.1449558891814799
0.25,7,0.9,-0.1501649173874005
0.25,7,1.0,-0.1530672882348143
0.25,8,0.1,-0.0213163504908226
0.25,8,0.2,-0.0691405859556997
0.25,8,0.3,-0.1090321395631187
0.25,8,0.4,-0.1307389156335284
0.25,8,0.5,-0.1332605860915746
0.25,8,0.6,-0.1394769467030438
0.25,8,0.7,-0.1370921791798488
0.25,8,0.8,-0.1414719844415622
0.25,8,0.9,-0.1436674363011426
0.25,8,1.0,-0.1509403571902725
0.25,9,0.1,-0.0189386746437963
0.25,9,0.2,-0.0615057105585199
0.25,9,0.3,-0.1178340821312681
0.25,9,0.4,-0.1390743450872307
0.25,9,0.5,-0.1448312706700413
0.25,9,0.6,-0.1457622675787927
0.25,9,0.7,-0.1480233709113212
0.25,9,0.8,-0.1495052599876339
0.25,9,0.9,-0.1518063127635996
0.25,9,1.0,-0.1524644171319741
0.3,0,0.1,-0.0281324581632969
0.3,0,0.2,-0.098000049368829
0.3,0,0.3,-0.1406380807939062
0.3,0,0.4,-0.1416456061065203
0.3,0,0.5,-0.1461106671525071
0.3,0,0.6,-0.1482616512842706
0.3,0,0.7,-0.1481634129208127
0.3,0,0.8,-0.1520308368688424
0.3,0,0.9,-0.1532504741072636
0.3,0,1.0,-0.1578362611196006
0.3,1,0.1,-0.019454399396576
0.3,1,0.2,-0.0696792370918637
0.3,1,0.3,-0.1206522646406179
0.3,1,0.4,-0.1371850459850175
0.3,1,0.5,-0.1443989791588069
0.3,1,0.6,-0.1440262527403912
0.3,1,0.7,-0.148744297224605
0.3,1,0.8,-0.1508105934359251
0.3,1,0.9,-0.1510150908661388
0.3,1,1.0,-0.157554532686296
0.3,2,0.1,-0.0185470346390043
0.3,2,0.2,-0.0716966660757043
0.3,2,0.3,-0.1114524432235426
0.3,2,0.4,-0.1368064798374678
0.3,2,0.5,-0.1416868196444216
0.3,2,0.6,-0.1489156432837941
0.3,2,0.7,-0.1481739683300866
0.3,2,0.8,-0.1499377376788467
0.3,2,0.9,-0.1517753937333548
0.3,2,1.0,-0.1535408865229465
0.3,3,0.1,-0.0170023731901382
0.3,3,0.2,-0.0720237611703593
0.3,3,0.3,-0.1213260870572053
0.3,3,0.4,-0.1424261239059074
0.3,3,0.5,-0.144438960865536
0.3,3,0.6,-0.1463917472428632
0.3,3,0.7,-0.1459477714447545
0.3,3,0.8,-0.1512950303056243
0.3,3,0.9,-0.1539524900000541
0.3,3,1.0,-0.1547894805908478
0.3,4,0.1,-0.0273580789776282
0.3,4,0.2,-0.0726112758332541
0.3,4,0.3,-0.1100532470266583
0.3,4,0.4,-0.137381124876313
0.3,4,0.5,-0.1440060778371813
0.3,4,0.6,-0.1482651760021708
0.3,4,0.7,-0.1499994375088721
0.3,4,0.8,-0.1443892504239217
0.3,4,0.9,-0.1483962619444581
0.3,4,1.0,-0.1512935556535731
0.3,5,0.1,-0.0207600297301463
0.3,5,0.2,-0.0783089880641089
0.3,5,0.3,-0.118895492555598
0.3,5,0.4,-0.1386726805531839
0.3,5,0.5,-0.1443999487501546
0.3,5,0.6,-0.1465124743328563
0.3,5,0.7,-0.1467105483506049
0.3,5,0.8,-0.1478733316363247
0.3,5,0.9,-0.1526532890782742
0.3,5,1.0,-0.152707737217502
0.3,6,0.1,-0.0214884962641562
0.3,6,0.2,-0.0801416492543643
0.3,6,0.3,-0.1136089645153801
0.3,6,0.4,-0.1277460168182236
0.3,6,0.5,-0.1427607960925252
0.3,6,0.6,-0.1467315857377352
0.3,6,0.7,-0.1462599777974257
0.3,6,0.8,-0.1460716946956658
0.3,6,0.9,-0.1523294970063285
0.3,6,1.0,-0.1546218518201822
0.3,7,0.1,-0.0227995514671229
0.3,7,0.2,-0.0776261377431856
0.3,7,0.3,-0.1270469588630053
0.3,7,0.4,-0.1356158937612712
0.3,7,0.5,-0.1448861235323043
0.3,7,0.6,-0.1491639679802088
0.3,7,0.7,-0.1503001267553491
0.3,7,0.8,-0.1532344385421992
0.3,7,0.9,-0.1535393669885347
0.3,7,1.0,-0.1561583123390497
0.3,8,0.1,-0.0212920217528709
0.3,8,0.2,-0.0718717690771062
0.3,8,0.3,-0.1130758743163384
0.3,8,0.4,-0.1382052752528476
0.3,8,0.5,-0.1373162178623778
0.3,8,0.6,-0.1431734660116102
0.3,8,0.7,-0.1492720059274102
0.3,8,0.8,-0.1498212814861831
0.3,8,0.9,-0.1481475193374844
0.3,8,1.0,-0.1539082423437504
0.3,9,0.1,-0.0268720365231503
0.3,9,0.2,-0.0753192748054881
0.3,9,0.3,-0.1154885851512536
0.3,9,0.4,-0.132397980783457
0.3,9,0.5,-0.1448625876437714
0.3,9,0.6,-0.1516209661001802
0.3,9,0.7,-0.1474851212594849
0.3,9,0.8,-0.1515717782338424
0.3,9,0.9,-0.1520628998053715
0.3,9,1.0,-0.1523830522599962
0.35,0,0.1,-0.0250290657560181
0.35,0,0.2,-0.0838803692634023
0.35,0,0.3,-0.1386599240057557
0.35,0,0.4,-0.1530921056076163
0.35,0,0.5,-0.1486428321112567
0.35,0,0.6,-0.1505024671670036
0.35,0,0.7,-0.1510497203837728
0.35,0,0.8,-0.1537033877733758
0.35,0,0.9,-0.1581304487733003
0.35,0,1.0,-0.1545402146063756
0.35,1,0.1,-0.024205555344243
0.35,1,0.2,-0.0883424264443177
0.35,1,0.3,-0.1385808398792045
0.35,1,0.4,-0.1423653867959351
0.35,1,0.5,-0.1568554421974227
0.35,1,0.6,-0.1515745444678425
0.35,1,0.7,-0.1561613206600934
0.35,1,0.8,-0.1594789180058259
0.35,1,0.9,-0.1569794430593367
0.35,1,1.0,-0.1559976714951166
0.35,2,0.1,-0.0215485336429354
0.35,2,0.2,-0.0732800757647098
0.35,2,0.3,-0.1247449764531419
0.35,2,0.4,-0.139193270853453
0.35,2,0.5,-0.149802693137761
0.35,2,0.6,-0.1527862500183971
0.35,2,0.7,-0.1567852287307223
