eta,ref_id,n_radii,d_min,d_max,positive_curvature_mass,min_curvature,min_curvature_radius,max_curvature,max_curvature_radius
0.25,0,19,0.1,1.0,0.7494586472005846,-2.7458674760999817,0.1,4.0544526977577835,0.35
0.25,1,19,0.1,1.0,0.6003877152021355,-0.5351414595705098,0.5,3.172020186822359,0.25
0.25,2,19,0.1,1.0,0.6536209092356956,-0.8590671947631676,0.85,2.6238405476617874,0.3
0.25,3,19,0.1,1.0,0.683679630152267,-1.8953759945367894,0.15,3.6421590001961888,0.25
0.25,4,19,0.1,1.0,0.7106908006320669,-3.0641630394347352,1.0,2.4969659641279955,0.35
0.25,5,19,0.1,1.0,0.7814354613624416,-1.0461371426487878,0.6,4.298544163194562,0.3
0.25,6,19,0.1,1.0,0.6854643741130054,-2.749037800604725,0.1,3.1345813213802116,0.35
0.25,7,19,0.1,1.0,0.6612312446775431,-2.070871845598328,1.0,3.7224012907017765,0.3
0.25,8,19,0.1,1.0,0.5896691343768201,-0.6764572784908325,0.7,1.9185105612363524,0.4
0.25,9,19,0.1,1.0,0.6937395420703872,-1.376133565802447,0.2,3.5088108616785596,0.3
0.25,10,19,0.1,1.0,0.5878584950213537,-0.7334691641522548,0.15,2.863217929174187,0.25
0.25,11,19,0.1,1.0,0.6713992573503756,-0.8939617925498211,0.65,3.8702569876714294,0.35
0.25,12,19,0.1,1.0,0.7595891213843139,-1.2074099374829264,0.9,2.8633317864121217,0.3
0.25,13,19,0.1,1.0,0.5744491364587053,-0.5687111695900222,0.45,2.9912984563978386,0.3
0.25,14,19,0.1,1.0,0.6870751339223067,-2.2377642228325634,0.8,2.452631721895597,0.45
0.25,15,19,0.1,1.0,0.7406726028380178,-0.878245491649968,0.85,3.83190031124494,0.25
0.25,16,19,0.1,1.0,0.6910358147976898,-1.118364276691062,0.1,4.24856717423879,0.3
0.25,17,19,0.1,1.0,0.5896728109203588,-2.6130343754383305,0.1,2.428726386839133,0.45
0.25,18,19,0.1,1.0,0.8432371213230287,-0.9118930430829162,0.75,4.463997249775367,0.35
0.25,19,19,0.1,1.0,0.6610716000034634,-2.088028966857329,0.1,3.092821986830582,0.25
0.25,20,19,0.1,1.0,0.6691855611325142,-1.3530165864995567,0.5,3.6317309819156907,0.35
0.25,21,19,0.1,1.0,0.7791462071188197,-2.7204050547938636,0.1,2.987796172232551,0.25
0.25,22,19,0.1,1.0,0.7397695544778812,-1.2265281647657096,0.15,4.366618771801305,0.35
0.25,23,19,0.1,1.0,0.6859013120491854,-0.9831989844151043,0.9,3.4388036102770716,0.3
0.25,24,19,0.1,1.0,0.6208687834574151,-1.6496423181408284,0.15,3.680974225283819,0.3
0.25,25,19,0.1,1.0,0.7251245800150925,-1.7133016732921518,0.1,4.728978446426099,0.25
0.25,26,19,0.1,1.0,0.631202540272573,-0.6372745684411526,0.5,3.000668135676674,0.35
0.25,27,19,0.1,1.0,0.7513260667763858,-1.289937617570304,0.8,3.0312851993986323,0.25
0.25,28,19,0.1,1.0,0.6204845259271435,-1.0454114222642126,0.5,2.2550845901748864,0.3
0.25,29,19,0.1,1.0,0.813572718966625,-1.057019338715075,0.7,4.628885412824138,0.3
0.25,30,19,0.1,1.0,0.6603657110569806,-2.512844958208282,0.1,3.6874980411834692,0.3
0.25,31,19,0.1,1.0,0.5686070745965442,-1.5369208708283448,0.15,4.087710834738982,0.25
0.25,32,19,0.1,1.0,0.7755470994790015,-2.1447253329615235,0.15,3.7814629685658847,0.25
0.25,33,19,0.1,1.0,0.7241214800146119,-1.4994610095496839,0.15,3.60637441177994,0.4
0.25,34,19,0.1,1.0,0.7871080556414505,-1.2683821019370025,0.45,3.3010039730829837,0.35
0.25,35,19,0.1,1.0,0.7026653546084576,-0.9621057235809723,0.95,3.678543686883561,0.3
0.25,36,19,0.1,1.0,0.6387078950662082,-1.7353047329758473,0.15,4.171971557284221,0.25
0.25,37,19,0.1,1.0,0.6376465012404804,-2.413264355971718,1.0,3.028245151792983,0.3
0.25,38,19,0.1,1.0,0.6344767120252534,-0.9171690515249982,0.75,2.275123787088093,0.35
