eta,ref_id,radius,phi_energy_raw,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,positive_curvature
0.05,0,0.01,-0.0012605485475925,-0.0137032983031886,-0.6790426372667099,0.0
0.05,0,0.02,-0.0013975815306244,-0.0204937246758557,-1.0612942332354753,0.0
0.05,0,0.03,-0.0016704230411097,-0.0349291829678981,-1.73865671089635,0.0
0.05,0,0.04,-0.0020961651899824,-0.0552668588937827,-2.048299814496434,0.0
0.05,0,0.05,-0.0027757602189853,-0.0758951792578268,-1.614499952908849,0.0
0.05,0,0.06,-0.0036140687751389,-0.0875568579519597,-1.2294318373232942,0.0
0.05,0,0.07,-0.0045268973780245,-0.1004838160042927,-1.7810950674355013,0.0
0.05,0,0.08,-0.0056237450952248,-0.1231787593006697,-2.7644294187468175,0.0
0.05,0,0.09,-0.0069904725640379,-0.155772404379229,0.5754898904855255,0.5754898904855255
0.05,0,0.1,-0.0087391931828094,-0.1116689614909591,0.1717982033269836,0.1717982033269836
0.05,0,0.11,-0.0092238517938571,-0.1523364403126892,-8.296905345842159,0.0
0.05,0,0.12,-0.0117859219890631,-0.2776070684078022,-2.1031322842639977,0.0
0.05,0,0.13,-0.0147759931620131,-0.1943990859979689,5.442172861933024,5.442172861933024
0.05,0,0.14,-0.0156739037090225,-0.1687636111691416,-1.4247040042299126,0.0
0.05,0,0.15,-0.018151265385396,-0.2228931660825669,-7.1958324857558384,0.0
0.05,0,0.16,-0.0201317670306739,-0.3126802608842584,-3.419115178111504,0.0
0.05,0,0.17,-0.0244048706030811,-0.291275469644797,3.675368626859017,3.675368626859017
0.05,0,0.18,-0.0259572764235698,-0.2391728883470782,5.258853373790968,5.258853373790968
0.05,0,0.19,-0.0291883283700227,-0.1860984021689777,7.301050875079219,7.301050875079219
0.05,0,0.2,-0.0296792444669494,-0.0931518708454937,-2.9898256392686857,0.0
0.05,0,0.21,-0.0310513657869326,-0.2458949149543507,-8.004206665948278,0.0
0.05,0,0.22,-0.0345971427660364,-0.2532360041644588,6.073116095634759,6.073116095634759
0.05,0,0.23,-0.0361160858702218,-0.1244325930416554,-3.206189510170457,0.0
0.05,0,0.24,-0.0370857946268695,-0.317359794367867,-1.4332916199121657,0.0
0.05,0,0.25,-0.0424632817575791,-0.1530984254398977,4.63275210441415,4.63275210441415
0.05,0,0.26,-0.0401477631356675,-0.2247047522795839,-6.835829877445867,0.0
0.05,0,0.27,-0.0469573768031708,-0.2898150229888152,8.092462697537108,8.092462697537108
0.05,0,0.28,-0.0459440635954438,-0.0628554983288416,5.125606492875988,5.125606492875988
0.05,0,0.29,-0.0482144867697476,-0.1873028931312936,-5.778384739100221,0.0
0.05,0,0.3,-0.0496901214580696,-0.1784231931108451,0.8248429744375443,0.8248429744375443
0.05,0,0.31,-0.0517829506319645,-0.1708060336425427,4.031559566943587,4.031559566943587
0.05,0,0.32,-0.0531062421309205,-0.0977920017719733,-4.726622061401086,0.0
0.05,0,0.33,-0.053738790667404,-0.2653384748705645,-2.316696810850913,0.0
0.05,0,0.34,-0.0584130116283318,-0.1441259379889916,7.942764175920696,7.942764175920696
0.05,0,0.35,-0.0566213094271838,-0.1064831913521504,-3.6522918798611013,0.0
0.05,0,0.36,-0.0605426754553748,-0.2171717755862143,4.171600255962856,4.171600255962856
0.05,0,0.37,-0.0609647449389081,-0.0230511862328932,5.283680943166686,5.283680943166686
0.05,0,0.38,-0.0610036991800327,-0.1114981567228805,-10.8480218134729,0.0
0.05,0,0.39,-0.0631947080733657,-0.2400116225023514,-0.5694903961409601,0.0
0.05,0,0.4,-0.0658039316300797,-0.1228879646456997,13.174842458819287,13.174842458819287
0.05,0,0.41,-0.0656524673662797,0.0234852266740337,-0.47386868045629527,0.0
0.05,0,0.42,-0.0653342270965991,-0.1323653382548273,-11.62972242181551,0.0
0.05,0,0.43,-0.0682997741313763,-0.2091092217622767,-1.9652173804671742,0.0
0.05,0,0.44,-0.0695164115318446,-0.1716696858641708,13.167549325394727,13.167549325394727
0.05,0,0.45,-0.0717331678486597,0.0542417647456181,15.228034641499118,15.228034641499118
0.05,0,0.46,-0.0684315762369322,0.1328910069658118,-18.43867547262674,0.0
0.05,0,0.47,-0.0690753477093434,-0.3145317447069131,-26.650126483661044,0.0
0.05,0,0.48,-0.0747222111310705,-0.4001115227074061,19.297028108868908,19.297028108868908
0.05,0,0.49,-0.0770775781634916,0.0714088174704654,30.70356820930146,30.70356820930146
0.05,0,0.5,-0.0732940347816612,0.2139598414786236,-12.406775185961015,0.0
0.05,0,0.51,-0.0727983813339191,-0.1767266862487551,-18.54922598878639,0.0
0.05,0,0.52,-0.0768285685066363,-0.1570246782971045,14.702687096386697,14.702687096386697
0.05,0,0.53,-0.0759388748998612,0.1173270556789791,4.574893339519747,4.574893339519747
0.05,0,0.54,-0.0744820273930567,-0.0655268115067095,-17.991749190367436,0.0
0.05,0,0.55,-0.0772494111299954,-0.2425079281283699,-5.386781386554216,0.0
0.05,0,0.56,-0.0793321859556241,-0.1732624392377939,7.967831524958502,7.967831524958502
0.05,0,0.57,-0.0807146599147512,-0.0831512976292008,3.424471093616469,3.424471093616469
0.05,0,0.58,-0.0809952119082081,-0.1047730173654661,7.241459732091904,7.241459732091904
0.05,0,0.59,-0.0828101202620606,0.0616778970126374,3.195010630589797,3.195010630589797
0.05,0,0.6,-0.0797616539679554,-0.0408728047536701,-4.544261515410396,0.0
0.05,0,0.61,-0.083627576357134,-0.0292073332955706,15.808723795093085,15.808723795093085
0.05,0,0.62,-0.0803458006338668,0.2753016711481919,1.6106433368686586,1.6106433368686586
0.05,0,0.63,-0.0781215429341701,0.0030055334418026,-26.498771096432947,0.0
0.05,0,0.64,-0.0802856899650307,-0.2546737507804675,-15.284614913786882,0.0
0.05,0,0.65,-0.0832150179497795,-0.3026867648339353,3.4078995331807675,3.4078995331807675
0.05,0,0.66,-0.0863394252617095,-0.1865157601168521,22.941098043859377,22.941098043859377
0.05,0,0.67,-0.0869453331521165,0.1561351960432526,12.853131229919944,12.853131229919944
0.05,0,0.68,-0.0832167213408444,0.070546864481547,-12.19918052076996,0.0
0.05,0,0.69,-0.0855343958624855,-0.0878484143721447,4.925686289100831,4.925686289100831
0.05,0,0.7,-0.0849736896282873,0.1690605902635678,-2.3358991053238585,0.0
0.05,0,0.71,-0.0821531840572142,-0.1345663964786219,-7.514059787463973,0.0
0.05,0,0.72,-0.0876650175578597,0.0187793945142882,8.841591706651542,8.841591706651542
0.05,0,0.73,-0.0817775961669284,0.0422654376544091,-17.14693113406261,0.0
0.05,0,0.74,-0.0868197088047715,-0.3241592281669643,-8.200863036283657,0.0
0.05,0,0.75,-0.0882607807302677,-0.1217518230712642,20.216825072829828,20.216825072829828
0.05,0,0.76,-0.0892547452661968,0.0801772732896326,16.055975870735914,16.055975870735914
0.05,0,0.77,-0.086657235264475,0.1993676943434543,-2.740599834986798,0.0
0.05,0,0.78,-0.0852673913793277,0.0253652765898966,-17.911653627360494,0.0
0.05,0,0.79,-0.0861499297326771,-0.1588653782037559,-11.005441175022522,0.0
0.05,0,0.8,-0.0884446989434028,-0.194743546910554,2.331262200475728,2.331262200475728
0.05,0,0.81,-0.0900448006708882,-0.1122401341942413,1.619359913203434,1.619359913203434
0.05,0,0.82,-0.0906895016272876,-0.162356348646484,-8.853404432749738,0.0
0.05,0,0.83,-0.0932919276438179,-0.2893082228492361,2.469760543270813,2.469760543270813
0.05,0,0.84,-0.0964756660842724,-0.1129611377810677,24.725199954983943,24.725199954983943
0.05,0,0.85,-0.0955511503994392,0.2051957762504432,21.50657678851855,21.50657678851855
0.05,0,0.86,-0.0923717505592635,0.3171703979893037,-14.258362132316353,0.0
0.05,0,0.87,-0.0892077424396532,-0.0799714663958841,-39.034480931805554,0.0
0.05,0,0.88,-0.0939711798871812,-0.4635192206468081,-2.171726938049323,0.0
0.05,0,0.89,-0.0984781268525893,-0.1234060051568706,41.086923325166374,41.086923325166374
0.05,0,0.9,-0.0964392999903186,0.3582192458565201,3.6173167448362067,3.6173167448362067
0.05,0,0.91,-0.0913137419354589,-0.0510596702601464,-28.193850781645466,0.0
