eta,ref_id,n_radii,d_min,d_max,positive_curvature_mass,min_curvature,min_curvature_radius,max_curvature,max_curvature_radius
0.05,0,100,0.01,1.0,4.715875582534114,-39.034480931805554,0.87,41.086923325166374,0.89
0.05,1,100,0.01,1.0,5.119617309888418,-26.002063674958094,0.27,32.886433726975525,0.56
0.05,2,100,0.01,1.0,4.464696627030018,-24.35190686398744,0.21,68.83064871426532,1.0
0.05,3,100,0.01,1.0,5.414190299979211,-49.43998760226407,0.83,49.675874636546226,1.0
0.05,4,100,0.01,1.0,5.073074655716986,-42.99953043600793,0.89,31.23057675055516,0.73
0.05,5,100,0.01,1.0,5.718546168937152,-50.468753227183605,0.62,42.851558651488155,0.93
0.05,6,100,0.01,1.0,4.188949861466255,-26.898955384222706,0.67,31.05000729702498,0.65
0.05,7,100,0.01,1.0,3.8140900864314906,-30.141572384638543,0.62,30.879875911685033,0.37
0.05,8,100,0.01,1.0,5.185289016120434,-52.92060492264281,0.98,44.706798483342915,0.91
0.05,9,100,0.01,1.0,4.230813557696528,-27.194613648986298,0.8,32.79018259796514,0.57
0.05,10,100,0.01,1.0,5.299063166610753,-37.95971900502949,0.33,38.90589832035856,0.99
0.05,11,100,0.01,1.0,4.60980881957835,-43.15675775404984,0.97,38.37897552435799,0.99
0.05,12,100,0.01,1.0,4.715229016912156,-47.090269117535414,0.34,46.47071529444973,0.32
0.05,13,100,0.01,1.0,5.602491858733812,-50.45610481413428,0.85,52.40355123027625,0.83
0.05,14,100,0.01,1.0,3.6508060329048417,-37.86686165441198,0.82,26.138877701420355,0.87
0.05,15,100,0.01,1.0,4.126154275688266,-44.490920065040875,0.78,20.664801775152398,0.76
0.05,16,100,0.01,1.0,4.1694001077035585,-34.70330884673717,0.53,41.62178035831151,1.0
0.05,17,100,0.01,1.0,4.856555945135766,-32.300046695129375,0.88,42.89292121471098,0.9
0.05,18,100,0.01,1.0,5.121417917447135,-37.26146213367264,0.42,37.40973195344296,0.97
0.05,19,100,0.01,1.0,4.423260138722687,-35.10324184169202,0.67,37.545303287696576,0.36
0.05,20,100,0.01,1.0,4.339397702408615,-39.19745951714032,0.37,28.138410337097202,0.77
0.05,21,100,0.01,1.0,4.778888373914058,-36.60608398688826,0.88,32.109065044448585,0.83
0.05,22,100,0.01,1.0,5.074006755284511,-32.39682633511111,0.89,38.71963171446394,0.86
0.05,23,100,0.01,1.0,4.907818660713431,-45.268055397811764,0.87,40.69702409570117,1.0
0.05,24,100,0.01,1.0,5.31780196240497,-52.17164227870792,0.95,45.55496426659488,0.93
0.05,25,100,0.01,1.0,4.0890863753052304,-51.93007048779513,1.0,30.65953304907045,0.86
0.05,26,100,0.01,1.0,4.443459810734387,-29.78727301880577,0.74,27.587429589476443,0.72
