eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sem,d2_phi_energy_raw_dd2_mean,d2_phi_energy_raw_dd2_sem,positive_curvature_mean
0.02,0.01,30,-0.00043901297443786337,4.545008035659621e-05,-0.00406505794272967,0.00030546254535576125,-0.22791957420114764,0.014018247082508636,0.0
0.02,0.02,30,-0.0004796635538651633,4.819763831723194e-05,-0.006344253684741147,0.00043794226259945545,-0.42038063640667916,0.022438779790077103,0.0
0.02,0.03,30,-0.0005658980481326933,5.310065866965628e-05,-0.01247267067086325,0.0007353775834442089,-0.7879110786905197,0.03600492979593658,0.0
0.02,0.04,30,-0.0007291169672824232,6.05960025452803e-05,-0.022102475258551538,0.001112489269994542,-1.0994456982997478,0.03982297679252938,0.0
0.02,0.05,30,-0.00100794755330373,7.085385824505831e-05,-0.034461584636858215,0.0014568750742153492,-1.327435520577193,0.035990660271197905,0.0
0.02,0.06,30,-0.0014183486600195833,8.383145551120534e-05,-0.048651185670095395,0.0017087925258805394,-1.426945087577391,0.031956751241033095,0.0
0.02,0.07,30,-0.00198097126670563,9.946537859992967e-05,-0.06300048638840604,0.0018737697274671392,-1.4583921841295953,0.04197893359217467,0.0
0.02,0.08,30,-0.00267835838778772,0.00011570767670202216,-0.0778190293526873,0.0020398408399593293,-1.3402747426358066,0.05566990893467468,0.0
0.02,0.09,30,-0.0035373518537593768,0.00013378977960936097,-0.08980598124112217,0.00204617831497895,-1.0806487626989956,0.10679368891133058,0.011226004987389364
0.02,0.1,30,-0.004474478012610161,0.00014998659993303387,-0.09943200460666722,0.0027747390524999064,-0.9529227345061091,0.09992915809015085,0.0
0.02,0.11,30,-0.00552599194589271,0.00017549099064410867,-0.10886443593124434,0.00239948233589634,-1.0359835010080063,0.1783314704666774,0.053284549384053886
0.02,0.12,30,-0.006651766731235046,0.00018199256669321545,-0.12015167462682733,0.0031581176105523784,-1.1164934036320098,0.18407770616928168,0.12949339272253135
0.02,0.13,30,-0.007929025438429266,0.00021247032529086196,-0.13119430400388454,0.002897060877360108,-0.8178865696227856,0.2939470165265308,0.3178476969101073
0.02,0.14,30,-0.009275652811312743,0.00021424466718067875,-0.13650940601928305,0.004695493780206135,-0.9232944441407646,0.33756450299756974,0.3548415010331934
0.02,0.15,30,-0.01065921355881494,0.0002340273934931272,-0.14966019288669982,0.005768671450650098,-0.5881532236712653,0.4134780308433563,0.6140264557134505
0.02,0.16,30,-0.012268856669046736,0.00026299425830375215,-0.1482724704927083,0.005350553980577955,0.5861521097290758,0.5910397695024153,1.5276253413603689
0.02,0.17,30,-0.013624662968669115,0.00026957237339180043,-0.1379371506921183,0.008240172073398125,-0.25941544058915106,0.6971135157043533,1.3623310336077774
0.02,0.18,30,-0.015027599682889104,0.0003168217437475815,-0.15346077930449126,0.01084401410488505,-1.121153176878682,0.8851147922247722,1.4686977124030993
0.02,0.19,30,-0.01669387855475894,0.0003778099572198691,-0.16036021422969188,0.013020681083727772,-0.348158187071781,1.0424826998708987,1.905095434311035
0.02,0.2,30,-0.018234803967482945,0.0003859829707456057,-0.1604239430459269,0.012244095261601274,-0.3153179658339862,1.1264954819846633,2.2786503842187806
0.02,0.21,30,-0.019902357415677464,0.0003642006853369665,-0.16666657354637157,0.011270300660503257,-0.2688897634490227,1.2236789919692326,2.1776458652630475
0.02,0.22,30,-0.021568135438410373,0.0003565794714338534,-0.16580173831490733,0.015106736422559244,0.9049751083848864,1.0791381503313073,2.8795247846288627
0.02,0.23,30,-0.02321839218197562,0.00038225490573147935,-0.14856707137867384,0.014072001934229816,0.48608558385090295,1.2612807716530345,2.9496521092226478
0.02,0.24,30,-0.024539476865983848,0.00042722518982649197,-0.1560800266378892,0.01217517708536102,-0.2378597180420551,1.4122099892818591,2.802001779855809
0.02,0.25,30,-0.026339992714733394,0.0003507605242868003,-0.1533242657395149,0.018192216305743764,1.5806336287464366,1.2987448516640798,3.583110319146931
0.02,0.26,30,-0.027605962180774157,0.0004601242704684723,-0.12446735406296044,0.01775393189932189,-0.12956772834817462,1.5385940562818836,3.0575900603127804
0.02,0.27,30,-0.028829339795992615,0.0004946983376660065,-0.1559156203064784,0.015837583447715606,-2.3079842627747738,1.4550063635046497,2.1999806727734383
0.02,0.28,30,-0.030724274586903726,0.00045488815304715175,-0.17062703931845596,0.01583474851039364,1.2521762426139513,1.3025804192149175,3.6245038495136215
0.02,0.29,30,-0.03224188058236174,0.00042460446865682643,-0.13087209545419973,0.015218261166795906,0.15258571011088617,1.3655515227575024,3.0613772827383285
0.02,0.3,30,-0.03334171649598772,0.00047095636719271576,-0.16757532511623868,0.01680056205310929,0.45080760962565997,1.6794845630494177,4.05180805623267
0.02,0.31,30,-0.0355933870846865,0.0003940410842758687,-0.12185594326168651,0.020823940628596816,3.4018005509893827,1.6058648727370213,5.436524040221531
0.02,0.32,30,-0.03577883536122146,0.00044696173285192173,-0.09953931409645098,0.019678640113921037,-1.1013806675470106,1.6142797807823253,3.189332344613073
0.02,0.33,30,-0.03758417336661553,0.0005458834492946809,-0.14388355661262675,0.01883378973171537,-0.6114752342189057,1.7780763608801282,3.5455281184395457
0.02,0.34,30,-0.03865650649347399,0.0005048835449869082,-0.1117688187808291,0.020863150840573903,-0.35479930911001734,1.6790133655618538,3.436634751653716
0.02,0.35,30,-0.039819549742232105,0.0003756178566190991,-0.15097954279482667,0.02116632722667582,-0.42621234213414333,1.9473771620663924,3.9013425367066534
0.02,0.36,30,-0.04167609734937053,0.0005355838064429414,-0.12029306562351158,0.022592166564360607,1.15631868626766,1.7276066189599462,4.467022836882092
0.02,0.37,30,-0.04222541105470234,0.00043255393017778724,-0.12785316906947344,0.019360536267423425,0.2652926821711719,1.787320520865018,4.101195582028959
0.02,0.38,30,-0.04423316073076,0.00042077175313042734,-0.11498721198008814,0.0194515356650946,2.0022524806166566,1.6011207466477522,4.794390130495087
0.02,0.39,30,-0.0445251552943041,0.0004611665569005894,-0.08780811945714027,0.017098675931697407,0.1541297347099485,1.5579585115130716,3.6569395253242005
0.02,0.4,30,-0.04598932311990281,0.00041426603867589126,-0.11190461728588916,0.01866289212747452,0.07391440581028448,1.3125293874957913,2.7880665644548417
0.02,0.41,30,-0.046763247640021884,0.000526246680865906,-0.08632983134093485,0.019049848055130686,-1.1060159576922965,1.7102341008163335,2.8928364255318892
