eta,ref_id,radius,phi_energy_raw,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,positive_curvature
0.25,0,0.1,-0.0186102490507476,-0.6295956843320324,1.199219885713545,1.199219885713545
0.25,0,0.2,-0.0815698174839508,-0.5096736957606779,1.6135548902960795,1.6135548902960795
0.25,0,0.3,-0.1205449882028832,-0.3068847062728165,2.1346367471721663,2.1346367471721663
0.25,0,0.4,-0.1429467587385141,-0.0827463463262446,1.5532939543073188,1.5532939543073188
0.25,0,0.5,-0.1370942574681322,0.0037740845886473,0.16682937784453902,0.16682937784453902
0.25,0,0.6,-0.1421919418207847,-0.0493804707573368,-0.18374848846735656,0.0
0.25,0,0.7,-0.1469703516195995,-0.032975613104824,0.2893886781331403,0.2893886781331403
0.25,0,0.8,-0.1487870644417495,0.0084972648692913,0.12829950339670265,0.12829950339670265
0.25,0,0.9,-0.1452708986457413,-0.0073157124254834,-0.29145173840170013,0.0
0.25,0,1.0,-0.1502502069268461,-0.0497930828110487,-0.4247737038556531,0.0
0.25,1,0.1,-0.0220177245170509,-0.5149651977993355,0.5794556673791368,0.5794556673791368
0.25,1,0.2,-0.0735142442969845,-0.4570196310614218,1.1111761961239022,1.1111761961239022
0.25,1,0.3,-0.1134216507293353,-0.2927299585745551,1.8119842132907418,1.8119842132907418
0.25,1,0.4,-0.1320602360118955,-0.0946227884032734,1.3155658080754213,1.3155658080754213
0.25,1,0.5,-0.13234620840999,-0.0296167969594707,0.28949304857014413,0.28949304857014413
0.25,1,0.6,-0.1379835954037896,-0.0367241786892446,0.04554808203004854,0.04554808203004854
0.25,1,0.7,-0.1396910441478389,-0.020507180553461,-0.0006086185032347924,0.0
0.25,1,0.8,-0.1420850315144818,-0.0368459023898916,-0.10836569459845238,0.0
0.25,1,0.9,-0.1470602246258172,-0.0421803194731515,0.011185972784713005,0.011185972784713005
0.25,1,1.0,-0.1505210954091121,-0.034608707832949,0.07571611640202502,0.07571611640202502
0.25,2,0.1,-0.0208360912466621,-0.4637138182969955,0.09354291650903401,0.09354291650903401
0.25,2,0.2,-0.0672074730763617,-0.4543595266460921,0.7495030534244806,0.7495030534244806
0.25,2,0.3,-0.1117079965758806,-0.3138132076120994,1.7555353208437627,1.7555353208437627
0.25,2,0.4,-0.1299701145987816,-0.1032524624773395,1.2939093448007726,1.2939093448007726
0.25,2,0.5,-0.1323584890713485,-0.0550313386519448,0.32082869916632417,0.32082869916632417
0.25,2,0.6,-0.1409763823291705,-0.0390867226440747,0.27698824751897216,0.27698824751897216
0.25,2,0.7,-0.1401758336001634,0.0003663108518496,0.09558172520133879,0.09558172520133879
0.25,2,0.8,-0.1409031201588006,-0.019970377603807,-0.1657082122322229,0.0
0.25,2,0.9,-0.1441699091209248,-0.032775331594595,-0.06456197982070305,0.0
0.25,2,1.0,-0.1474581864777196,-0.0328827735679476,-0.0010744197335259972,0.0
0.25,3,0.1,-0.0164714847787011,-0.5147448452128476,0.3214939986454579,0.3214939986454579
0.25,3,0.2,-0.0679459692999859,-0.4825954453483018,0.8722148720802456,0.8722148720802456
0.25,3,0.3,-0.1129905738483614,-0.3403018707967985,1.8519850352325506,1.8519850352325506
0.25,3,0.4,-0.1360063434593456,-0.1121984383017916,1.7072236990731553,1.7072236990731553
0.25,3,0.5,-0.1354302615087198,0.0011428690178326,0.42525788398338016,0.42525788398338016
0.25,3,0.6,-0.135777769655779,-0.0271468615051156,-0.22994115461962658,0.0
0.25,3,0.7,-0.1408596338097429,-0.0448453619060927,0.017916758116761272,0.017916758116761272
0.25,3,0.8,-0.1447468420369976,-0.0235635098817633,0.09165269583633384,0.09165269583633384
0.25,3,0.9,-0.1455723357860956,-0.0265148227388259,-0.10605599052454055,0.0
0.25,3,1.0,-0.1500498065847628,-0.0447747079866714,-0.18259885247845506,0.0
0.25,4,0.1,-0.0219773186627083,-0.5797755934341177,0.8061138418692915,0.8061138418692915
0.25,4,0.2,-0.07995487800612,-0.4991642092471885,1.282698795589528,1.282698795589528
0.25,4,0.3,-0.121810160512146,-0.3232358343162121,1.9459960824059628,1.9459960824059628
0.25,4,0.4,-0.1446020448693624,-0.1099649927659959,1.5625923442298824,1.5625923442298824
0.25,4,0.5,-0.1438031590653452,-0.0107173654702356,0.3296458988614626,0.3296458988614626
0.25,4,0.6,-0.1467455179634096,-0.0440358129937034,-0.08120028619706303,0.0
0.25,4,0.7,-0.1526103216640859,-0.0269574227096482,0.11295186733119097,0.11295186733119097
0.25,4,0.8,-0.1521370025053392,-0.0214454395274652,0.10709749805365903,0.10709749805365903
0.25,4,0.9,-0.1568994095695789,-0.0055379230989164,0.2899683198601456,0.2899683198601456
0.25,4,1.0,-0.1532445871251225,0.0365482244445639,0.42086147543480307,0.42086147543480307
0.25,5,0.1,-0.0183073942873462,-0.4931151062287028,-0.23898718048902534,0.0
0.25,5,0.2,-0.0676189049102165,-0.5170138242776053,0.8356488603096142,0.8356488603096142
0.25,5,0.3,-0.1217101591428673,-0.32598533416678,2.167259265273165,2.167259265273165
0.25,5,0.4,-0.1328159717435725,-0.0835619712229723,1.577102725182434,1.577102725182434
0.25,5,0.5,-0.1384225533874618,-0.0105647891302931,0.33095676134419716,0.33095676134419716
0.25,5,0.6,-0.1349289295696311,-0.0173706189541329,-0.21540759883907457,0.0
0.25,5,0.7,-0.1418966771782883,-0.053646308898108,-0.13507399251899072,0.0
0.25,5,0.8,-0.1456581913492527,-0.044385417457931,0.24483230421177613,0.24483230421177613
0.25,5,0.9,-0.1507737606698746,-0.0046798480557528,0.43090707276321816,0.43090707276321816
0.25,5,1.0,-0.1465941609604033,0.0417959970947126,0.4647584515046541,0.4647584515046541
0.25,6,0.1,-0.0186287920298231,-0.5440229181258854,0.19897944531446554,0.19897944531446554
0.25,6,0.2,-0.0730310838424116,-0.5241249735944389,0.8955721293753449,0.8955721293753449
0.25,6,0.3,-0.1234537867487108,-0.3649084922508165,1.9635468433205645,1.9635468433205645
0.25,6,0.4,-0.1460127822925749,-0.1314156049303259,1.7444654871415102,1.7444654871415102
0.25,6,0.5,-0.149736907734776,-0.0160153948225144,0.6674266834140142,0.6674266834140142
0.25,6,0.6,-0.1492158612570778,0.0020697317524769,0.12399649827235054,0.12399649827235054
0.25,6,0.7,-0.1493229613842807,0.0087839048319557,0.030724674492220536,0.030724674492220536
0.25,6,0.8,-0.1474590802906866,0.008214666650921,-0.08978597223510257,0.0
0.25,6,0.9,-0.1476800280540965,-0.0091732896150648,-0.12175884123476105,0.0
0.25,6,1.0,-0.1492937382136996,-0.0161371015960312,-0.06963811980966401,0.0
0.25,7,0.1,-0.0182572668217373,-0.6102389476179249,0.5604149071708708,0.5604149071708708
0.25,7,0.2,-0.0792811615835298,-0.5541974569008378,1.4910152298463146,1.4910152298463146
0.25,7,0.3,-0.1290967582019048,-0.312035901648662,2.3357807129207964,2.3357807129207964
0.25,7,0.4,-0.1416883419132621,-0.0870413143166785,1.3443080402621925,1.3443080402621925
0.25,7,0.5,-0.1465050210652405,-0.0431742935962234,0.42762465714260117,0.42762465714260117
0.25,7,0.6,-0.1503232006325068,-0.0015163828881583,0.35005425425679015,0.35005425425679015
0.25,7,0.7,-0.1468082976428722,0.0268365572551346,-0.07633357917241708,0.0
0.25,7,0.8,-0.1449558891814799,-0.0167830987226418,-0.3369677626090337,0.0
0.25,7,0.9,-0.1501649173874005,-0.0405569952666722,-0.06120304875748052,0.0
0.25,7,1.0,-0.1530672882348143,-0.0290237084741379,0.11533286792534297,0.11533286792534297
0.25,8,0.1,-0.0213163504908226,-0.478242354648771,0.3966340928729012,0.3966340928729012
0.25,8,0.2,-0.0691405859556997,-0.4385789453614809,0.8512535312981357,0.8512535312981357
0.25,8,0.3,-0.1090321395631187,-0.3079916483891439,1.5871835635960094,1.5871835635960094
0.25,8,0.4,-0.1307389156335284,-0.121142232642279,1.3215074652078358,1.3215074652078358
0.25,8,0.5,-0.1332605860915746,-0.0436901553475767,0.5099213360045396,0.5099213360045396
0.25,8,0.6,-0.1394769467030438,-0.0191579654413711,0.16857483327492206,0.16857483327492206
0.25,8,0.7,-0.1370921791798488,-0.0099751886925923,-0.06859160082548932,0.0
0.25,8,0.8,-0.1414719844415622,-0.032876285606469,-0.18683337525479587,0.0
0.25,8,0.9,-0.1436674363011426,-0.0473418637435515,-0.19926461642414958,0.0
0.25,8,1.0,-0.1509403571902725,-0.0727292088912989,-0.25387345147747403,0.0
0.25,9,0.1,-0.0189386746437963,-0.4256703591472369,-0.6880667829012233,0.0
