eta,ref_id,n_radii,d_min,d_max,positive_curvature_mass,min_curvature,min_curvature_radius,max_curvature,max_curvature_radius
0.25,0,10,0.1,1.0,0.6485613094006719,-0.4247737038556531,1.0,2.1346367471721663,0.3
0.25,1,10,0.1,1.0,0.49125392127655515,-0.10836569459845238,0.8,1.8119842132907418,0.3
0.25,2,10,0.1,1.0,0.45391178492101686,-0.1657082122322229,0.8,1.7555353208437627,0.3
0.25,3,10,0.1,1.0,0.5126997943645156,-0.22994115461962658,0.6,1.8519850352325506,0.3
0.25,4,10,0.1,1.0,0.6244438464983879,-0.08120028619706303,0.6,1.9459960824059628,0.3
0.25,5,10,0.1,1.0,0.5819086214836732,-0.23898718048902534,0.1,2.167259265273165,0.3
0.25,6,10,0.1,1.0,0.5525222038673239,-0.12175884123476105,0.9,1.9635468433205645,0.3
0.25,7,10,0.1,1.0,0.6286656781976803,-0.3369677626090337,0.8,2.3357807129207964,0.3
0.25,8,10,0.1,1.0,0.46367577758178935,-0.25387345147747403,1.0,1.5871835635960094,0.3
0.25,9,10,0.1,1.0,0.45496975863604844,-0.6880667829012233,0.1,1.7974554737174668,0.3
0.3,0,10,0.1,1.0,0.6841210836731283,-0.168307488695793,1.0,2.6758259068002106,0.3
0.3,1,10,0.1,1.0,0.4815820193567812,-0.3167472194971721,1.0,1.9362787681463227,0.3
0.3,2,10,0.1,1.0,0.5202940225937007,-0.06452636122617839,0.8,1.566775804091479,0.3
0.3,3,10,0.1,1.0,0.5604278931489918,-0.16239769940203047,0.7,2.0302710014684084,0.3
0.3,4,10,0.1,1.0,0.46900401594146973,-0.26950577019751054,0.8,1.347144947930028,0.4
0.3,5,10,0.1,1.0,0.5927093254596669,-0.09080352818047181,0.7,1.8157751657723784,0.3
0.3,6,10,0.1,1.0,0.5930589459400138,-0.2302512041646463,0.8,1.742548460413921,0.2
0.3,7,10,0.1,1.0,0.5328580776855362,-0.11570084520897303,1.0,2.1602060681645865,0.3
0.3,8,10,0.1,1.0,0.5025903493627757,-0.37172425774823514,1.0,1.688587725435704,0.3
0.3,9,10,0.1,1.0,0.4883101253337926,-0.04888112325432881,0.7,1.4810636533896393,0.3
0.35,0,10,0.1,1.0,0.6505763746530793,-0.14476397617462505,0.6,2.591198753605916,0.3
0.35,1,10,0.1,1.0,0.6587612949400519,-0.07588516911345501,1.0,2.4025170554185795,0.3
0.35,2,10,0.1,1.0,0.5402748901873159,-0.7629635993918112,1.0,1.9534681531396876,0.3
0.35,3,10,0.1,1.0,0.6134956752689988,-0.0782487357082281,0.8,2.319741668119913,0.3
0.35,4,10,0.1,1.0,0.5853612772181204,-0.0962730455288555,0.7,2.35711049530143,0.3
0.35,5,10,0.1,1.0,0.6267645434236198,-0.20084241625165108,0.9,2.551530854713591,0.3
0.35,6,10,0.1,1.0,0.6983334015722537,-0.19101080073671156,0.8,2.487368382873589,0.3
0.35,7,10,0.1,1.0,0.6379705370828941,-0.40449907035382204,1.0,2.2966045666183508,0.3
0.35,8,10,0.1,1.0,0.49717284579495136,-0.6981968984160271,1.0,1.9903033549907334,0.4
0.35,9,10,0.1,1.0,0.5977410436574352,-0.23902292280930196,0.8,2.0762646744718904,0.3
0.4,0,10,0.1,1.0,0.6455057760304661,-0.16182736461445957,0.9,2.4032595195331714,0.3
0.4,1,10,0.1,1.0,0.6132873990057817,-0.21741767566215023,0.7,2.290396989739968,0.3
0.4,2,10,0.1,1.0,0.8106015526965056,-0.0944602461392455,0.8,2.7947861683630157,0.2
0.4,3,10,0.1,1.0,0.6849507044331712,-0.2743462277890604,0.7,2.0391967387500127,0.3
0.4,4,10,0.1,1.0,0.6338166813216614,-0.23927897304231022,0.7,2.6897687338198817,0.3
0.4,5,10,0.1,1.0,0.803332076083553,-0.2920012861166581,0.6,2.636968311078349,0.3
0.4,6,10,0.1,1.0,0.693917216288015,-0.4534977378332712,0.7,2.4170030307049797,0.3
0.4,7,10,0.1,1.0,0.6812062745038838,-0.12373963279871539,0.8,2.726772792681694,0.3
0.4,8,10,0.1,1.0,0.6430334622156532,-0.21343152667659807,0.8,2.0452721741144173,0.3
0.4,9,10,0.1,1.0,0.5963395734799811,-8.537248528399552e-05,1.0,2.281778924186025,0.3
