source,case_id,case_label,eta,nmstv,ref_key,n_radii,d_min,d_max,A_kappa,min_dphi_dr,min_dphi_dr_radius,max_curvature,max_curvature_radius
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,100,0.01,1.0,0.9794159878410341,-0.1705775438022471,0.19,8.437183975159526,0.98
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,100,0.01,1.0,0.715691159967039,-0.1715775760222175,0.36,5.706212022499923,0.55
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:10,100,0.01,1.0,0.9357378996420833,-0.15758657258104447,0.21,6.449591721261106,0.98
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:11,100,0.01,1.0,0.6492975968510377,-0.6567562552796916,1.0,7.589283086698836,0.74
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:12,100,0.01,1.0,1.0720435016058292,-0.18387792002184494,0.31,8.478675487666127,0.77
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:13,100,0.01,1.0,1.278799509789457,-0.17999533327895265,0.22,13.772239850941602,0.98
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:14,100,0.01,1.0,0.7236224616418637,-0.17396415622906203,0.29,5.166790231695927,0.96
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:15,100,0.01,1.0,0.8837709674539639,-0.2242739155602442,1.0,6.707040249484818,0.85
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:16,100,0.01,1.0,0.7228140356828915,-0.1711940339675765,0.22,5.126535389720763,0.98
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:17,100,0.01,1.0,0.5467386090553485,-0.2313773235027057,1.0,4.551088764485219,0.38
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:18,100,0.01,1.0,0.6912552582178968,-0.30790193707626956,1.0,7.703324580713661,0.95
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:19,100,0.01,1.0,0.8973609963828952,-0.1753075247346457,0.19,7.357713180356983,0.49
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:2,100,0.01,1.0,0.8894550372313936,-0.4019013520947377,1.0,6.47051562899858,0.66
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:20,100,0.01,1.0,0.7634716899213936,-0.2229303276005552,1.0,5.280249660538063,0.63
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:21,100,0.01,1.0,1.0012390435852176,-0.17650459460297005,0.21,12.189033869153976,1.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:22,100,0.01,1.0,1.0381079220733032,-0.1785922752015705,0.25,8.259409918887043,0.97
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:23,100,0.01,1.0,1.0443466727932258,-0.17848837890740737,0.32,9.313654778090044,1.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:24,100,0.01,1.0,0.6970147081691979,-0.3001885944929205,1.0,4.216697428485017,0.92
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:25,100,0.01,1.0,0.7713144614917954,-0.16558063249354218,0.25,5.230596150173648,0.76
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:26,100,0.01,1.0,0.7055940890300625,-0.19297702294047756,0.33,5.291375405911529,0.96
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:27,100,0.01,1.0,0.7659526110624475,-0.6160422384865426,1.0,6.763769370042629,0.5
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:28,100,0.01,1.0,0.6334479884278712,-0.22489876421280147,1.0,4.860125864950354,0.89
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:29,100,0.01,1.0,0.5930928496336016,-0.18689553664929595,1.0,4.098462840866076,0.9
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:3,100,0.01,1.0,0.6571171599033164,-0.1651669225127794,0.18,5.019524052139731,0.69
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:4,100,0.01,1.0,0.9876259521920517,-0.2031672976574293,0.21,10.117355217265821,1.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:5,100,0.01,1.0,0.7875718187074128,-0.1829321541447256,0.31,5.794889948522653,0.97
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:6,100,0.01,1.0,0.9724676024973726,-0.18604330601052274,0.24,5.837817268554769,0.53
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:7,100,0.01,1.0,0.9407320015397427,-0.21827891510300007,1.0,7.740102642141129,0.86
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:8,100,0.01,1.0,1.0422330856419635,-0.1856700697977693,0.19,10.189608591701742,0.97
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:9,100,0.01,1.0,0.6632345606310791,-0.22112757181836773,1.0,4.512666780865384,0.57
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:0,100,0.01,1.0,0.9002203846534568,-0.24382736436194483,0.15,5.067349544476277,0.87
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:1,100,0.01,1.0,1.3121199451979544,-0.23327192244909012,0.25,10.583136278423051,1.0
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:10,100,0.01,1.0,1.2327483295187038,-0.24779689631204802,0.23,9.82652677640415,0.99
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:11,100,0.01,1.0,0.8104492174880095,-0.23593265213302236,0.25,4.90608645853488,0.76
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:12,100,0.01,1.0,0.8627211405738439,-0.2776758659356168,0.22,5.591456260345882,0.29
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:13,100,0.01,1.0,1.074555000090851,-0.24739595789007857,0.17,7.693789552496408,0.81
