source,case_id,case_label,eta,nmstv,ref_id,method,n_radius,dphi_min,dphi_min_radius,curvature_max,curvature_max_radius,curvature_sign_changes,A_kappa
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,100,-0.4730713921518501,0.94,42.82365868588998,0.79,43,4.302721846634172
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,100,-0.1705775438022471,0.19,8.437183975159526,0.98,33,0.9794159878410341
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,savgol_11_3,100,-0.20091262989925776,0.21,25.66550776538524,1.0,21,1.207033321924102
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,savgol_21_3,100,-0.16858411309343443,0.19,2.0092467740478375,1.0,15,0.2863538548943709
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,coarsen_0p05,21,-0.161478854527016,0.2,2.0856689274451083,0.95,5,0.32774265159799354
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,coarsen_0p10,11,-0.143863212265854,0.2,0.6820026321480758,1.0,3,0.19593828006999187
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,1,raw_gradient,100,-0.5370582164897195,0.51,33.557449590341456,0.52,44,4.548759119325183
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,1,moving_avg_7,100,-0.1715775760222175,0.36,5.706212022499923,0.55,33,0.715691159967039
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,1,savgol_11_3,100,-0.24305734641867371,0.36,3.499930452786394,0.55,25,0.6248769737870498
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,1,savgol_21_3,100,-0.1645379675589578,0.18,1.6362041483287524,1.0,15,0.23759861401565366
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,1,coarsen_0p05,21,-0.17647280377001606,0.25,0.9332673596613896,0.4,7,0.25692726840497093
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,1,coarsen_0p10,11,-0.1524527948139385,0.2,0.4314952445763849,0.3,5,0.11890386255635117
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,2,raw_gradient,100,-0.6661477422190387,1.0,35.901788526621765,0.68,40,5.532054576278936
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,2,moving_avg_7,100,-0.4019013520947377,1.0,6.47051562899858,0.66,36,0.8894550372313936
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,2,savgol_11_3,100,-0.32079489847826304,1.0,3.1555748588850925,0.75,26,0.48565524901803836
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,2,savgol_21_3,100,-0.22201721655434323,1.0,1.0107779569953506,0.8,12,0.1717914049700337
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,2,coarsen_0p05,21,-0.19716387761826365,1.0,1.0970887503485103,0.6,8,0.2600182102187322
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,2,coarsen_0p10,11,-0.1526917862997115,0.2,0.3113127841049821,0.5,2,0.09408281167259303
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,3,raw_gradient,100,-0.3809389497057798,0.87,29.952032801383695,0.84,45,4.033325837262754
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,3,moving_avg_7,100,-0.1651669225127794,0.18,5.019524052139731,0.69,47,0.6571171599033164
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,3,savgol_11_3,100,-0.19985774011579407,1.0,3.1878356772387413,0.81,22,0.4414605517151206
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,3,savgol_21_3,100,-0.16353307159519223,0.17,0.6062967711862566,0.37,12,0.12497476890576917
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,3,coarsen_0p05,21,-0.158383413166017,0.35,0.7176211228021987,0.4,8,0.15512971375290105
