source,case_id,case_label,eta,nmstv,radius,ref_count,phi_mean,phi_sd,phi_sem,split_mean,split_max,ess_fraction_mean
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.01,30,-0.00043901297443786337,0.00024894034251730186,4.545008035659621e-05,7.382971510630506e-07,2.1556211871109423e-06,0.9992499643370524
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.02,30,-0.0004796635538651633,0.0002639893372482327,4.819763831723194e-05,1.0570863436042027e-06,3.6547902581507216e-06,0.9950986306098131
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.03,30,-0.0005658980481326933,0.0002908442857175301,5.310065866965628e-05,3.231773343782656e-06,1.3687045639886382e-05,0.9747407006800687
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.04,30,-0.0007291169672824232,0.0003318979748869048,6.05960025452803e-05,7.547075754426749e-06,2.2572901891393765e-05,0.9001444535845533
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.05,30,-0.00100794755330373,0.00038808256447091835,7.085385824505831e-05,1.0888738638298498e-05,3.52715522049566e-05,0.7316441085630714
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.06,30,-0.0014183486600195833,0.0004591637921197794,8.383145551120534e-05,2.2601092048778182e-05,7.051862832275443e-05,0.7930380182869337
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.07,30,-0.00198097126670563,0.000544794315499731,9.946537859992967e-05,3.774045252895033e-05,0.0001024650425413,0.8532834015757086
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.08,30,-0.00267835838778772,0.0006337570460621249,0.00011570767670202216,5.5301524897227745e-05,0.0002163154326576,0.7590818024820473
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.09,30,-0.0035373518537593768,0.0007327968025569172,0.00013378977960936097,8.756518225995002e-05,0.0002717946315274,0.8529033179093578
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.1,30,-0.004474478012610161,0.000821510441068255,0.00014998659993303387,0.0001486058063087954,0.0004320588446272,0.7529115050284962
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.11,30,-0.00552599194589271,0.0009612037421470638,0.00017549099064410867,0.00025425888261025603,0.0008580735875827,0.8321318636072127
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.12,30,-0.006651766731235046,0.000996814340761375,0.00018199256669321545,0.0003191566988122679,0.0011106447083123,0.7917169505664643
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.13,30,-0.007929025438429266,0.0011637478996226547,0.00021247032529086196,0.0003493010890135755,0.0011166543373032,0.8694481010811329
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.14,30,-0.009275652811312743,0.0011734663704004449,0.00021424466718067875,0.0005329231001256106,0.0013230180616433,0.7905540616400745
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.15,30,-0.01065921355881494,0.0012818208249032348,0.0002340273934931272,0.0005448079456924138,0.0012614699765996,0.774672761226189
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.16,30,-0.012268856669046736,0.0014404788776730536,0.00026299425830375215,0.0005904773774066845,0.0023346542320225,0.841781619530291
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.17,30,-0.013624662968669115,0.0014765086978689452,0.00026957237339180043,0.0008547520618034091,0.002910188700888,0.8027992913605003
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.18,30,-0.015027599682889104,0.0017353041575867167,0.0003168217437475815,0.0006401409879098865,0.0020587130895719,0.8502212165545496
