rule,radius,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2,d_phi_energy_direct_dd,d_phi_energy_direct_dd_sem
random_label,0.01,30,30,complete,True,-0.04486591887415672,-2.5217171316974434,-0.04486591887415646,-2.5217171316974665,69.24168687175836,-1440.3475973254842,-0.02674459639931737,0.0019053587089356504
random_label,0.02,30,30,complete,True,-0.07008309019113115,-4.13627363295419,-0.07008309019113113,-4.136273632954193,54.83821089850352,-1736.300093398768,-0.06653252269265547,0.003660387838211059
random_label,0.03,30,30,complete,True,-0.12759139153324048,-6.203257085702194,-0.12759139153324028,-6.203257085702186,34.515685003783,-1475.0728178935171,-0.12681783716515777,0.00547526143795333
random_label,0.04,30,30,complete,True,-0.194148231905175,-6.477418797276216,-0.19414823190517483,-6.477418797276211,25.336754540633166,-725.3903588941681,-0.19523611843024236,0.006968017465492509
random_label,0.05,30,30,complete,True,-0.2571397674787648,-6.393247125071241,-0.25713976747876455,-6.393247125071257,20.00787782589963,-442.0995985839834,-0.264743963615813,0.009304847404217454
random_label,0.06,30,30,complete,True,-0.32201317440659977,-6.046320588355622,-0.32201317440659993,-6.046320588355629,16.494762568953497,-300.3842601603833,-0.32364782918484614,0.008944397683500877
random_label,0.07,30,30,complete,True,-0.3780661792458773,-5.2999554550307195,-0.37806617924587715,-5.299955455030716,14.000192622691968,-218.10796898322553,-0.38404410863873056,0.0095266628139285
random_label,0.08,30,30,complete,True,-0.4280122835072142,-6.30735150080352,-0.42801228350721426,-6.307351500803552,12.132603189288984,-167.58809306767125,-0.4360901837662003,0.009526005407518984
random_label,0.09,30,30,complete,False,-0.5042132092619477,-6.240169151336275,-0.5042132092619481,-6.240169151336271,10.648430761338544,-132.79805490320268,-0.48570479570344316,0.009095336673858437
random_label,0.1,30,30,complete,False,-0.5528156665339397,-3.716756708832584,-0.5528156665339397,-3.716756708832545,9.476642091224932,-105.73027409996183,-0.5277311075421929,0.010365743665148058
random_label,0.11,30,30,complete,False,-0.5785483434385994,-2.82651687154927,-0.5785483434385991,-2.8265168715492877,8.533825279339307,-86.83389452850025,-0.5612219557051802,0.01049859985662875
random_label,0.12,30,30,complete,False,-0.609346003964925,-3.241639081567744,-0.6093460039649253,-3.2416390815677545,7.739964200654928,-73.64021419135366,-0.5869088886224301,0.011836989052231735
random_label,0.13,30,30,complete,False,-0.6433811250699544,-3.391488818838379,-0.6433811250699542,-3.39148881883834,7.061020995512234,-63.250258541850485,-0.6269564399858165,0.010362658818291414
