rule,radius,phi_energy_raw,n_units,target_ref_count,sampling_status
random_label,0.01,-0.0013593418999545588,30,30,complete
random_label,0.02,-0.001808001088696126,30,30,complete
random_label,0.03,-0.0027610037037771812,30,30,complete
random_label,0.04,-0.004359828919360935,30,30,complete
random_label,0.05,-0.006643968341880683,30,30,complete
random_label,0.06,-0.00950262426893623,30,30,complete
random_label,0.07,-0.01308423183001268,30,30,complete
random_label,0.08,-0.017063947853853775,30,30,complete
random_label,0.09,-0.02164447750015696,30,30,complete
random_label,0.1,-0.027148212039092734,30,30,complete
random_label,0.11,-0.032700790830835755,30,30,complete
random_label,0.12,-0.038719178907864714,30,30,complete
random_label,0.13,-0.04488771091013426,30,30,complete
random_label,0.14,-0.05158680140926381,30,30,complete
random_label,0.15,-0.058431226516968096,30,30,complete
random_label,0.16,-0.06511495883679232,30,30,complete
random_label,0.17,-0.07242876207124899,30,30,complete
random_label,0.18,-0.07979835543020189,30,30,complete
random_label,0.19,-0.08765035691551328,30,30,complete
random_label,0.2,-0.09326699263768923,30,30,complete
random_label,0.21,-0.09945992721059718,30,30,complete
random_label,0.22,-0.10610534217179435,30,30,complete
random_label,0.23,-0.11091929241603449,30,30,complete
random_label,0.24,-0.1162280511000506,30,30,complete
random_label,0.25,-0.12443254349585973,30,30,complete
random_label,0.26,-0.12745223047940285,30,30,complete
random_label,0.27,-0.13099644248288245,30,30,complete
random_label,0.28,-0.1353737409638913,30,30,complete
random_label,0.29,-0.1388460770351186,30,30,complete
random_label,0.3,-0.14230214004958044,30,30,complete
random_label,0.31,-0.14511394071577122,30,30,complete
random_label,0.32,-0.14668696887689517,30,30,complete
random_label,0.33,-0.14821064574250212,30,30,complete
random_label,0.34,-0.15104833138848947,30,30,complete
random_label,0.35,-0.1515796288244262,30,30,complete
random_label,0.36,-0.15439443875917355,30,30,complete
random_label,0.37,-0.1553546595175174,30,30,complete
random_label,0.38,-0.1551261369608782,30,30,complete
random_label,0.39,-0.15608223446513306,30,30,complete
random_label,0.4,-0.1578995564812093,30,30,complete
random_label,0.41,-0.1568790295505087,30,30,complete
random_label,0.42,-0.15730427714558298,30,30,complete
random_label,0.43,-0.15757571993977576,30,30,complete
random_label,0.44,-0.15831776874780654,30,30,complete
random_label,0.45,-0.15832986481460384,30,30,complete
random_label,0.46,-0.15724806438266115,30,30,complete
random_label,0.47,-0.15894669550320634,30,30,complete
random_label,0.48,-0.1579077993278125,30,30,complete
random_label,0.49,-0.15808796422128296,30,30,complete
random_label,0.5,-0.1585227480889035,30,30,complete
random_label,0.51,-0.15699461803336645,30,30,complete
random_label,0.52,-0.15799681251714529,30,30,complete
random_label,0.53,-0.15825580954215554,30,30,complete
random_label,0.54,-0.15831132821761262,30,30,complete
random_label,0.55,-0.1568918205919308,30,30,complete
random_label,0.56,-0.15790566470369688,30,30,complete
random_label,0.57,-0.15836603551997383,30,30,complete
random_label,0.58,-0.15764905062544457,30,30,complete
random_label,0.59,-0.1578845475369229,30,30,complete
random_label,0.6,-0.1592835876380956,30,30,complete
random_label,0.61,-0.1580499081096391,30,30,complete
random_label,0.62,-0.1587084332595617,30,30,complete
random_label,0.63,-0.15765828306602855,30,30,complete
random_label,0.64,-0.15844702879409397,30,30,complete
random_label,0.65,-0.15900958931788295,30,30,complete
random_label,0.66,-0.15826459730845205,30,30,complete
random_label,0.67,-0.15812094336342603,30,30,complete
random_label,0.68,-0.15849970111599626,30,30,complete
random_label,0.69,-0.15904614856811009,30,30,complete
random_label,0.7,-0.15923472630894447,30,30,complete
random_label,0.71,-0.15835449273981098,30,30,complete
random_label,0.72,-0.15798639580955162,30,30,complete
random_label,0.73,-0.158379439856876,30,30,complete
random_label,0.74,-0.15884389061504256,30,30,complete
random_label,0.75,-0.15760429644389562,30,30,complete
random_label,0.76,-0.15857284744030214,30,30,complete
random_label,0.77,-0.15841133231405374,30,30,complete
random_label,0.78,-0.1591441096833415,30,30,complete
random_label,0.79,-0.1599736711109304,30,30,complete
random_label,0.8,-0.15892285794401242,30,30,complete
random_label,0.81,-0.15907493249271581,30,30,complete
random_label,0.82,-0.15947032233141784,30,30,complete
random_label,0.83,-0.15897693453187836,30,30,complete
random_label,0.84,-0.1592390191985379,30,30,complete
random_label,0.85,-0.1597160085710673,30,30,complete
random_label,0.86,-0.15961340656824471,30,30,complete
random_label,0.87,-0.1598196015272624,30,30,complete
random_label,0.88,-0.1597605994282309,30,30,complete
random_label,0.89,-0.15921178487263005,30,30,complete
random_label,0.9,-0.15991774619265994,30,30,complete
random_label,0.91,-0.15972216877965917,30,30,complete
random_label,0.92,-0.15988204474232556,30,30,complete
random_label,0.93,-0.15984616213290023,30,30,complete
random_label,0.94,-0.16065797700381745,30,30,complete
random_label,0.95,-0.16001655206359436,30,30,complete
random_label,0.96,-0.16003715952780706,30,30,complete
