task_index,eta,rule,ref_id,radius,samples_per_ref_radius
0,0.0,eta_0p00,0,0.1,128
1,0.0,eta_0p00,0,0.8,128
2,0.0,eta_0p00,0,0.9,128
3,0.0,eta_0p00,0,1.0,128
4,0.0,eta_0p00,0,1.1,128
5,0.2,eta_0p20,0,0.1,128
6,0.2,eta_0p20,0,0.8,128
7,0.2,eta_0p20,0,0.9,128
8,0.2,eta_0p20,0,1.0,128
9,0.2,eta_0p20,0,1.1,128
10,0.35,eta_0p35,0,0.1,128
11,0.35,eta_0p35,0,0.8,128
12,0.35,eta_0p35,0,0.9,128
13,0.35,eta_0p35,0,1.0,128
14,0.35,eta_0p35,0,1.1,128
15,0.5,eta_0p50,0,0.1,128
16,0.5,eta_0p50,0,0.8,128
17,0.5,eta_0p50,0,0.9,128
18,0.5,eta_0p50,0,1.0,128
19,0.5,eta_0p50,0,1.1,128
