eta,rule,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sd,delta_phi_energy_mean,ess_fraction_min,ess_fraction_mean,split_logZ_per_P_diff_max,weighted_ce_mean,weighted_error_mean,elapsed_s_mean
0.0,eta_0p00,0.1,1,-0.0033437039655253744,,0.0,0.7923602025806079,0.7923602025806079,3.94384492426274e-05,0.010345152447752217,0.0023995925013819684,1.0591237545013428
0.0,eta_0p00,0.8,1,-0.0682563219459904,,-0.06491261798046502,0.9701054714505313,0.9701054714505313,0.005099448956585789,0.24910651975318265,0.10151188381800877,4.726179122924805
0.0,eta_0p00,0.9,1,-0.07903751329885474,,-0.07569380933332936,0.8582002241681725,0.8582002241681725,0.000587906340421075,0.2768855477733876,0.11235497377964551,4.747263193130493
0.0,eta_0p00,1.0,1,-0.07470312222134362,,-0.07135941825581824,0.6928434015127417,0.6928434015127417,0.01050659602110887,0.2855590385907996,0.11230142995676384,5.190611839294434
0.0,eta_0p00,1.1,1,-0.093462885566889,,-0.09011918160136363,0.6175413244139497,0.6175413244139497,0.0008706296882955762,0.3434698616088753,0.1477926233861769,5.328075170516968
0.2,eta_0p20,0.1,1,-0.22191531536034304,,0.0,0.9254102349239781,0.9254102349239781,0.017869698952167,0.9682819741466937,0.17886220552232812,3.9456961154937744
0.2,eta_0p20,0.8,1,-0.13150967298933924,,0.09040564237100379,0.8174373763687568,0.8174373763687568,0.004474702875271374,0.5511208875337475,0.26053303587920273,4.547561168670654
0.2,eta_0p20,0.9,1,-0.13157596103853877,,0.09033935432180425,0.9957534168235015,0.9957534168235015,0.0020568195445371256,0.5403734124755063,0.2531979468731002,4.490251302719116
0.2,eta_0p20,1.0,1,-0.13921506645708936,,0.08270024890325368,0.7608883255153581,0.7608883255153581,0.008838931418689003,0.5954520969630228,0.28739931746410435,3.8656115531921387
0.2,eta_0p20,1.1,1,-0.14225848604839736,,0.07965682931194566,0.8909259563734908,0.8909259563734908,0.004055572983811565,0.5871204309061888,0.29061165238523645,3.9159204959869385
0.35,eta_0p35,0.1,1,-0.4009840209497353,,0.0,0.6536953352498978,0.6536953352498978,0.03892842311662362,1.6058046534891877,0.3510911440308607,4.850190877914429
0.35,eta_0p35,0.8,1,-0.15661429949488626,,0.2443697214548491,0.6023444379011131,0.6023444379011131,0.008462208747913454,0.6795228281610557,0.39078083295885735,3.594280958175659
0.35,eta_0p35,0.9,1,-0.15815120039589295,,0.24283282055384237,0.9546752421210452,0.9546752421210452,0.009756076328185035,0.7002455342941614,0.40484999782867676,3.5351834297180176
0.35,eta_0p35,1.0,1,-0.16260276856342054,,0.23838125238631475,0.6791428839282126,0.6791428839282126,0.0006897331714604699,0.6910427683695659,0.4110521203102832,3.525925874710083
0.35,eta_0p35,1.1,1,-0.16434720807117464,,0.23663681287856067,0.8474472178254844,0.8474472178254844,0.0018895720259603356,0.698982258357151,0.4211333847823905,3.5636472702026367
0.5,eta_0p50,0.1,1,-0.4543363067570925,,0.0,0.6597203859773749,0.6597203859773749,0.06777453169877792,1.730150879550765,0.47040212247372126,7.515594720840454
0.5,eta_0p50,0.8,1,-0.1680650571303897,,0.2862712496267028,0.7508425142166751,0.7508425142166751,0.0002964053953045062,0.7098514449166988,0.4358835012051352,4.784249782562256
0.5,eta_0p50,0.9,1,-0.16202298552959327,,0.2923133212274992,0.960972175631804,0.960972175631804,0.0039754627483692346,0.707396319973688,0.4447999698486277,4.68941593170166
0.5,eta_0p50,1.0,1,-0.1672581435009635,,0.287078163256129,0.8730194024728012,0.8730194024728012,0.004239469465661061,0.6952846594188645,0.44574937762113365,5.343119144439697
0.5,eta_0p50,1.1,1,-0.16210830464639245,,0.2922280021107,0.6961271850794157,0.6961271850794157,0.005007825014308936,0.70932131021537,0.44798025989804746,4.94584059715271
