task_index,eta,rule,ref_id,radius,samples_per_ref_radius
0,0.0,eta_0p00,0,0.1,1024
1,0.0,eta_0p00,0,0.8,1024
2,0.0,eta_0p00,0,0.9,1024
3,0.0,eta_0p00,0,1.0,1024
4,0.0,eta_0p00,0,1.1,1024
5,0.2,eta_0p20,0,0.1,1024
6,0.2,eta_0p20,0,0.8,1024
7,0.2,eta_0p20,0,0.9,1024
8,0.2,eta_0p20,0,1.0,1024
9,0.2,eta_0p20,0,1.1,1024
10,0.35,eta_0p35,0,0.1,1024
11,0.35,eta_0p35,0,0.8,1024
12,0.35,eta_0p35,0,0.9,1024
13,0.35,eta_0p35,0,1.0,1024
14,0.35,eta_0p35,0,1.1,1024
15,0.5,eta_0p50,0,0.1,1024
16,0.5,eta_0p50,0,0.8,1024
17,0.5,eta_0p50,0,0.9,1024
18,0.5,eta_0p50,0,1.0,1024
19,0.5,eta_0p50,0,1.1,1024
