dataset_id,split_id,rule,eta,ref_id,theta_path,dataset_path,attempt_seed,optimizer_chain,P,train_error,test_error,CE_mean_train,CE_sum_train,CE_mean_test,theta_norm,min_margin,q05_margin,median_margin,mean_margin,resample_seed_offset
0,0,eta_0p00,0.0,0,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p00/ref_000/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p00/rep_000/dataset.npz,2026162500,adam,2461,0.0,0.12646484375,0.0018833008850675,0.964250053154565,0.7154353075682882,12.815650008581263,1.8506398208103796,4.7303706819382905,9.584038052432575,8.820261177440093,2026062600
0,0,eta_0p00,0.0,1,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p00/ref_001/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p00/rep_000/dataset.npz,2026162501,adam,2461,0.0,0.13037109375,0.0028950254893227,1.4822530505332652,0.768078677723742,13.965838688474935,0.7489777178266861,5.22082094517817,9.672744598964606,8.922750671330238,2026062600
0,0,eta_0p00,0.0,2,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p00/ref_002/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p00/rep_000/dataset.npz,2026162502,adam,2461,0.0,0.12255859375,0.0008582590459593,0.4394286315311792,0.7459726231742164,13.935842952637817,2.503270232594481,5.561186370434926,9.336544917155589,8.738344546846456,2026062600
1,0,eta_0p20,0.2,0,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p20/ref_000/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p20/rep_000/dataset.npz,2026282500,adam,2461,0.0,0.35791015625,0.0012130485596157,0.6210808625232562,2.8045417814519835,16.57950195563767,2.204256707801671,5.646819527215262,10.466279684168118,10.402719494726998,2026062600
1,0,eta_0p20,0.2,1,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p20/ref_001/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p20/rep_000/dataset.npz,2026282501,adam,2461,0.0,0.36474609375,0.0011483680675146,0.5879644505675024,2.6394807720721305,17.461216361169857,2.949153630632998,5.260731697681626,9.491057013928728,9.664867228991568,2026062600
1,0,eta_0p20,0.2,2,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p20/ref_002/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p20/rep_000/dataset.npz,2026282502,adam,2461,0.0,0.35986328125,0.0017074979131422,0.8742389315288241,2.5369832271859094,18.141008348521748,2.7417755458001825,5.1054782705504,9.002881910364147,9.466321593376808,2026062600
2,0,eta_0p35,0.35,0,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p35/ref_000/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p35/rep_000/dataset.npz,2026397500,adam,2461,0.0,0.453125,0.0018494231960365,0.9469046763707144,3.5825471729040093,16.464693303006868,2.3423760904290774,4.763838348650657,9.435809272898409,9.81624532106759,2026062600
2,0,eta_0p35,0.35,1,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p35/ref_001/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p35/rep_000/dataset.npz,2026397501,adam,2461,0.0,0.4736328125,0.003981932391421,2.038749384407557,3.4758582921625543,17.248209130097454,0.3252220171442352,4.6186895203253,8.780062997253046,9.49837934591135,2026062600
2,0,eta_0p35,0.35,2,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p35/ref_002/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p35/rep_000/dataset.npz,2026397502,adam,2461,0.0,0.46435546875,0.0044446187186848,2.275644783966637,2.890260311669558,18.992417588694984,0.3971711191275529,4.170676035134216,7.93363159801491,8.354796689960903,2026062600
3,0,eta_0p50,0.5,0,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p50/ref_000/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_4eta_3ref_cpu35_gpu0/01_dataset_gen/split_000/eta_0p50/rep_000/dataset.npz,2026512500,adam,2461,0.0,0.4990234375,0.0023441583419617,1.2002090710844369,3.654818449446282,15.520819623152663,2.0999940015114884,4.7249022050580045,8.33695286484081,8.697397698696097,2026062600
