eta,rule,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_mean,delta_phi_energy_sd,delta_phi_energy_sem,ess_fraction_min,ess_fraction_mean,split_logZ_per_P_diff_max,weighted_ce_mean,weighted_error_mean,elapsed_s_mean,d_phi_energy_raw_dd_unit_mean,d_phi_energy_raw_dd_unit_sd,d_phi_energy_raw_dd_unit_sem,d_delta_phi_energy_dd_unit_mean,d_delta_phi_energy_dd_unit_sd,d_delta_phi_energy_dd_unit_sem,d_phi_energy_raw_dd,d_delta_phi_energy_dd
0.25,eta_0p25,0.1,90,-0.019870452964672564,0.002851487586070233,0.0003005731830559118,0.0,0.0,0.0,0.546375149372986,0.785817286471987,0.0042158071457679145,0.051713884770259386,0.01846777809929611,16.605219870143465,-0.49812297791797683,0.06141817507460541,0.006474044098891169,-0.4981229779179767,0.06141817507460542,0.006474044098891169,-0.4981229779179768,-0.4981229779179767
0.25,eta_0p25,0.15,90,-0.0447766018605714,0.00500328609241824,0.0005273926612495115,-0.02490614889589883,0.0030709087537302694,0.0003237022049445583,0.5434071058855251,0.8134748846468215,0.01074888883016862,0.12050691066318454,0.04868051653965417,24.125992075602213,-0.5276530908865787,0.04915599407004217,0.005181496730368789,-0.5276530908865787,0.04915599407004217,0.005181496730368788,-0.5276530908865789,-0.5276530908865787
0.25,eta_0p25,0.2,90,-0.07263576205333044,0.006178781226848561,0.000651300728024366,-0.052765309088657876,0.004915599407004217,0.0005181496730368789,0.5505159182383585,0.8012178609941532,0.014489082148393267,0.21583697514280203,0.08663804506406222,29.132127613491484,-0.5320424715160298,0.060180240767900225,0.006343554365462839,-0.5320424715160298,0.06018024076790022,0.00634355436546284,-0.5320424715160297,-0.5320424715160298
0.25,eta_0p25,0.25,90,-0.09798084901217437,0.007155263736364066,0.000754231022203901,-0.0781103960475018,0.006340909475758305,0.0006683905460113493,0.5161977664140406,0.800623429628549,0.0211215128263732,0.314418772894533,0.12426860772383753,32.03254619439443,-0.45143859245406776,0.05134549280969656,0.00541229016208132,-0.45143859245406776,0.05134549280969654,0.005412290162081319,-0.4514385924540676,-0.4514385924540677
0.25,eta_0p25,0.3,90,-0.11777962129873719,0.007023371478740853,0.0007403283575428651,-0.09790916833406463,0.006221447348746819,0.0006557981321618618,0.5323279083337652,0.7995188156568505,0.01787893916506944,0.39636786193953105,0.16054487014979907,33.22496157752143,-0.30536235460157307,0.06689416971383283,0.007051264616052194,-0.30536235460157307,0.06689416971383282,0.00705126461605219,-0.30536235460157324,-0.3053623546015731
0.25,eta_0p25,0.35,90,-0.12851708447233168,0.007085051210881298,0.0007468299721772949,-0.1086466315076591,0.00694366593080379,0.0007319266550884366,0.553838083743983,0.8162006285032809,0.01676039248202065,0.4553951665671689,0.1942679390468928,33.74989337921143,-0.17392732118478146,0.06606881423185584,0.006964264509307079,-0.17392732118478146,0.06606881423185583,0.006964264509307078,-0.1739273211847816,-0.1739273211847815
0.25,eta_0p25,0.4,90,-0.13517235341721534,0.005735133199506938,0.0006045361198296934,-0.11530190045254278,0.006304459124800889,0.0006645483416600854,0.5367701295744077,0.8125172390076022,0.01597951254503669,0.48859297706157107,0.2198783517411817,33.37823305130005,-0.09430147636984798,0.06332117682343359,0.006674638096143858,-0.09430147636984798,0.06332117682343362,0.0066746380961438595,-0.09430147636984798,-0.09430147636984798
0.25,eta_0p25,0.45,90,-0.1379472321093165,0.005084553534779489,0.0005359590018321117,-0.11807677914464393,0.005733993319790914,0.000604415965957651,0.532889886612124,0.8312356816236193,0.01752891677522581,0.5208546698821654,0.24401481422714846,32.80273933675554,-0.04363014782733872,0.050646508631310656,0.005338610760343956,-0.04363014782733872,0.05064650863131065,0.005338610760343956,-0.04363014782733843,-0.04363014782733865
0.25,eta_0p25,0.5,90,-0.1395353681999492,0.0050075094439699435,0.000527837841591611,-0.11966491523527664,0.005920925934834735,0.0006241203937079822,0.5120451149357497,0.8005330905263288,0.015730526698397803,0.5382049922764041,0.2600416220734282,31.961563632223342,-0.03436424336025045,0.0421570344643339,0.004443741610183717,-0.03436424336025043,0.042157034464333894,0.004443741610183716,-0.03436424336025001,-0.03436424336025046
0.25,eta_0p25,0.55,90,-0.1413836564453415,0.003959128313446495,0.00041732876731173126,-0.12151320348066896,0.0051454692705798334,0.0005423800841812502,0.5127984774407711,0.7923068981428096,0.013172728628034001,0.5559118447031981,0.2738455504234149,31.61602453655667,-0.03455771905488997,0.041457285223306876,0.004369981563763067,-0.03455771905488996,0.04145728522330688,0.004369981563763068,-0.034557719054890246,-0.034557719054890024
