task_index,eta,rule,ref_id,radius,samples_per_ref_radius
0,0.2,eta_0p20,0,0.8,1024
1,0.2,eta_0p20,0,0.9,1024
2,0.2,eta_0p20,0,1.0,1024
3,0.2,eta_0p20,0,1.1,1024
4,0.25,eta_0p25,0,0.8,1024
5,0.25,eta_0p25,0,0.9,1024
6,0.25,eta_0p25,0,1.0,1024
7,0.25,eta_0p25,0,1.1,1024
8,0.3,eta_0p30,0,0.8,1024
9,0.3,eta_0p30,0,0.9,1024
10,0.3,eta_0p30,0,1.0,1024
11,0.3,eta_0p30,0,1.1,1024
12,0.35,eta_0p35,0,0.8,1024
13,0.35,eta_0p35,0,0.9,1024
14,0.35,eta_0p35,0,1.0,1024
15,0.35,eta_0p35,0,1.1,1024
16,0.4,eta_0p40,0,0.8,1024
17,0.4,eta_0p40,0,0.9,1024
18,0.4,eta_0p40,0,1.0,1024
19,0.4,eta_0p40,0,1.1,1024
20,0.5,eta_0p50,0,0.8,1024
21,0.5,eta_0p50,0,0.9,1024
22,0.5,eta_0p50,0,1.0,1024
23,0.5,eta_0p50,0,1.1,1024
