task_index,eta,rule,ref_id,radius,samples_per_ref_radius
0,0.25,eta_0p25,0,0.1,1024
1,0.25,eta_0p25,0,0.2,1024
2,0.25,eta_0p25,0,0.3,1024
3,0.25,eta_0p25,0,0.4,1024
4,0.25,eta_0p25,0,0.5,1024
5,0.25,eta_0p25,0,0.6,1024
6,0.25,eta_0p25,0,0.7,1024
7,0.25,eta_0p25,0,0.8,1024
8,0.25,eta_0p25,0,0.9,1024
9,0.25,eta_0p25,0,1.0,1024
10,0.25,eta_0p25,1,0.1,1024
11,0.25,eta_0p25,1,0.2,1024
12,0.25,eta_0p25,1,0.3,1024
13,0.25,eta_0p25,1,0.4,1024
14,0.25,eta_0p25,1,0.5,1024
15,0.25,eta_0p25,1,0.6,1024
16,0.25,eta_0p25,1,0.7,1024
17,0.25,eta_0p25,1,0.8,1024
18,0.25,eta_0p25,1,0.9,1024
19,0.25,eta_0p25,1,1.0,1024
20,0.25,eta_0p25,2,0.1,1024
21,0.25,eta_0p25,2,0.2,1024
22,0.25,eta_0p25,2,0.3,1024
23,0.25,eta_0p25,2,0.4,1024
24,0.25,eta_0p25,2,0.5,1024
25,0.25,eta_0p25,2,0.6,1024
26,0.25,eta_0p25,2,0.7,1024
27,0.25,eta_0p25,2,0.8,1024
28,0.25,eta_0p25,2,0.9,1024
29,0.25,eta_0p25,2,1.0,1024
30,0.25,eta_0p25,3,0.1,1024
31,0.25,eta_0p25,3,0.2,1024
32,0.25,eta_0p25,3,0.3,1024
33,0.25,eta_0p25,3,0.4,1024
34,0.25,eta_0p25,3,0.5,1024
35,0.25,eta_0p25,3,0.6,1024
36,0.25,eta_0p25,3,0.7,1024
37,0.25,eta_0p25,3,0.8,1024
38,0.25,eta_0p25,3,0.9,1024
39,0.25,eta_0p25,3,1.0,1024
40,0.25,eta_0p25,4,0.1,1024
41,0.25,eta_0p25,4,0.2,1024
42,0.25,eta_0p25,4,0.3,1024
43,0.25,eta_0p25,4,0.4,1024
44,0.25,eta_0p25,4,0.5,1024
45,0.25,eta_0p25,4,0.6,1024
46,0.25,eta_0p25,4,0.7,1024
47,0.25,eta_0p25,4,0.8,1024
48,0.25,eta_0p25,4,0.9,1024
49,0.25,eta_0p25,4,1.0,1024
50,0.25,eta_0p25,5,0.1,1024
51,0.25,eta_0p25,5,0.2,1024
52,0.25,eta_0p25,5,0.3,1024
53,0.25,eta_0p25,5,0.4,1024
54,0.25,eta_0p25,5,0.5,1024
55,0.25,eta_0p25,5,0.6,1024
56,0.25,eta_0p25,5,0.7,1024
57,0.25,eta_0p25,5,0.8,1024
58,0.25,eta_0p25,5,0.9,1024
59,0.25,eta_0p25,5,1.0,1024
60,0.25,eta_0p25,6,0.1,1024
61,0.25,eta_0p25,6,0.2,1024
62,0.25,eta_0p25,6,0.3,1024
63,0.25,eta_0p25,6,0.4,1024
64,0.25,eta_0p25,6,0.5,1024
65,0.25,eta_0p25,6,0.6,1024
66,0.25,eta_0p25,6,0.7,1024
67,0.25,eta_0p25,6,0.8,1024
68,0.25,eta_0p25,6,0.9,1024
69,0.25,eta_0p25,6,1.0,1024
70,0.25,eta_0p25,7,0.1,1024
71,0.25,eta_0p25,7,0.2,1024
72,0.25,eta_0p25,7,0.3,1024
73,0.25,eta_0p25,7,0.4,1024
74,0.25,eta_0p25,7,0.5,1024
75,0.25,eta_0p25,7,0.6,1024
76,0.25,eta_0p25,7,0.7,1024
77,0.25,eta_0p25,7,0.8,1024
78,0.25,eta_0p25,7,0.9,1024
79,0.25,eta_0p25,7,1.0,1024
80,0.25,eta_0p25,8,0.1,1024
81,0.25,eta_0p25,8,0.2,1024
82,0.25,eta_0p25,8,0.3,1024
83,0.25,eta_0p25,8,0.4,1024
84,0.25,eta_0p25,8,0.5,1024
85,0.25,eta_0p25,8,0.6,1024
86,0.25,eta_0p25,8,0.7,1024
87,0.25,eta_0p25,8,0.8,1024
88,0.25,eta_0p25,8,0.9,1024
89,0.25,eta_0p25,8,1.0,1024
90,0.25,eta_0p25,9,0.1,1024
91,0.25,eta_0p25,9,0.2,1024
92,0.25,eta_0p25,9,0.3,1024
93,0.25,eta_0p25,9,0.4,1024
94,0.25,eta_0p25,9,0.5,1024
95,0.25,eta_0p25,9,0.6,1024
96,0.25,eta_0p25,9,0.7,1024
97,0.25,eta_0p25,9,0.8,1024
98,0.25,eta_0p25,9,0.9,1024
99,0.25,eta_0p25,9,1.0,1024
100,0.3,eta_0p30,0,0.1,1024
101,0.3,eta_0p30,0,0.2,1024
102,0.3,eta_0p30,0,0.3,1024
103,0.3,eta_0p30,0,0.4,1024
104,0.3,eta_0p30,0,0.5,1024
105,0.3,eta_0p30,0,0.6,1024
106,0.3,eta_0p30,0,0.7,1024
107,0.3,eta_0p30,0,0.8,1024
108,0.3,eta_0p30,0,0.9,1024
109,0.3,eta_0p30,0,1.0,1024
110,0.3,eta_0p30,1,0.1,1024
111,0.3,eta_0p30,1,0.2,1024
112,0.3,eta_0p30,1,0.3,1024
113,0.3,eta_0p30,1,0.4,1024
114,0.3,eta_0p30,1,0.5,1024
115,0.3,eta_0p30,1,0.6,1024
116,0.3,eta_0p30,1,0.7,1024
117,0.3,eta_0p30,1,0.8,1024
118,0.3,eta_0p30,1,0.9,1024
119,0.3,eta_0p30,1,1.0,1024
120,0.3,eta_0p30,2,0.1,1024
121,0.3,eta_0p30,2,0.2,1024
122,0.3,eta_0p30,2,0.3,1024
123,0.3,eta_0p30,2,0.4,1024
124,0.3,eta_0p30,2,0.5,1024
125,0.3,eta_0p30,2,0.6,1024
126,0.3,eta_0p30,2,0.7,1024
127,0.3,eta_0p30,2,0.8,1024
128,0.3,eta_0p30,2,0.9,1024
129,0.3,eta_0p30,2,1.0,1024
130,0.3,eta_0p30,3,0.1,1024
131,0.3,eta_0p30,3,0.2,1024
132,0.3,eta_0p30,3,0.3,1024
133,0.3,eta_0p30,3,0.4,1024
134,0.3,eta_0p30,3,0.5,1024
135,0.3,eta_0p30,3,0.6,1024
136,0.3,eta_0p30,3,0.7,1024
137,0.3,eta_0p30,3,0.8,1024
138,0.3,eta_0p30,3,0.9,1024
139,0.3,eta_0p30,3,1.0,1024
140,0.3,eta_0p30,4,0.1,1024
141,0.3,eta_0p30,4,0.2,1024
142,0.3,eta_0p30,4,0.3,1024
143,0.3,eta_0p30,4,0.4,1024
