k,edge_count,p_pos,random_cut_fraction,cut_fraction,knn_nmstv,signed_alignment,eta,replicate
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,0
3,1193,0.50390625,0.499969482421875,0.18357082984073764,0.36716406959783254,0.6328583403185247,0.02,0
3,1193,0.490234375,0.49980926513671875,0.21207041072925398,0.42430268008586003,0.575859178541492,0.04,0
3,1193,0.4921875,0.4998779296875,0.22464375523889354,0.44939722659756187,0.5507124895222129,0.06,0
3,1193,0.5078125,0.4998779296875,0.27242246437552387,0.5449779800157,0.4551550712489522,0.08,0
3,1193,0.509765625,0.49980926513671875,0.28918692372170995,0.5785945637534455,0.42162615255658004,0.1,0
3,1193,0.5078125,0.4998779296875,0.3134953897736798,0.6271438908488364,0.3730092204526404,0.12,0
3,1193,0.51171875,0.499725341796875,0.3528918692372171,0.7061716501474888,0.2942162615255658,0.15,0
3,1193,0.52734375,0.498504638671875,0.38809723386420786,0.7785228135452931,0.22380553227158423,0.18,0
3,1193,0.53515625,0.497528076171875,0.3931265716680637,0.7901595718836478,0.21374685666387258,0.2,0
3,1193,0.529296875,0.49828338623046875,0.4392288348700754,0.8814840049010201,0.12154233025984912,0.25,0
3,1193,0.53125,0.498046875,0.4652137468566639,0.9340762289827919,0.06957250628667226,0.3,0
3,1193,0.53125,0.498046875,0.4744341994970662,0.9525894515392075,0.05113160100586756,0.35,0
3,1193,0.521484375,0.49907684326171875,0.48030176026823135,0.9623803763949801,0.039396479463537304,0.4,0
3,1193,0.521484375,0.49907684326171875,0.48281642917015927,0.9674190171090898,0.03436714165968147,0.45,0
3,1193,0.49609375,0.499969482421875,0.47694886839899414,0.9539559616491632,0.04610226320201174,0.5,0
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,1
3,1193,0.5,0.5,0.18608549874266556,0.3721709974853311,0.6278290025146689,0.02,1
3,1193,0.484375,0.49951171875,0.21877619446772842,0.4379801038806528,0.5624476110645432,0.04,1
3,1193,0.501953125,0.49999237060546875,0.2606873428331936,0.5213826413341321,0.4786253143336127,0.06,1
3,1193,0.51171875,0.499725341796875,0.28248113998323554,0.5652727935859947,0.4350377200335289,0.08,1
3,1193,0.5078125,0.4998779296875,0.3034367141659681,0.6070216269713335,0.3931265716680637,0.1,1
3,1193,0.50390625,0.499969482421875,0.32523051131601005,0.650500726045475,0.3495389773679799,0.12,1
3,1193,0.51171875,0.499725341796875,0.3369656328583403,0.6743016706871509,0.32606873428331934,0.15,1
3,1193,0.5078125,0.4998779296875,0.3704945515507125,0.7411700528213521,0.25901089689857504,0.18,1
3,1193,0.51953125,0.499237060546875,0.3797150041911148,0.7605905775007304,0.24056999161777032,0.2,1
3,1193,0.521484375,0.49907684326171875,0.42162615255658004,0.8448120930657503,0.1567476948868399,0.25,1
3,1193,0.54296875,0.496307373046875,0.46353730092204526,0.9339722238586717,0.07292539815590947,0.3,1
3,1193,0.53515625,0.497528076171875,0.46689019279128247,0.9384197900622427,0.06621961441743504,0.35,1
3,1193,0.53515625,0.497528076171875,0.47694886839899414,0.9586370925411422,0.04610226320201174,0.4,1
3,1193,0.525390625,0.49871063232421875,0.47946353730092206,0.9614062869812973,0.04107292539815591,0.45,1
3,1193,0.51953125,0.499237060546875,0.48365465213746855,0.9687875567724537,0.03269069572506287,0.5,1
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,2
3,1193,0.4921875,0.4998779296875,0.17183570829840739,0.34375534124067236,0.6563285834031852,0.02,2
3,1193,0.482421875,0.49938201904296875,0.1961441743503772,0.392773802161067,0.6077116512992456,0.04,2
3,1193,0.478515625,0.49907684326171875,0.22212908633696563,0.44507992974636945,0.5557418273260687,0.06,2
3,1193,0.48828125,0.499725341796875,0.24559932942162616,0.49146863062521196,0.5088013411567477,0.08,2
3,1193,0.490234375,0.49980926513671875,0.2808046940486169,0.5618237068330557,0.4383906119027661,0.1,2
3,1193,0.484375,0.49951171875,0.3000838222967309,0.6007543187328493,0.39983235540653816,0.12,2
3,1193,0.486328125,0.49962615966796875,0.3369656328583403,0.6744355281202129,0.32606873428331934,0.15,2
3,1193,0.478515625,0.49907684326171875,0.3595976529756915,0.7205256221177075,0.2808046940486169,0.18,2
3,1193,0.48828125,0.499725341796875,0.37720033528918695,0.7548153030080048,0.24559932942162616,0.2,2
3,1193,0.48828125,0.499725341796875,0.39983235540653816,0.800104221188485,0.20033528918692373,0.25,2
3,1193,0.490234375,0.49980926513671875,0.44006705783738476,0.8804699883204606,0.11986588432523052,0.3,2
3,1193,0.49609375,0.499969482421875,0.47359597652975693,0.9472497685971479,0.05280804694048617,0.35,2
3,1193,0.509765625,0.49980926513671875,0.4878457669740151,0.976063872766682,0.024308466051969825,0.4,2
3,1193,0.5078125,0.4998779296875,0.512154233025985,1.0245586024295161,-0.024308466051969825,0.45,2
3,1193,0.49609375,0.499969482421875,0.5088013411567477,1.0176647956433076,-0.01760268231349539,0.5,2
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,3
3,1193,0.501953125,0.49999237060546875,0.173512154233026,0.3470296037175735,0.6529756915339481,0.02,3
3,1193,0.51171875,0.499725341796875,0.18860016764459347,0.3774076515040024,0.622799664710813,0.04,3
3,1193,0.513671875,0.49962615966796875,0.20536462699077954,0.4110365780832143,0.5892707460184409,0.06,3
3,1193,0.515625,0.49951171875,0.23973176865046103,0.47993222111060035,0.5205364626990779,0.08,3
3,1193,0.525390625,0.49871063232421875,0.27829002514668905,0.5580190337024313,0.44341994970662196,0.1,3
3,1193,0.517578125,0.49938201904296875,0.2875104777870914,0.5757325390651538,0.42497904442581724,0.12,3
3,1193,0.513671875,0.49962615966796875,0.32774518021793797,0.655980824614436,0.34450963956412406,0.15,3
3,1193,0.51171875,0.499725341796875,0.34450963956412406,0.689397976747311,0.3109807208717519,0.18,3
3,1193,0.5234375,0.4989013671875,0.3595976529756915,0.7207790489789246,0.2808046940486169,0.2,3
3,1193,0.521484375,0.49907684326171875,0.3788767812238055,0.7591552009258831,0.24224643755238895,0.25,3
3,1193,0.5234375,0.4989013671875,0.42078792958927075,0.8434290969403734,0.1584241408214585,0.3,3
3,1193,0.521484375,0.49907684326171875,0.43755238893545684,0.8767234842551127,0.12489522212908634,0.35,3
3,1193,0.5078125,0.4998779296875,0.46269907795473597,0.9256241383651275,0.07460184409052809,0.4,3
3,1193,0.517578125,0.49938201904296875,0.4928751047778709,0.9869700669688349,0.014249790444258172,0.45,3
3,1193,0.509765625,0.49980926513671875,0.5146689019279128,1.0297306149119292,-0.02933780385582565,0.5,3
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,4
3,1193,0.490234375,0.49980926513671875,0.18189438390611903,0.36392759517245704,0.636211232187762,0.02,4
3,1193,0.49609375,0.499969482421875,0.20452640402347025,0.4090777761729276,0.5909471919530596,0.04,4
3,1193,0.494140625,0.49993133544921875,0.21877619446772842,0.4376124858649732,0.5624476110645432,0.06,4
3,1193,0.50390625,0.499969482421875,0.22715842414082146,0.45434457927403027,0.5456831517183571,0.08,4
3,1193,0.498046875,0.49999237060546875,0.2606873428331936,0.5213826413341321,0.4786253143336127,0.1,4
3,1193,0.5,0.5,0.3193629505448449,0.6387259010896899,0.36127409891031015,0.12,4
3,1193,0.4921875,0.4998779296875,0.3562447611064543,0.7126635123282231,0.2875104777870914,0.15,4
3,1193,0.48828125,0.499725341796875,0.3721709974853311,0.744751098967898,0.25565800502933783,0.18,4
3,1193,0.478515625,0.49907684326171875,0.3889354568315172,0.7793097637823224,0.22212908633696563,0.2,4
3,1193,0.46875,0.498046875,0.413243922883487,0.8297289745739033,0.173512154233026,0.25,4
3,1193,0.474609375,0.49871063232421875,0.45934618608549876,0.9210675616534106,0.08130762782900251,0.3,4
3,1193,0.486328125,0.49962615966796875,0.48197820620285,0.9646776832565235,0.03604358759430008,0.35,4
3,1193,0.513671875,0.49962615966796875,0.501257334450964,1.0032647905867844,-0.002514668901927913,0.4,4
3,1193,0.525390625,0.49871063232421875,0.512154233025985,1.026956715639113,-0.024308466051969825,0.45,4
3,1193,0.5234375,0.4989013671875,0.5129924559932942,1.0282442377042003,-0.025984911986588432,0.5,4
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,5
3,1193,0.498046875,0.49999237060546875,0.17937971500419111,0.35876490432638036,0.6412405699916177,0.02,5
3,1193,0.505859375,0.49993133544921875,0.20787929589270746,0.4158156953812772,0.584241408214585,0.04,5
3,1193,0.5078125,0.4998779296875,0.22632020117351215,0.4527509372438123,0.5473595976529757,0.06,5
3,1193,0.51171875,0.499725341796875,0.24476110645431684,0.4897912632851942,0.5104777870913663,0.08,5
3,1193,0.509765625,0.49980926513671875,0.26152556580050296,0.5232507359161594,0.47694886839899414,0.1,5
3,1193,0.515625,0.49951171875,0.28248113998323554,0.5655145402596934,0.4350377200335289,0.12,5
3,1193,0.50390625,0.499969482421875,0.32774518021793797,0.6555303708344864,0.34450963956412406,0.15,5
3,1193,0.48828125,0.499725341796875,0.3495389773679799,0.6994621807874177,0.30092204526404026,0.18,5
3,1193,0.48828125,0.499725341796875,0.37133277451802177,0.7430737316278802,0.2573344509639564,0.2,5
3,1193,0.48828125,0.499725341796875,0.38390611902766136,0.768234241728147,0.23218776194467727,0.25,5
3,1193,0.478515625,0.49907684326171875,0.43671416596814755,0.8750439373504094,0.12657166806370496,0.3,5
3,1193,0.46875,0.498046875,0.45683151718357085,0.9172460266587775,0.08633696563285834,0.35,5
3,1193,0.48828125,0.499725341796875,0.4677284157585918,0.9359709757299259,0.06454316848281642,0.4,5
3,1193,0.4921875,0.4998779296875,0.47611064543168485,0.9524538235351312,0.04777870913663034,0.45,5
3,1193,0.49609375,0.499969482421875,0.47611064543168485,0.9522794133861594,0.04777870913663034,0.5,5
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,6
3,1193,0.4921875,0.4998779296875,0.1994970662196144,0.39909156690380493,0.6010058675607711,0.02,6
3,1193,0.498046875,0.49999237060546875,0.2154233025984912,0.43085317949476526,0.5691533948030176,0.04,6
3,1193,0.498046875,0.49999237060546875,0.22548197820620286,0.45097083768129126,0.5490360435875943,0.06,6
3,1193,0.494140625,0.49993133544921875,0.250628667225482,0.5013261811250076,0.49874266554903607,0.08,6
3,1193,0.494140625,0.49993133544921875,0.26906957250628666,0.5382130573281854,0.46186085498742663,0.1,6
3,1193,0.498046875,0.49999237060546875,0.2875104777870914,0.5750297298315349,0.42497904442581724,0.12,6
3,1193,0.494140625,0.49993133544921875,0.31517183570829843,0.63043024783613,0.3696563285834032,0.15,6
3,1193,0.50390625,0.499969482421875,0.3495389773679799,0.6991206256725854,0.30092204526404026,0.18,6
3,1193,0.501953125,0.49999237060546875,0.37133277451802177,0.7426768813859183,0.2573344509639564,0.2,6
3,1193,0.501953125,0.49999237060546875,0.39815590947191953,0.7963239698833209,0.20368818105616093,0.25,6
3,1193,0.51171875,0.499725341796875,0.4283319362950545,0.8571347107490899,0.14333612740989102,0.3,6
3,1193,0.50390625,0.499969482421875,0.4492875104777871,0.8986298689700377,0.10142497904442582,0.35,6
3,1193,0.494140625,0.49993133544921875,0.4744341994970662,0.948998724136302,0.05113160100586756,0.4,6
3,1193,0.49609375,0.499969482421875,0.48197820620285,0.964015251227186,0.03604358759430008,0.45,6
3,1193,0.498046875,0.49999237060546875,0.48700754400670576,0.9740299505309672,0.025984911986588432,0.5,6
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,7
3,1193,0.498046875,0.49999237060546875,0.18692372170997484,0.37385314796627483,0.6261525565800503,0.02,7
3,1193,0.4921875,0.4998779296875,0.2129086336965633,0.42592125207380865,0.5741827326068735,0.04,7
3,1193,0.5,0.5,0.22883487007544007,0.45766974015088013,0.5423302598491199,0.06,7
3,1193,0.505859375,0.49993133544921875,0.24476110645431684,0.48958944778763286,0.5104777870913663,0.08,7
3,1193,0.509765625,0.49980926513671875,0.26655490360435874,0.5333132500683933,0.46689019279128247,0.1,7
3,1193,0.509765625,0.49980926513671875,0.29924559932942163,0.5987195920579133,0.40150880134115674,0.12,7
3,1193,0.517578125,0.49938201904296875,0.3403185247275775,0.6814793319546717,0.3193629505448449,0.15,7
3,1193,0.505859375,0.49993133544921875,0.3738474434199497,0.7477975812098775,0.25230511316010057,0.18,7
3,1193,0.505859375,0.49993133544921875,0.38809723386420786,0.7763010764577877,0.22380553227158423,0.2,7
3,1193,0.494140625,0.49993133544921875,0.4115674769488684,0.8232480098072867,0.1768650461022632,0.25,7
3,1193,0.486328125,0.49962615966796875,0.43419949706621963,0.8690487650902247,0.13160100586756077,0.3,7
3,1193,0.494140625,0.49993133544921875,0.4911986588432523,0.9825322479573728,0.01760268231349539,0.35,7
3,1193,0.498046875,0.49999237060546875,0.5029337803855826,1.0058829093263002,-0.00586756077116513,0.4,7
3,1193,0.494140625,0.49993133544921875,0.5071248952221291,1.01438909558739,-0.014249790444258172,0.45,7
3,1193,0.49609375,0.499969482421875,0.5272422464375524,1.054548857429391,-0.054484492875104776,0.5,7
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,8
3,1193,0.49609375,0.499969482421875,0.17099748533109807,0.34201584565277554,0.6580050293378038,0.02,8
3,1193,0.4921875,0.4998779296875,0.1961441743503772,0.392384145611304,0.6077116512992456,0.04,8
3,1193,0.498046875,0.49999237060546875,0.22883487007544007,0.4576767237434666,0.5423302598491199,0.06,8
3,1193,0.509765625,0.49980926513671875,0.25230511316010057,0.5048027933037307,0.4953897736797988,0.08,8
3,1193,0.513671875,0.49962615966796875,0.2774518021793797,0.5553188054920161,0.4450963956412406,0.1,8
3,1193,0.517578125,0.49938201904296875,0.2875104777870914,0.5757325390651538,0.42497904442581724,0.12,8
3,1193,0.5234375,0.4989013671875,0.30259849119865884,0.6065296892340135,0.3948030176026823,0.15,8
3,1193,0.513671875,0.49962615966796875,0.32774518021793797,0.655980824614436,0.34450963956412406,0.18,8
3,1193,0.517578125,0.49938201904296875,0.347024308466052,0.6949074961311186,0.30595138306789604,0.2,8
3,1193,0.515625,0.49951171875,0.393964794635373,0.7886998039230145,0.21207041072925398,0.25,8
3,1193,0.509765625,0.49980926513671875,0.4258172673931266,0.8519595315557981,0.14836546521374686,0.3,8
3,1193,0.517578125,0.49938201904296875,0.45683151718357085,0.9147936845204339,0.08633696563285834,0.35,8
3,1193,0.51953125,0.499237060546875,0.4920368818105616,0.9855776357459798,0.01592623637887678,0.4,8
3,1193,0.525390625,0.49871063232421875,0.49371332774518023,0.9899795507552169,0.012573344509639563,0.45,8
3,1193,0.5390625,0.4969482421875,0.501257334450964,1.0086711087748212,-0.002514668901927913,0.5,8
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,9
3,1193,0.4921875,0.4998779296875,0.17099748533109807,0.3420784859175471,0.6580050293378038,0.02,9
3,1193,0.486328125,0.49962615966796875,0.19195305951383068,0.3841933729839024,0.6160938809723386,0.04,9
3,1193,0.4921875,0.4998779296875,0.22380553227158423,0.44772037127443665,0.5523889354568315,0.06,9
3,1193,0.490234375,0.49980926513671875,0.23973176865046103,0.47964650792314617,0.5205364626990779,0.08,9
3,1193,0.482421875,0.49938201904296875,0.2640402347024308,0.5287339644475901,0.4719195305951383,0.1,9
3,1193,0.4765625,0.4989013671875,0.28499580888516346,0.5712467987245556,0.4300083822296731,0.12,9
3,1193,0.478515625,0.49907684326171875,0.31517183570829843,0.6315096361684337,0.3696563285834032,0.15,9
3,1193,0.48046875,0.499237060546875,0.3520536462699078,0.7051833168880945,0.2958927074601844,0.18,9
3,1193,0.474609375,0.49871063232421875,0.36127409891031015,0.7244162756799635,0.2774518021793797,0.2,9
3,1193,0.486328125,0.49962615966796875,0.40737636211232187,0.8153623548916007,0.18524727577535624,0.25,9
