rank_complexity_desc,pair_id,digit_a,digit_b,label,dataset_path,n_train,n_test,dataset_count,complexity_mean,complexity_sd,complexity_se
1,pair_7_9,7,9,7/9,digit_pairwise_complexity/01_dataset/raw_outputs/pair_7_9/dataset.npz,512,2048,1,0.10546875,0.0,0.0
2,pair_5_8,5,8,5/8,digit_pairwise_complexity/01_dataset/raw_outputs/pair_5_8/dataset.npz,512,2048,1,0.10026041666666667,0.0,0.0
3,pair_4_9,4,9,4/9,digit_pairwise_complexity/01_dataset/raw_outputs/pair_4_9/dataset.npz,512,2048,1,0.099609375,0.0,0.0
4,pair_3_5,3,5,3/5,digit_pairwise_complexity/01_dataset/raw_outputs/pair_3_5/dataset.npz,512,2048,1,0.08984375,0.0,0.0
5,pair_3_8,3,8,3/8,digit_pairwise_complexity/01_dataset/raw_outputs/pair_3_8/dataset.npz,512,2048,1,0.08984375,0.0,0.0
6,pair_2_3,2,3,2/3,digit_pairwise_complexity/01_dataset/raw_outputs/pair_2_3/dataset.npz,512,2048,1,0.055989583333333336,0.0,0.0
7,pair_2_8,2,8,2/8,digit_pairwise_complexity/01_dataset/raw_outputs/pair_2_8/dataset.npz,512,2048,1,0.048177083333333336,0.0,0.0
8,pair_5_6,5,6,5/6,digit_pairwise_complexity/01_dataset/raw_outputs/pair_5_6/dataset.npz,512,2048,1,0.044270833333333336,0.0,0.0
9,pair_8_9,8,9,8/9,digit_pairwise_complexity/01_dataset/raw_outputs/pair_8_9/dataset.npz,512,2048,1,0.042317708333333336,0.0,0.0
10,pair_1_8,1,8,1/8,digit_pairwise_complexity/01_dataset/raw_outputs/pair_1_8/dataset.npz,512,2048,1,0.040364583333333336,0.0,0.0
11,pair_5_9,5,9,5/9,digit_pairwise_complexity/01_dataset/raw_outputs/pair_5_9/dataset.npz,512,2048,1,0.039713541666666664,0.0,0.0
12,pair_4_8,4,8,4/8,digit_pairwise_complexity/01_dataset/raw_outputs/pair_4_8/dataset.npz,512,2048,1,0.0390625,0.0,0.0
13,pair_4_5,4,5,4/5,digit_pairwise_complexity/01_dataset/raw_outputs/pair_4_5/dataset.npz,512,2048,1,0.033854166666666664,0.0,0.0
14,pair_0_5,0,5,0/5,digit_pairwise_complexity/01_dataset/raw_outputs/pair_0_5/dataset.npz,512,2048,1,0.032552083333333336,0.0,0.0
15,pair_2_7,2,7,2/7,digit_pairwise_complexity/01_dataset/raw_outputs/pair_2_7/dataset.npz,512,2048,1,0.03125,0.0,0.0
16,pair_4_7,4,7,4/7,digit_pairwise_complexity/01_dataset/raw_outputs/pair_4_7/dataset.npz,512,2048,1,0.029947916666666668,0.0,0.0
17,pair_3_9,3,9,3/9,digit_pairwise_complexity/01_dataset/raw_outputs/pair_3_9/dataset.npz,512,2048,1,0.029296875,0.0,0.0
18,pair_0_8,0,8,0/8,digit_pairwise_complexity/01_dataset/raw_outputs/pair_0_8/dataset.npz,512,2048,1,0.028645833333333332,0.0,0.0
19,pair_2_6,2,6,2/6,digit_pairwise_complexity/01_dataset/raw_outputs/pair_2_6/dataset.npz,512,2048,1,0.028645833333333332,0.0,0.0
20,pair_6_8,6,8,6/8,digit_pairwise_complexity/01_dataset/raw_outputs/pair_6_8/dataset.npz,512,2048,1,0.028645833333333332,0.0,0.0
21,pair_0_2,0,2,0/2,digit_pairwise_complexity/01_dataset/raw_outputs/pair_0_2/dataset.npz,512,2048,1,0.024739583333333332,0.0,0.0
22,pair_0_6,0,6,0/6,digit_pairwise_complexity/01_dataset/raw_outputs/pair_0_6/dataset.npz,512,2048,1,0.024739583333333332,0.0,0.0
23,pair_2_4,2,4,2/4,digit_pairwise_complexity/01_dataset/raw_outputs/pair_2_4/dataset.npz,512,2048,1,0.024739583333333332,0.0,0.0
24,pair_0_3,0,3,0/3,digit_pairwise_complexity/01_dataset/raw_outputs/pair_0_3/dataset.npz,512,2048,1,0.022786458333333332,0.0,0.0
25,pair_1_4,1,4,1/4,digit_pairwise_complexity/01_dataset/raw_outputs/pair_1_4/dataset.npz,512,2048,1,0.022135416666666668,0.0,0.0
26,pair_3_7,3,7,3/7,digit_pairwise_complexity/01_dataset/raw_outputs/pair_3_7/dataset.npz,512,2048,1,0.022135416666666668,0.0,0.0
27,pair_1_2,1,2,1/2,digit_pairwise_complexity/01_dataset/raw_outputs/pair_1_2/dataset.npz,512,2048,1,0.020833333333333332,0.0,0.0
28,pair_2_5,2,5,2/5,digit_pairwise_complexity/01_dataset/raw_outputs/pair_2_5/dataset.npz,512,2048,1,0.01953125,0.0,0.0
29,pair_5_7,5,7,5/7,digit_pairwise_complexity/01_dataset/raw_outputs/pair_5_7/dataset.npz,512,2048,1,0.018880208333333332,0.0,0.0
30,pair_1_3,1,3,1/3,digit_pairwise_complexity/01_dataset/raw_outputs/pair_1_3/dataset.npz,512,2048,1,0.018229166666666668,0.0,0.0
