pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_7_9,7/9,2461,0.05,2.110275385242133e-05,2.11028e-05
pair_7_9,7/9,2461,0.05,1.6994949595787647e-06,1.69949e-06
pair_7_9,7/9,2461,0.05,1.6670738500934516e-05,-1.66707e-05
pair_7_9,7/9,2461,0.05,6.63473008845918e-06,-6.63473e-06
pair_7_9,7/9,2461,0.05,5.48675228107495e-06,5.48675e-06
pair_7_9,7/9,2461,0.05,1.7300781449760553e-05,-1.73008e-05
pair_7_9,7/9,2461,0.05,1.1134995729075682e-06,1.1135e-06
pair_7_9,7/9,2461,0.05,4.526763328817782e-06,-4.52676e-06
pair_7_9,7/9,2461,0.05,2.892012930367308e-05,-2.89201e-05
pair_7_9,7/9,2461,0.05,4.623134022391587e-06,-4.62313e-06
pair_7_9,7/9,2461,0.05,2.0085826251780047e-05,-2.00858e-05
pair_7_9,7/9,2461,0.05,6.529902506471566e-06,-6.5299e-06
pair_7_9,7/9,2461,0.05,1.8870759462411024e-05,-1.88708e-05
pair_7_9,7/9,2461,0.05,4.579936769431423e-06,-4.57994e-06
pair_7_9,7/9,2461,0.05,1.1459531974892077e-05,1.14595e-05
pair_7_9,7/9,2461,0.05,1.0809885304935002e-06,-1.08099e-06
pair_7_9,7/9,2461,0.05,3.383625433861404e-06,3.38363e-06
pair_7_9,7/9,2461,0.05,6.432149663309156e-06,6.43215e-06
pair_7_9,7/9,2461,0.05,1.6514401524691732e-05,1.65144e-05
pair_7_9,7/9,2461,0.05,3.6039912958926766e-06,-3.60399e-06
pair_7_9,7/9,2461,0.05,1.9346681180618548e-05,-1.93467e-05
pair_7_9,7/9,2461,0.05,1.1215984832595371e-06,1.1216e-06
pair_7_9,7/9,2461,0.05,1.1032313194425435e-05,1.10323e-05
pair_7_9,7/9,2461,0.05,1.077861422207337e-05,1.07786e-05
pair_7_9,7/9,2461,0.05,2.681777276156327e-05,2.68178e-05
pair_7_9,7/9,2461,0.05,4.364389372309901e-06,4.36439e-06
pair_7_9,7/9,2461,0.05,2.666048857181776e-05,2.66605e-05
pair_7_9,7/9,2461,0.05,8.096749674224511e-07,-8.09675e-07
pair_7_9,7/9,2461,0.05,9.462199397718972e-06,-9.4622e-06
pair_7_9,7/9,2461,0.05,1.534050039357588e-05,1.53405e-05
pair_7_9,7/9,2461,0.1,0.0001022952984845,-0.000102295
pair_7_9,7/9,2461,0.1,0.0001721157448567,-0.000172116
pair_7_9,7/9,2461,0.1,3.864946368655249e-05,-3.86495e-05
pair_7_9,7/9,2461,0.1,7.749658103896173e-05,-7.74966e-05
pair_7_9,7/9,2461,0.1,0.0001374716708727,0.000137472
pair_7_9,7/9,2461,0.1,0.0001434168803344,-0.000143417
pair_7_9,7/9,2461,0.1,6.639519091175262e-06,6.63952e-06
pair_7_9,7/9,2461,0.1,5.695458203255832e-05,-5.69546e-05
pair_7_9,7/9,2461,0.1,0.0003002755544561,0.000300276
pair_7_9,7/9,2461,0.1,3.856204410598602e-06,3.8562e-06
pair_7_9,7/9,2461,0.1,5.81631894083521e-05,-5.81632e-05
pair_7_9,7/9,2461,0.1,2.122747998924784e-05,2.12275e-05
pair_7_9,7/9,2461,0.1,4.2257870314892655e-05,4.22579e-05
pair_7_9,7/9,2461,0.1,6.731804475725403e-06,-6.7318e-06
pair_7_9,7/9,2461,0.1,2.4623682616864626e-05,2.46237e-05
pair_7_9,7/9,2461,0.1,3.926507365105384e-05,3.92651e-05
pair_7_9,7/9,2461,0.1,0.0001762115025564,-0.000176212
pair_7_9,7/9,2461,0.1,3.524850468789043e-05,-3.52485e-05
pair_7_9,7/9,2461,0.1,0.0001167363488621,0.000116736
pair_7_9,7/9,2461,0.1,8.559273826912448e-05,8.55927e-05
pair_7_9,7/9,2461,0.1,4.087899914846964e-05,-4.0879e-05
pair_7_9,7/9,2461,0.1,3.204198648556328e-05,-3.2042e-05
pair_7_9,7/9,2461,0.1,0.0001000621834049,-0.000100062
pair_7_9,7/9,2461,0.1,1.9740496297539656e-05,-1.97405e-05
pair_7_9,7/9,2461,0.1,8.099536774264817e-05,8.09954e-05
pair_7_9,7/9,2461,0.1,6.799219732029581e-05,-6.79922e-05
pair_7_9,7/9,2461,0.1,1.7786254250713303e-05,-1.77863e-05
pair_7_9,7/9,2461,0.1,5.3360178052932814e-05,5.33602e-05
pair_7_9,7/9,2461,0.1,1.6652744032628567e-05,1.66527e-05
pair_7_9,7/9,2461,0.1,3.7443744807783465e-06,-3.74437e-06
pair_7_9,7/9,2461,0.15,0.0009532593302612,-0.000953259
pair_7_9,7/9,2461,0.15,8.233344145992616e-05,8.23334e-05
pair_7_9,7/9,2461,0.15,0.0005556821647645,-0.000555682
pair_7_9,7/9,2461,0.15,0.0005220275230289,-0.000522028
pair_7_9,7/9,2461,0.15,0.000404334923441,-0.000404335
pair_7_9,7/9,2461,0.15,0.000217202526022,-0.000217203
pair_7_9,7/9,2461,0.15,0.0003355060684881,0.000335506
pair_7_9,7/9,2461,0.15,0.0004575211835502,-0.000457521
pair_7_9,7/9,2461,0.15,6.797389280953809e-05,-6.79739e-05
pair_7_9,7/9,2461,0.15,0.0001626137217674,-0.000162614
pair_7_9,7/9,2461,0.15,0.0006254631892473,0.000625463
pair_7_9,7/9,2461,0.15,0.0001136786187824,0.000113679
pair_7_9,7/9,2461,0.15,2.278920479039586e-05,-2.27892e-05
pair_7_9,7/9,2461,0.15,0.0004627749253196,-0.000462775
pair_7_9,7/9,2461,0.15,0.0003203310283315,-0.000320331
pair_7_9,7/9,2461,0.15,0.000207464447556,0.000207464
pair_7_9,7/9,2461,0.15,6.668750075075235e-05,6.66875e-05
pair_7_9,7/9,2461,0.15,0.0001608982860318,0.000160898
pair_7_9,7/9,2461,0.15,0.0006852376046916,0.000685238
pair_7_9,7/9,2461,0.15,3.5544009039036233e-05,3.5544e-05
pair_7_9,7/9,2461,0.15,6.208943690891166e-05,-6.20894e-05
pair_7_9,7/9,2461,0.15,0.0004017607493303,0.000401761
pair_7_9,7/9,2461,0.15,0.00111691240566,0.00111691
pair_7_9,7/9,2461,0.15,0.0001066200593921,-0.00010662
pair_7_9,7/9,2461,0.15,0.0001217364406984,0.000121736
pair_7_9,7/9,2461,0.15,0.0001863478411126,0.000186348
pair_7_9,7/9,2461,0.15,0.0001272618269209,0.000127262
pair_7_9,7/9,2461,0.15,0.0001217129222901,-0.000121713
pair_7_9,7/9,2461,0.15,0.0001792698017411,-0.00017927
pair_7_9,7/9,2461,0.15,7.230079109158968e-06,-7.23008e-06
pair_7_9,7/9,2461,0.2,0.0001180710761042,0.000118071
pair_7_9,7/9,2461,0.2,0.0007107215741834,-0.000710722
pair_7_9,7/9,2461,0.2,0.0003239746148632,0.000323975
pair_7_9,7/9,2461,0.2,0.0010612058798224,-0.00106121
pair_7_9,7/9,2461,0.2,0.0002978350450601,0.000297835
pair_7_9,7/9,2461,0.2,0.0009811673373091,-0.000981167
pair_7_9,7/9,2461,0.2,0.0002429217375219,-0.000242922
pair_7_9,7/9,2461,0.2,0.0012370763512655,-0.00123708
pair_7_9,7/9,2461,0.2,0.0007284880914598,0.000728488
pair_7_9,7/9,2461,0.2,0.0007778389959794,0.000777839
pair_7_9,7/9,2461,0.2,0.0006921154917547,-0.000692115
pair_7_9,7/9,2461,0.2,1.6995876936736723e-05,1.69959e-05
pair_7_9,7/9,2461,0.2,0.0002643677876492,0.000264368
pair_7_9,7/9,2461,0.2,0.0015653057487267,-0.00156531
pair_7_9,7/9,2461,0.2,0.0013438911900017,-0.00134389
pair_7_9,7/9,2461,0.2,0.0004680956581483,-0.000468096
pair_7_9,7/9,2461,0.2,0.0008681711175849,0.000868171
pair_7_9,7/9,2461,0.2,0.0009073826371668,-0.000907383
pair_7_9,7/9,2461,0.2,0.0001156100196006,0.00011561
pair_7_9,7/9,2461,0.2,0.0017655333746398,-0.00176553
pair_7_9,7/9,2461,0.2,2.2597127045162077e-05,2.25971e-05
pair_7_9,7/9,2461,0.2,0.0005170036409453,-0.000517004
pair_7_9,7/9,2461,0.2,0.0005771775703075,-0.000577178
pair_7_9,7/9,2461,0.2,0.0010926723424579,0.00109267
pair_7_9,7/9,2461,0.2,0.0002000999728025,-0.0002001
pair_7_9,7/9,2461,0.2,0.0023435951191972,0.0023436
pair_7_9,7/9,2461,0.2,0.0017462308267392,-0.00174623
pair_7_9,7/9,2461,0.2,0.0009376190058806,0.000937619
pair_7_9,7/9,2461,0.2,0.0004936103461729,0.00049361
pair_7_9,7/9,2461,0.2,7.970708386741441e-05,-7.97071e-05
pair_7_9,7/9,2461,0.25,0.0015849885071337,-0.00158499
pair_7_9,7/9,2461,0.25,0.0005914556091417,-0.000591456
pair_7_9,7/9,2461,0.25,0.0002893247775068,0.000289325
pair_7_9,7/9,2461,0.25,0.0002304809451429,0.000230481
pair_7_9,7/9,2461,0.25,0.0013619533732211,0.00136195
pair_7_9,7/9,2461,0.25,0.001089688244297,-0.00108969
pair_7_9,7/9,2461,0.25,0.0004903629799534,0.000490363
pair_7_9,7/9,2461,0.25,0.000225268907447,-0.000225269
pair_7_9,7/9,2461,0.25,0.0005021014343856,-0.000502101
pair_7_9,7/9,2461,0.25,3.139417264540384e-05,-3.13942e-05
pair_7_9,7/9,2461,0.25,0.000228329182515,0.000228329
pair_7_9,7/9,2461,0.25,0.0010678911943505,0.00106789
pair_7_9,7/9,2461,0.25,0.0003826913960236,-0.000382691
pair_7_9,7/9,2461,0.25,0.0001683129177541,0.000168313
pair_7_9,7/9,2461,0.25,0.0021286147921625,0.00212861
pair_7_9,7/9,2461,0.25,0.0011372318742949,0.00113723
pair_7_9,7/9,2461,0.25,0.000520335883809,-0.000520336
