pair_id,digit_a,digit_b,label,sample_role,digit,local_train_index
pair_0_1,0,1,0/1,digit_a,0,2
pair_0_1,0,1,0/1,digit_b,1,0
pair_0_2,0,2,0/2,digit_a,0,2
pair_0_2,0,2,0/2,digit_b,2,0
pair_0_3,0,3,0/3,digit_a,0,0
pair_0_3,0,3,0/3,digit_b,3,1
pair_0_4,0,4,0/4,digit_a,0,1
pair_0_4,0,4,0/4,digit_b,4,0
pair_0_5,0,5,0/5,digit_a,0,1
pair_0_5,0,5,0/5,digit_b,5,0
pair_0_6,0,6,0/6,digit_a,0,0
pair_0_6,0,6,0/6,digit_b,6,6
pair_0_7,0,7,0/7,digit_a,0,3
pair_0_7,0,7,0/7,digit_b,7,0
pair_0_8,0,8,0/8,digit_a,0,0
pair_0_8,0,8,0/8,digit_b,8,2
pair_0_9,0,9,0/9,digit_a,0,1
pair_0_9,0,9,0/9,digit_b,9,0
pair_1_2,1,2,1/2,digit_a,1,1
pair_1_2,1,2,1/2,digit_b,2,0
pair_1_3,1,3,1/3,digit_a,1,0
pair_1_3,1,3,1/3,digit_b,3,8
pair_1_4,1,4,1/4,digit_a,1,0
pair_1_4,1,4,1/4,digit_b,4,3
pair_1_5,1,5,1/5,digit_a,1,0
pair_1_5,1,5,1/5,digit_b,5,2
pair_1_6,1,6,1/6,digit_a,1,0
pair_1_6,1,6,1/6,digit_b,6,4
pair_1_7,1,7,1/7,digit_a,1,0
pair_1_7,1,7,1/7,digit_b,7,1
pair_1_8,1,8,1/8,digit_a,1,0
pair_1_8,1,8,1/8,digit_b,8,1
pair_1_9,1,9,1/9,digit_a,1,0
pair_1_9,1,9,1/9,digit_b,9,3
pair_2_3,2,3,2/3,digit_a,2,0
pair_2_3,2,3,2/3,digit_b,3,1
pair_2_4,2,4,2/4,digit_a,2,0
pair_2_4,2,4,2/4,digit_b,4,2
pair_2_5,2,5,2/5,digit_a,2,0
pair_2_5,2,5,2/5,digit_b,5,2
pair_2_6,2,6,2/6,digit_a,2,0
pair_2_6,2,6,2/6,digit_b,6,1
pair_2_7,2,7,2/7,digit_a,2,2
pair_2_7,2,7,2/7,digit_b,7,0
pair_2_8,2,8,2/8,digit_a,2,1
pair_2_8,2,8,2/8,digit_b,8,0
pair_2_9,2,9,2/9,digit_a,2,3
pair_2_9,2,9,2/9,digit_b,9,0
pair_3_4,3,4,3/4,digit_a,3,0
pair_3_4,3,4,3/4,digit_b,4,4
pair_3_5,3,5,3/5,digit_a,3,1
pair_3_5,3,5,3/5,digit_b,5,0
pair_3_6,3,6,3/6,digit_a,3,0
pair_3_6,3,6,3/6,digit_b,6,3
pair_3_7,3,7,3/7,digit_a,3,0
pair_3_7,3,7,3/7,digit_b,7,2
pair_3_8,3,8,3/8,digit_a,3,0
pair_3_8,3,8,3/8,digit_b,8,1
pair_3_9,3,9,3/9,digit_a,3,1
pair_3_9,3,9,3/9,digit_b,9,0
pair_4_5,4,5,4/5,digit_a,4,2
pair_4_5,4,5,4/5,digit_b,5,0
pair_4_6,4,6,4/6,digit_a,4,0
pair_4_6,4,6,4/6,digit_b,6,2
pair_4_7,4,7,4/7,digit_a,4,0
pair_4_7,4,7,4/7,digit_b,7,3
pair_4_8,4,8,4/8,digit_a,4,0
pair_4_8,4,8,4/8,digit_b,8,1
pair_4_9,4,9,4/9,digit_a,4,2
pair_4_9,4,9,4/9,digit_b,9,0
pair_5_6,5,6,5/6,digit_a,5,1
pair_5_6,5,6,5/6,digit_b,6,0
pair_5_7,5,7,5/7,digit_a,5,1
pair_5_7,5,7,5/7,digit_b,7,0
pair_5_8,5,8,5/8,digit_a,5,0
pair_5_8,5,8,5/8,digit_b,8,4
pair_5_9,5,9,5/9,digit_a,5,3
pair_5_9,5,9,5/9,digit_b,9,0
pair_6_7,6,7,6/7,digit_a,6,3
pair_6_7,6,7,6/7,digit_b,7,0
pair_6_8,6,8,6/8,digit_a,6,1
pair_6_8,6,8,6/8,digit_b,8,0
pair_6_9,6,9,6/9,digit_a,6,0
pair_6_9,6,9,6/9,digit_b,9,1
pair_7_8,7,8,7/8,digit_a,7,0
pair_7_8,7,8,7/8,digit_b,8,1
pair_7_9,7,9,7/9,digit_a,7,1
pair_7_9,7,9,7/9,digit_b,9,0
pair_8_9,8,9,8/9,digit_a,8,2
pair_8_9,8,9,8/9,digit_b,9,0
