pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_0_2,0/2,2461,0.05,1.3003575483878969e-06,1.30036e-06
pair_0_2,0/2,2461,0.05,2.0753690548936937e-06,-2.07537e-06
pair_0_2,0/2,2461,0.05,3.5661324509123045e-08,3.56613e-08
pair_0_2,0/2,2461,0.05,4.663235127222506e-06,4.66324e-06
pair_0_2,0/2,2461,0.05,2.091564519521216e-06,2.09156e-06
pair_0_2,0/2,2461,0.05,3.5728894283674458e-06,-3.57289e-06
pair_0_2,0/2,2461,0.05,2.0212109145268285e-06,-2.02121e-06
pair_0_2,0/2,2461,0.05,5.3321374459540026e-06,-5.33214e-06
pair_0_2,0/2,2461,0.05,6.375987870846276e-06,-6.37599e-06
pair_0_2,0/2,2461,0.05,2.3429957163421483e-06,2.343e-06
pair_0_2,0/2,2461,0.05,3.203261115408224e-06,3.20326e-06
pair_0_2,0/2,2461,0.05,8.035978662249268e-06,-8.03598e-06
pair_0_2,0/2,2461,0.05,5.876466862815701e-06,-5.87647e-06
pair_0_2,0/2,2461,0.05,1.2040457053070378e-05,-1.20405e-05
pair_0_2,0/2,2461,0.05,1.2862058999518357e-06,1.28621e-06
pair_0_2,0/2,2461,0.05,5.507518276939172e-06,5.50752e-06
pair_0_2,0/2,2461,0.05,5.792576164693515e-06,5.79258e-06
pair_0_2,0/2,2461,0.05,1.4738002152147018e-05,1.4738e-05
pair_0_2,0/2,2461,0.05,9.817920614595396e-06,-9.81792e-06
pair_0_2,0/2,2461,0.05,1.1058650472569545e-06,1.10587e-06
pair_0_2,0/2,2461,0.05,9.129430304964192e-06,-9.12943e-06
pair_0_2,0/2,2461,0.05,6.852040057655361e-06,6.85204e-06
pair_0_2,0/2,2461,0.05,8.028877690969777e-06,8.02888e-06
pair_0_2,0/2,2461,0.05,1.103276550218046e-06,-1.10328e-06
pair_0_2,0/2,2461,0.05,7.637054038590724e-07,-7.63705e-07
pair_0_2,0/2,2461,0.05,2.7274152207596108e-06,2.72742e-06
pair_0_2,0/2,2461,0.05,1.844367544743477e-08,1.84437e-08
pair_0_2,0/2,2461,0.05,9.492618559925316e-06,9.49262e-06
pair_0_2,0/2,2461,0.05,5.101598349351033e-06,-5.1016e-06
pair_0_2,0/2,2461,0.05,2.1473804381404672e-06,2.14738e-06
pair_0_2,0/2,2461,0.1,2.0116607013926864e-05,-2.01166e-05
pair_0_2,0/2,2461,0.1,9.004647778393573e-06,-9.00465e-06
pair_0_2,0/2,2461,0.1,3.1340677939422016e-05,3.13407e-05
pair_0_2,0/2,2461,0.1,2.7487609650875064e-05,-2.74876e-05
pair_0_2,0/2,2461,0.1,1.1518567492163032e-05,-1.15186e-05
pair_0_2,0/2,2461,0.1,1.5102235503329903e-06,1.51022e-06
pair_0_2,0/2,2461,0.1,1.220846386670342e-05,-1.22085e-05
pair_0_2,0/2,2461,0.1,5.666063250590146e-05,-5.66606e-05
pair_0_2,0/2,2461,0.1,1.933047059921778e-06,1.93305e-06
pair_0_2,0/2,2461,0.1,1.7871392463938405e-05,1.78714e-05
pair_0_2,0/2,2461,0.1,1.9718968146413512e-05,-1.9719e-05
pair_0_2,0/2,2461,0.1,5.542457534159043e-06,5.54246e-06
pair_0_2,0/2,2461,0.1,1.6136119137515506e-05,1.61361e-05
pair_0_2,0/2,2461,0.1,1.0810026904033695e-06,1.081e-06
pair_0_2,0/2,2461,0.1,2.468519308915027e-05,-2.46852e-05
pair_0_2,0/2,2461,0.1,3.580973262227317e-05,3.58097e-05
pair_0_2,0/2,2461,0.1,3.349412637278449e-06,-3.34941e-06
pair_0_2,0/2,2461,0.1,2.7876656079032428e-06,2.78767e-06
pair_0_2,0/2,2461,0.1,2.7491508571657845e-05,-2.74915e-05
pair_0_2,0/2,2461,0.1,4.446817092889644e-06,4.44682e-06
pair_0_2,0/2,2461,0.1,2.175114152916676e-05,2.17511e-05
pair_0_2,0/2,2461,0.1,3.71195578965934e-06,-3.71196e-06
pair_0_2,0/2,2461,0.1,1.5164934770614328e-05,1.51649e-05
pair_0_2,0/2,2461,0.1,1.0928773954674906e-05,1.09288e-05
pair_0_2,0/2,2461,0.1,1.2839624992877905e-05,-1.28396e-05
pair_0_2,0/2,2461,0.1,1.251774975328928e-05,1.25177e-05
pair_0_2,0/2,2461,0.1,1.0431187755383578e-05,-1.04312e-05
pair_0_2,0/2,2461,0.1,3.796490753055497e-05,3.79649e-05
pair_0_2,0/2,2461,0.1,4.942782629553169e-06,-4.94278e-06
pair_0_2,0/2,2461,0.1,1.988575409876875e-05,1.98858e-05
pair_0_2,0/2,2461,0.15,7.536791971239914e-06,7.53679e-06
pair_0_2,0/2,2461,0.15,2.8907401572792288e-05,-2.89074e-05
pair_0_2,0/2,2461,0.15,1.9622671358956383e-05,1.96227e-05
pair_0_2,0/2,2461,0.15,4.859239371081017e-05,-4.85924e-05
pair_0_2,0/2,2461,0.15,8.387210014386289e-05,-8.38721e-05
pair_0_2,0/2,2461,0.15,1.5590232558623985e-05,-1.55902e-05
pair_0_2,0/2,2461,0.15,6.817734051460848e-05,6.81773e-05
pair_0_2,0/2,2461,0.15,7.642818141100501e-05,7.64282e-05
pair_0_2,0/2,2461,0.15,2.9391372512844556e-05,-2.93914e-05
pair_0_2,0/2,2461,0.15,6.565263717634658e-05,-6.56526e-05
pair_0_2,0/2,2461,0.15,8.808683731085003e-05,-8.80868e-05
pair_0_2,0/2,2461,0.15,7.934821875283434e-05,7.93482e-05
pair_0_2,0/2,2461,0.15,7.743269711670875e-05,7.74327e-05
pair_0_2,0/2,2461,0.15,2.9425338501856425e-05,2.94253e-05
pair_0_2,0/2,2461,0.15,6.648321558131745e-05,-6.64832e-05
pair_0_2,0/2,2461,0.15,7.267471481008956e-06,7.26747e-06
pair_0_2,0/2,2461,0.15,2.825167931788428e-05,2.82517e-05
pair_0_2,0/2,2461,0.15,1.7383670935444033e-05,1.73837e-05
pair_0_2,0/2,2461,0.15,2.276022936007456e-05,-2.27602e-05
