panel_order,noise_eta,eta,sample_order,sample_index,train_index,digit,label,flipped,source_array,source_dataset_path
1,noise_eta_0p02,0.02,1,0,11930,4,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p02/dataset.npz
1,noise_eta_0p02,0.02,2,1,24598,8,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p02/dataset.npz
1,noise_eta_0p02,0.02,3,2,14720,4,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p02/dataset.npz
1,noise_eta_0p02,0.02,4,3,19592,7,-1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p02/dataset.npz
1,noise_eta_0p02,0.02,5,4,996,6,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p02/dataset.npz
1,noise_eta_0p02,0.02,6,5,10383,6,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p02/dataset.npz
1,noise_eta_0p02,0.02,7,6,4883,3,-1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p02/dataset.npz
1,noise_eta_0p02,0.02,8,7,46661,0,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p02/dataset.npz
2,noise_eta_0p05,0.05,1,0,11930,4,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p05/dataset.npz
2,noise_eta_0p05,0.05,2,1,24598,8,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p05/dataset.npz
2,noise_eta_0p05,0.05,3,2,14720,4,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p05/dataset.npz
2,noise_eta_0p05,0.05,4,3,19592,7,-1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p05/dataset.npz
2,noise_eta_0p05,0.05,5,4,996,6,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p05/dataset.npz
2,noise_eta_0p05,0.05,6,5,10383,6,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p05/dataset.npz
2,noise_eta_0p05,0.05,7,6,4883,3,-1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p05/dataset.npz
2,noise_eta_0p05,0.05,8,7,46661,0,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p05/dataset.npz
3,noise_eta_0p15,0.15,1,0,11930,4,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p15/dataset.npz
3,noise_eta_0p15,0.15,2,1,24598,8,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p15/dataset.npz
3,noise_eta_0p15,0.15,3,2,14720,4,-1,1,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p15/dataset.npz
3,noise_eta_0p15,0.15,4,3,19592,7,-1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p15/dataset.npz
3,noise_eta_0p15,0.15,5,4,996,6,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p15/dataset.npz
3,noise_eta_0p15,0.15,6,5,10383,6,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p15/dataset.npz
3,noise_eta_0p15,0.15,7,6,4883,3,-1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p15/dataset.npz
3,noise_eta_0p15,0.15,8,7,46661,0,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p15/dataset.npz
4,noise_eta_0p25,0.25,1,0,11930,4,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p25/dataset.npz
4,noise_eta_0p25,0.25,2,1,24598,8,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p25/dataset.npz
4,noise_eta_0p25,0.25,3,2,14720,4,-1,1,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p25/dataset.npz
4,noise_eta_0p25,0.25,4,3,19592,7,-1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p25/dataset.npz
4,noise_eta_0p25,0.25,5,4,996,6,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p25/dataset.npz
4,noise_eta_0p25,0.25,6,5,10383,6,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p25/dataset.npz
4,noise_eta_0p25,0.25,7,6,4883,3,-1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p25/dataset.npz
4,noise_eta_0p25,0.25,8,7,46661,0,1,0,X_train_raw10,03_dnn_mnist/label_noise_sweep/01_dataset/raw_outputs/noise_eta_0p25/dataset.npz
