eta,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
0.25,2461,0.05,5.804851499786188e-05,5.80485e-05
0.25,2461,0.05,8.462312577086225e-05,-8.46231e-05
0.25,2461,0.05,0.0001058005189089,-0.000105801
0.25,2461,0.05,0.0001099578516929,0.000109958
0.25,2461,0.05,3.419106105287173e-06,-3.41911e-06
0.25,2461,0.05,0.0001794224444494,-0.000179422
0.25,2461,0.05,0.000108555031703,0.000108555
0.25,2461,0.05,0.0001259435994411,0.000125944
0.25,2461,0.05,0.0002121100831117,0.00021211
0.25,2461,0.05,9.356811598778572e-05,9.35681e-05
0.25,2461,0.05,0.0001514975176181,0.000151498
0.25,2461,0.05,4.3072268120709973e-07,4.30723e-07
0.25,2461,0.05,4.727138306617844e-05,-4.72714e-05
0.25,2461,0.05,2.897057607582561e-06,2.89706e-06
0.25,2461,0.05,5.484272342137247e-05,5.48427e-05
0.25,2461,0.05,0.0001437863360252,0.000143786
0.25,2461,0.05,9.846568501973308e-05,-9.84657e-05
0.25,2461,0.05,4.3726725588502e-05,-4.37267e-05
0.25,2461,0.05,1.7104944180547808e-06,1.71049e-06
0.25,2461,0.05,9.506559342867436e-05,-9.50656e-05
0.25,2461,0.05,0.0001361147433262,0.000136115
0.25,2461,0.05,0.0001391203190171,-0.00013912
0.25,2461,0.05,8.533494310121161e-05,8.53349e-05
0.25,2461,0.05,2.835049058571592e-05,-2.83505e-05
0.25,2461,0.05,0.0001361887412957,0.000136189
0.25,2461,0.05,0.0004374999916576,0.0004375
0.25,2461,0.05,0.0004553495825029,-0.00045535
0.25,2461,0.05,0.0002200508626479,-0.000220051
0.25,2461,0.05,6.072713279913424e-05,-6.07271e-05
0.25,2461,0.05,4.825738513150352e-05,4.82574e-05
0.25,2461,0.1,0.0001613369146379,-0.000161337
0.25,2461,0.1,0.0001209550803864,-0.000120955
0.25,2461,0.1,8.239815608359118e-05,-8.23982e-05
0.25,2461,0.1,0.0004662615135573,0.000466262
0.25,2461,0.1,0.0017977150263558,0.00179772
0.25,2461,0.1,0.0013320267065894,0.00133203
0.25,2461,0.1,0.0010897260884778,0.00108973
0.25,2461,0.1,0.0034813094483805,-0.00348131
0.25,2461,0.1,0.0024899034740054,0.0024899
0.25,2461,0.1,0.0010224204590856,-0.00102242
0.25,2461,0.1,0.0021018936581174,0.00210189
0.25,2461,0.1,0.0007516026958017,0.000751603
0.25,2461,0.1,0.0001400681831421,0.000140068
0.25,2461,0.1,0.0029668363689676,-0.00296684
0.25,2461,0.1,0.0003961269734356,-0.000396127
0.25,2461,0.1,8.511082918273786e-05,8.51108e-05
0.25,2461,0.1,0.0039455513298665,0.00394555
0.25,2461,0.1,0.0008467707059862,-0.000846771
0.25,2461,0.1,0.0006124587580593,-0.000612459
0.25,2461,0.1,0.0014875065998874,-0.00148751
0.25,2461,0.1,0.0007219606957908,0.000721961
0.25,2461,0.1,0.0027779941005362,0.00277799
0.25,2461,0.1,0.0016780227380835,-0.00167802
